Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.02931E5	2572.80355
0.99999	1.02927E5	2572.70793
0.99732	1.02802E5	2571.70793
0.99467	1.02678E5	2570.70793
0.99202	1.02554E5	2569.70793
0.98938	1.02430E5	2568.70793
0.98675	1.02306E5	2567.70793
0.98412	1.02183E5	2566.70793
0.98150	1.02060E5	2565.70793
0.97889	1.01937E5	2564.70793
0.97628	1.01814E5	2563.70793
0.97368	1.01692E5	2562.70793
0.97109	1.01570E5	2561.70793
0.96851	1.01448E5	2560.70793
0.96593	1.01327E5	2559.70793
0.96336	1.01205E5	2558.70793
0.96079	1.01084E5	2557.70793
0.95823	1.00964E5	2556.70793
0.95568	1.00843E5	2555.70793
0.95314	1.00723E5	2554.70793
0.95060	1.00603E5	2553.70793
0.94807	1.00484E5	2552.70793
0.94554	1.00364E5	2551.70793
0.94303	1.00245E5	2550.70793
0.94052	1.00126E5	2549.70793
0.93801	1.00007E5	2548.70793
0.93551	99889.10678	2547.70793
0.93302	99770.97899	2546.70793
0.93053	99653.10182	2545.70793
0.92806	99535.47419	2544.70793
0.92558	99418.09502	2543.70793
0.92312	99300.96327	2542.70793
0.92066	99184.07787	2541.70793
0.91820	99067.43777	2540.70793
0.91576	98951.04192	2539.70793
0.91331	98834.88928	2538.70793
0.91088	98718.97881	2537.70793
0.90845	98603.30948	2536.70793
0.90603	98487.88026	2535.70793
0.90361	98372.69012	2534.70793
0.90120	98257.73805	2533.70793
0.89880	98143.02304	2532.70793
0.89640	98028.54407	2531.70793
0.89401	97914.30013	2530.70793
0.89162	97800.29024	2529.70793
0.88924	97686.51339	2528.70793
0.88687	97572.96859	2527.70793
0.88450	97459.65486	2526.70793
0.88213	97346.57121	2525.70793
0.87978	97233.71667	2524.70793
0.87743	97121.09026	2523.70793
0.87508	97008.69101	2522.70793
0.87274	96896.51797	2521.70793
0.87041	96784.57016	2520.70793
0.86808	96672.84664	2519.70793
0.86576	96561.34645	2518.70793
0.86344	96450.06865	2517.70793
0.86113	96339.01229	2516.70793
0.85883	96228.17644	2515.70793
0.85653	96117.56015	2514.70793
0.85424	96007.16251	2513.70793
0.85195	95896.98258	2512.70793
0.84967	95787.01944	2511.70793
0.84739	95677.27217	2510.70793
0.84512	95567.73987	2509.70793
0.84285	95458.42162	2508.70793
0.84059	95349.31651	2507.70793
0.83834	95240.42365	2506.70793
0.83609	95131.74213	2505.70793
0.83384	95023.27106	2504.70793
0.83160	94915.00955	2503.70793
0.82937	94806.95672	2502.70793
0.82714	94699.11168	2501.70793
0.82492	94591.47356	2500.70793
0.82270	94484.04147	2499.70793
0.82049	94376.81456	2498.70793
0.81828	94269.79195	2497.70793
0.81608	94162.97278	2496.70793
0.81388	94056.35618	2495.70793
0.81169	93949.94131	2494.70793
0.80950	93843.72731	2493.70793
0.80732	93737.71334	2492.70793
0.80514	93631.89854	2491.70793
0.80297	93526.28208	2490.70793
0.80080	93420.86312	2489.70793
0.79864	93315.64082	2488.70793
0.79649	93210.61435	2487.70793
0.79434	93105.78289	2486.70793
0.79219	93001.14561	2485.70793
0.79005	92896.70169	2484.70793
0.78791	92792.45032	2483.70793
0.78578	92688.39068	2482.70793
0.78365	92584.52196	2481.70793
0.78153	92480.84335	2480.70793
0.77941	92377.35405	2479.70793
0.77730	92274.05326	2478.70793
0.77519	92170.94019	2477.70793
0.77309	92068.01404	2476.70793
0.77099	91965.27401	2475.70793
0.76890	91862.71933	2474.70793
0.76681	91760.34920	2473.70793
0.76472	91658.16285	2472.70793
0.76264	91556.15950	2471.70793
0.76057	91454.33837	2470.70793
0.75850	91352.69870	2469.70793
0.75643	91251.23971	2468.70793
0.75437	91149.96064	2467.70793
0.75231	91048.86073	2466.70793
0.75026	90947.93921	2465.70793
0.74821	90847.19534	2464.70793
0.74617	90746.62835	2463.70793
0.74413	90646.23750	2462.70793
0.74209	90546.02204	2461.70793
0.74006	90445.98122	2460.70793
0.73804	90346.11431	2459.70793
0.73602	90246.42056	2458.70793
0.73400	90146.89924	2457.70793
0.73199	90047.54961	2456.70793
0.72998	89948.37095	2455.70793
0.72797	89849.36252	2454.70793
0.72597	89750.52361	2453.70793
0.72398	89651.85349	2452.70793
0.72199	89553.35143	2451.70793
0.72000	89455.01673	2450.70793
0.71802	89356.84867	2449.70793
0.71604	89258.84654	2448.70793
0.71406	89161.00963	2447.70793
0.71209	89063.33722	2446.70793
0.71012	88965.82863	2445.70793
0.70816	88868.48314	2444.70793
0.70620	88771.30007	2443.70793
0.70425	88674.27870	2442.70793
0.70230	88577.41836	2441.70793
0.70035	88480.71834	2440.70793
0.69841	88384.17796	2439.70793
0.69647	88287.79654	2438.70793
0.69453	88191.57338	2437.70793
0.69260	88095.50781	2436.70793
0.69068	87999.59915	2435.70793
0.68875	87903.84672	2434.70793
0.68683	87808.24985	2433.70793
0.68492	87712.80786	2432.70793
0.68301	87617.52009	2431.70793
0.68110	87522.38587	2430.70793
0.67920	87427.40452	2429.70793
