Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.26950E5	3027.44401
0.99998	1.26945E5	3027.34839
0.99638	1.26765E5	3026.34839
0.99280	1.26585E5	3025.34839
0.98923	1.26406E5	3024.34839
0.98569	1.26227E5	3023.34839
0.98216	1.26050E5	3022.34839
0.97865	1.25873E5	3021.34839
0.97516	1.25697E5	3020.34839
0.97168	1.25521E5	3019.34839
0.96822	1.25347E5	3018.34839
0.96478	1.25173E5	3017.34839
0.96136	1.24999E5	3016.34839
0.95796	1.24827E5	3015.34839
0.95457	1.24655E5	3014.34839
0.95119	1.24484E5	3013.34839
0.94784	1.24314E5	3012.34839
0.94450	1.24144E5	3011.34839
0.94118	1.23975E5	3010.34839
0.93787	1.23807E5	3009.34839
0.93458	1.23639E5	3008.34839
0.93131	1.23472E5	3007.34839
0.92806	1.23306E5	3006.34839
0.92481	1.23140E5	3005.34839
0.92159	1.22975E5	3004.34839
0.91838	1.22811E5	3003.34839
0.91519	1.22648E5	3002.34839
0.91201	1.22485E5	3001.34839
0.90885	1.22322E5	3000.34839
0.90570	1.22161E5	2999.34839
0.90257	1.22000E5	2998.34839
0.89945	1.21839E5	2997.34839
0.89635	1.21679E5	2996.34839
0.89327	1.21520E5	2995.34839
0.89020	1.21362E5	2994.34839
0.88714	1.21204E5	2993.34839
0.88410	1.21046E5	2992.34839
0.88107	1.20890E5	2991.34839
0.87806	1.20734E5	2990.34839
0.87506	1.20578E5	2989.34839
0.87208	1.20423E5	2988.34839
0.86911	1.20269E5	2987.34839
0.86616	1.20115E5	2986.34839
0.86322	1.19962E5	2985.34839
0.86029	1.19810E5	2984.34839
0.85738	1.19658E5	2983.34839
0.85448	1.19506E5	2982.34839
0.85159	1.19355E5	2981.34839
0.84872	1.19205E5	2980.34839
0.84586	1.19055E5	2979.34839
0.84302	1.18906E5	2978.34839
0.84019	1.18758E5	2977.34839
0.83737	1.18610E5	2976.34839
0.83457	1.18462E5	2975.34839
0.83177	1.18315E5	2974.34839
0.82900	1.18169E5	2973.34839
0.82623	1.18023E5	2972.34839
0.82348	1.17878E5	2971.34839
0.82074	1.17733E5	2970.34839
0.81801	1.17589E5	2969.34839
0.81530	1.17445E5	2968.34839
0.81260	1.17302E5	2967.34839
0.80991	1.17159E5	2966.34839
0.80723	1.17017E5	2965.34839
0.80457	1.16875E5	2964.34839
0.80192	1.16734E5	2963.34839
0.79928	1.16593E5	2962.34839
0.79665	1.16453E5	2961.34839
0.79404	1.16313E5	2960.34839
0.79143	1.16174E5	2959.34839
0.78884	1.16035E5	2958.34839
0.78626	1.15897E5	2957.34839
0.78370	1.15760E5	2956.34839
0.78114	1.15622E5	2955.34839
0.77860	1.15486E5	2954.34839
0.77607	1.15349E5	2953.34839
0.77354	1.15214E5	2952.34839
0.77103	1.15078E5	2951.34839
0.76854	1.14943E5	2950.34839
0.76605	1.14809E5	2949.34839
0.76357	1.14675E5	2948.34839
0.76111	1.14542E5	2947.34839
0.75866	1.14408E5	2946.34839
0.75622	1.14276E5	2945.34839
0.75378	1.14144E5	2944.34839
0.75136	1.14012E5	2943.34839
0.74895	1.13881E5	2942.34839
0.74656	1.13750E5	2941.34839
0.74417	1.13620E5	2940.34839
0.74179	1.13490E5	2939.34839
0.73942	1.13360E5	2938.34839
0.73707	1.13231E5	2937.34839
0.73472	1.13103E5	2936.34839
0.73239	1.12975E5	2935.34839
0.73006	1.12847E5	2934.34839
0.72775	1.12719E5	2933.34839
0.72544	1.12592E5	2932.34839
0.72315	1.12466E5	2931.34839
0.72087	1.12340E5	2930.34839
0.71859	1.12214E5	2929.34839
0.71633	1.12089E5	2928.34839
0.71407	1.11964E5	2927.34839
0.71183	1.11840E5	2926.34839
0.70960	1.11715E5	2925.34839
0.70737	1.11592E5	2924.34839
0.70516	1.11469E5	2923.34839
0.70295	1.11346E5	2922.34839
0.70076	1.11223E5	2921.34839
0.69857	1.11101E5	2920.34839
0.69639	1.10979E5	2919.34839
0.69423	1.10858E5	2918.34839
0.69207	1.10737E5	2917.34839
0.68992	1.10617E5	2916.34839
0.68778	1.10496E5	2915.34839
0.68565	1.10377E5	2914.34839
0.68353	1.10257E5	2913.34839
0.68142	1.10138E5	2912.34839
0.67931	1.10019E5	2911.34839
0.67722	1.09901E5	2910.34839
0.67514	1.09783E5	2909.34839
0.67306	1.09665E5	2908.34839
0.67099	1.09548E5	2907.34839
0.66894	1.09431E5	2906.34839
0.66689	1.09315E5	2905.34839
0.66485	1.09198E5	2904.34839
0.66281	1.09083E5	2903.34839
0.66079	1.08967E5	2902.34839
0.65878	1.08852E5	2901.34839
0.65677	1.08737E5	2900.34839
0.65477	1.08623E5	2899.34839
0.65278	1.08509E5	2898.34839
0.65080	1.08395E5	2897.34839
0.64883	1.08281E5	2896.34839
0.64686	1.08168E5	2895.34839
0.64491	1.08056E5	2894.34839
0.64296	1.07943E5	2893.34839
0.64102	1.07831E5	2892.34839
0.63909	1.07719E5	2891.34839
0.63717	1.07608E5	2890.34839
0.63525	1.07497E5	2889.34839
0.63334	1.07386E5	2888.34839
0.63144	1.07276E5	2887.34839
0.62955	1.07165E5	2886.34839
0.62767	1.07056E5	2885.34839
0.62579	1.06946E5	2884.34839
0.62392	1.06837E5	2883.34839
0.62206	1.06728E5	2882.34839
0.62021	1.06619E5	2881.34839
0.61836	1.06511E5	2880.34839
0.61652	1.06403E5	2879.34839
0.61469	1.06295E5	2878.34839
0.61287	1.06188E5	2877.34839
0.61106	1.06081E5	2876.34839
0.60925	1.05974E5	2875.34839
0.60745	1.05868E5	2874.34839
