Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.38072E5	3228.23149
0.99997	1.38066E5	3228.13586
0.99478	1.37799E5	3227.13586
0.98962	1.37534E5	3226.13586
0.98450	1.37271E5	3225.13586
0.97942	1.37009E5	3224.13586
0.97438	1.36749E5	3223.13586
0.96937	1.36490E5	3222.13586
0.96440	1.36234E5	3221.13586
0.95947	1.35978E5	3220.13586
0.95457	1.35725E5	3219.13586
0.94970	1.35473E5	3218.13586
0.94487	1.35223E5	3217.13586
0.94008	1.34974E5	3216.13586
0.93532	1.34727E5	3215.13586
0.93059	1.34481E5	3214.13586
0.92590	1.34237E5	3213.13586
0.92124	1.33994E5	3212.13586
0.91661	1.33753E5	3211.13586
0.91201	1.33514E5	3210.13586
0.90745	1.33275E5	3209.13586
0.90292	1.33039E5	3208.13586
0.89842	1.32803E5	3207.13586
0.89395	1.32570E5	3206.13586
0.88952	1.32337E5	3205.13586
0.88511	1.32106E5	3204.13586
0.88074	1.31877E5	3203.13586
0.87639	1.31648E5	3202.13586
0.87208	1.31421E5	3201.13586
0.86780	1.31196E5	3200.13586
0.86354	1.30972E5	3199.13586
0.85932	1.30749E5	3198.13586
0.85512	1.30527E5	3197.13586
0.85095	1.30307E5	3196.13586
0.84681	1.30088E5	3195.13586
0.84270	1.29870E5	3194.13586
0.83862	1.29654E5	3193.13586
0.83456	1.29439E5	3192.13586
0.83053	1.29225E5	3191.13586
0.82653	1.29012E5	3190.13586
0.82256	1.28801E5	3189.13586
0.81861	1.28590E5	3188.13586
0.81469	1.28381E5	3187.13586
0.81080	1.28173E5	3186.13586
0.80693	1.27967E5	3185.13586
0.80309	1.27761E5	3184.13586
0.79927	1.27557E5	3183.13586
0.79548	1.27354E5	3182.13586
0.79172	1.27152E5	3181.13586
0.78798	1.26951E5	3180.13586
0.78426	1.26751E5	3179.13586
0.78057	1.26552E5	3178.13586
0.77690	1.26354E5	3177.13586
0.77326	1.26158E5	3176.13586
0.76964	1.25962E5	3175.13586
0.76604	1.25768E5	3174.13586
0.76247	1.25575E5	3173.13586
0.75892	1.25382E5	3172.13586
0.75540	1.25191E5	3171.13586
0.75189	1.25001E5	3170.13586
0.74841	1.24812E5	3169.13586
0.74496	1.24624E5	3168.13586
0.74152	1.24436E5	3167.13586
0.73811	1.24250E5	3166.13586
0.73472	1.24065E5	3165.13586
0.73135	1.23881E5	3164.13586
0.72800	1.23698E5	3163.13586
0.72468	1.23515E5	3162.13586
0.72137	1.23334E5	3161.13586
0.71809	1.23154E5	3160.13586
0.71483	1.22974E5	3159.13586
0.71158	1.22796E5	3158.13586
0.70836	1.22618E5	3157.13586
0.70516	1.22442E5	3156.13586
0.70198	1.22266E5	3155.13586
0.69882	1.22091E5	3154.13586
0.69568	1.21917E5	3153.13586
0.69256	1.21744E5	3152.13586
0.68946	1.21572E5	3151.13586
0.68637	1.21400E5	3150.13586
0.68331	1.21230E5	3149.13586
0.68027	1.21060E5	3148.13586
0.67724	1.20892E5	3147.13586
0.67424	1.20724E5	3146.13586
0.67125	1.20557E5	3145.13586
0.66828	1.20390E5	3144.13586
0.66533	1.20225E5	3143.13586
0.66240	1.20060E5	3142.13586
0.65948	1.19896E5	3141.13586
0.65659	1.19733E5	3140.13586
0.65371	1.19571E5	3139.13586
0.65085	1.19410E5	3138.13586
0.64800	1.19249E5	3137.13586
0.64518	1.19089E5	3136.13586
0.64237	1.18930E5	3135.13586
0.63958	1.18772E5	3134.13586
0.63680	1.18614E5	3133.13586
0.63404	1.18457E5	3132.13586
0.63130	1.18301E5	3131.13586
0.62858	1.18146E5	3130.13586
0.62587	1.17991E5	3129.13586
0.62318	1.17837E5	3128.13586
0.62050	1.17684E5	3127.13586
0.61784	1.17532E5	3126.13586
0.61519	1.17380E5	3125.13586
0.61257	1.17229E5	3124.13586
0.60995	1.17078E5	3123.13586
0.60736	1.16929E5	3122.13586
0.60477	1.16780E5	3121.13586
0.60221	1.16631E5	3120.13586
0.59966	1.16484E5	3119.13586
0.59712	1.16337E5	3118.13586
0.59460	1.16191E5	3117.13586
0.59209	1.16045E5	3116.13586
0.58960	1.15900E5	3115.13586
0.58712	1.15756E5	3114.13586
0.58466	1.15612E5	3113.13586
0.58221	1.15469E5	3112.13586
0.57978	1.15326E5	3111.13586
0.57736	1.15185E5	3110.13586
0.57495	1.15043E5	3109.13586
0.57256	1.14903E5	3108.13586
0.57018	1.14763E5	3107.13586
0.56781	1.14624E5	3106.13586
0.56546	1.14485E5	3105.13586
0.56313	1.14347E5	3104.13586
0.56080	1.14209E5	3103.13586
0.55849	1.14072E5	3102.13586
0.55619	1.13936E5	3101.13586
0.55391	1.13800E5	3100.13586
