Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.55236E5	3504.68687
0.99993	1.55228E5	3504.59125
0.98730	1.54566E5	3503.59125
0.97490	1.53915E5	3502.59125
0.96271	1.53275E5	3501.59125
0.95074	1.52645E5	3500.59125
0.93898	1.52026E5	3499.59125
0.92743	1.51418E5	3498.59125
0.91607	1.50819E5	3497.59125
0.90491	1.50230E5	3496.59125
0.89394	1.49650E5	3495.59125
0.88316	1.49079E5	3494.59125
0.87256	1.48518E5	3493.59125
0.86214	1.47966E5	3492.59125
0.85190	1.47422E5	3491.59125
0.84183	1.46887E5	3490.59125
0.83192	1.46360E5	3489.59125
0.82218	1.45841E5	3488.59125
0.81260	1.45330E5	3487.59125
0.80318	1.44827E5	3486.59125
0.79391	1.44332E5	3485.59125
0.78479	1.43844E5	3484.59125
0.77582	1.43363E5	3483.59125
0.76700	1.42889E5	3482.59125
0.75831	1.42423E5	3481.59125
0.74976	1.41963E5	3480.59125
0.74135	1.41510E5	3479.59125
0.73307	1.41064E5	3478.59125
0.72493	1.40624E5	3477.59125
0.71691	1.40190E5	3476.59125
0.70901	1.39763E5	3475.59125
0.70124	1.39341E5	3474.59125
0.69359	1.38926E5	3473.59125
0.68605	1.38516E5	3472.59125
0.67863	1.38112E5	3471.59125
0.67132	1.37713E5	3470.59125
0.66413	1.37320E5	3469.59125
0.65704	1.36933E5	3468.59125
0.65006	1.36550E5	3467.59125
0.64318	1.36173E5	3466.59125
0.63641	1.35801E5	3465.59125
0.62973	1.35434E5	3464.59125
0.62316	1.35071E5	3463.59125
0.61668	1.34714E5	3462.59125
0.61030	1.34361E5	3461.59125
0.60401	1.34012E5	3460.59125
0.59781	1.33669E5	3459.59125
0.59170	1.33329E5	3458.59125
0.58568	1.32994E5	3457.59125
0.57974	1.32663E5	3456.59125
0.57389	1.32336E5	3455.59125
0.56812	1.32014E5	3454.59125
0.56244	1.31695E5	3453.59125
0.55683	1.31380E5	3452.59125
0.55131	1.31070E5	3451.59125
0.54586	1.30763E5	3450.59125
0.54048	1.30459E5	3449.59125
0.53518	1.30160E5	3448.59125
0.52996	1.29864E5	3447.59125
0.52480	1.29571E5	3446.59125
0.51972	1.29282E5	3445.59125
0.51470	1.28997E5	3444.59125
0.50976	1.28714E5	3443.59125
0.50488	1.28435E5	3442.59125
0.50007	1.28159E5	3441.59125
0.49532	1.27887E5	3440.59125
0.49063	1.27617E5	3439.59125
0.48601	1.27351E5	3438.59125
0.48145	1.27087E5	3437.59125
0.47695	1.26827E5	3436.59125
0.47250	1.26569E5	3435.59125
0.46812	1.26315E5	3434.59125
0.46379	1.26063E5	3433.59125
0.45952	1.25814E5	3432.59125
0.45531	1.25567E5	3431.59125
0.45115	1.25323E5	3430.59125
0.44704	1.25082E5	3429.59125
0.44299	1.24844E5	3428.59125
0.43899	1.24608E5	3427.59125
0.43503	1.24374E5	3426.59125
0.43113	1.24143E5	3425.59125
0.42728	1.23914E5	3424.59125
0.42348	1.23688E5	3423.59125
0.41972	1.23464E5	3422.59125
0.41601	1.23242E5	3421.59125
0.41235	1.23023E5	3420.59125
0.40873	1.22805E5	3419.59125
0.40516	1.22590E5	3418.59125
0.40163	1.22377E5	3417.59125
0.39815	1.22167E5	3416.59125
0.39470	1.21958E5	3415.59125
0.39130	1.21751E5	3414.59125
0.38794	1.21546E5	3413.59125
0.38462	1.21344E5	3412.59125
0.38134	1.21143E5	3411.59125
0.37810	1.20944E5	3410.59125
0.37490	1.20747E5	3409.59125
0.37174	1.20552E5	3408.59125
0.36861	1.20359E5	3407.59125
0.36553	1.20168E5	3406.59125
0.36247	1.19978E5	3405.59125
0.35946	1.19790E5	3404.59125
0.35648	1.19604E5	3403.59125
0.35353	1.19419E5	3402.59125
0.35062	1.19236E5	3401.59125
0.34774	1.19055E5	3400.59125
0.34490	1.18876E5	3399.59125
0.34209	1.18698E5	3398.59125
0.33931	1.18521E5	3397.59125
0.33656	1.18346E5	3396.59125
0.33384	1.18173E5	3395.59125
0.33116	1.18001E5	3394.59125
0.32850	1.17831E5	3393.59125
0.32588	1.17662E5	3392.59125
0.32328	1.17495E5	3391.59125
0.32071	1.17329E5	3390.59125
0.31818	1.17164E5	3389.59125
0.31567	1.17001E5	3388.59125
0.31318	1.16839E5	3387.59125
0.31073	1.16678E5	3386.59125
0.30830	1.16519E5	3385.59125
0.30590	1.16361E5	3384.59125
0.30353	1.16204E5	3383.59125
0.30118	1.16049E5	3382.59125
0.29886	1.15895E5	3381.59125
0.29656	1.15742E5	3380.59125
0.29429	1.15590E5	3379.59125
0.29204	1.15439E5	3378.59125
0.28981	1.15290E5	3377.59125
0.28761	1.15142E5	3376.59125
0.28544	1.14994E5	3375.59125
0.28328	1.14849E5	3374.59125
0.28115	1.14704E5	3373.59125
0.27904	1.14560E5	3372.59125
0.27696	1.14417E5	3371.59125
0.27489	1.14276E5	3370.59125
0.27285	1.14135E5	3369.59125
0.27083	1.13995E5	3368.59125
0.26883	1.13857E5	3367.59125
0.26685	1.13719E5	3366.59125
0.26489	1.13583E5	3365.59125
0.26295	1.13447E5	3364.59125
0.26104	1.13313E5	3363.59125
0.25914	1.13179E5	3362.59125
0.25726	1.13046E5	3361.59125
0.25540	1.12915E5	3360.59125
0.25356	1.12784E5	3359.59125
0.25173	1.12654E5	3358.59125
0.24993	1.12525E5	3357.59125
0.24814	1.12397E5	3356.59125
0.24638	1.12269E5	3355.59125
0.24462	1.12143E5	3354.59125
0.24289	1.12017E5	3353.59125
0.24118	1.11893E5	3352.59125
0.23948	1.11769E5	3351.59125
0.23780	1.11645E5	3350.59125
0.23613	1.11523E5	3349.59125
0.23448	1.11402E5	3348.59125
0.23285	1.11281E5	3347.59125
0.23123	1.11161E5	3346.59125
0.22963	1.11042E5	3345.59125
0.22805	1.10923E5	3344.59125
0.22648	1.10806E5	3343.59125
0.22492	1.10689E5	3342.59125
0.22338	1.10572E5	3341.59125
0.22186	1.10457E5	3340.59125
0.22035	1.10342E5	3339.59125
0.21885	1.10228E5	3338.59125
0.21737	1.10115E5	3337.59125
0.21590	1.10002E5	3336.59125
0.21445	1.09890E5	3335.59125
0.21301	1.09778E5	3334.59125
0.21158	1.09668E5	3333.59125
0.21017	1.09557E5	3332.59125
0.20877	1.09448E5	3331.59125
0.20738	1.09339E5	3330.59125
0.20601	1.09231E5	3329.59125
0.20465	1.09123E5	3328.59125
0.20330	1.09016E5	3327.59125
0.20196	1.08910E5	3326.59125
0.20064	1.08804E5	3325.59125
0.19933	1.08699E5	3324.59125
0.19803	1.08595E5	3323.59125
0.19674	1.08491E5	3322.59125
0.19547	1.08387E5	3321.59125
0.19420	1.08284E5	3320.59125
0.19295	1.08182E5	3319.59125
0.19171	1.08080E5	3318.59125
0.19048	1.07979E5	3317.59125
0.18926	1.07878E5	3316.59125
0.18805	1.07778E5	3315.59125
0.18686	1.07678E5	3314.59125
0.18567	1.07579E5	3313.59125
0.18449	1.07480E5	3312.59125
0.18333	1.07382E5	3311.59125
0.18217	1.07285E5	3310.59125
0.18103	1.07188E5	3309.59125
0.17989	1.07091E5	3308.59125
0.17877	1.06995E5	3307.59125
0.17765	1.06899E5	3306.59125
0.17655	1.06804E5	3305.59125
0.17545	1.06709E5	3304.59125
0.17437	1.06615E5	3303.59125
0.17329	1.06521E5	3302.59125
0.17222	1.06428E5	3301.59125
0.17116	1.06335E5	3300.59125
0.17012	1.06242E5	3299.59125
0.16908	1.06150E5	3298.59125
0.16804	1.06058E5	3297.59125
0.16702	1.05967E5	3296.59125
0.16601	1.05877E5	3295.59125
0.16500	1.05786E5	3294.59125
0.16401	1.05696E5	3293.59125
0.16302	1.05607E5	3292.59125
0.16204	1.05518E5	3291.59125
0.16107	1.05429E5	3290.59125
0.16011	1.05340E5	3289.59125
0.15915	1.05253E5	3288.59125
0.15820	1.05165E5	3287.59125
0.15726	1.05078E5	3286.59125
0.15633	1.04991E5	3285.59125
0.15541	1.04905E5	3284.59125
0.15449	1.04819E5	3283.59125
0.15358	1.04733E5	3282.59125
0.15268	1.04647E5	3281.59125
0.15179	1.04563E5	3280.59125
0.15090	1.04478E5	3279.59125
0.15002	1.04394E5	3278.59125
0.14915	1.04310E5	3277.59125
0.14829	1.04226E5	3276.59125
0.14743	1.04143E5	3275.59125
0.14658	1.04060E5	3274.59125
0.14574	1.03977E5	3273.59125
0.14490	1.03895E5	3272.59125
0.14407	1.03813E5	3271.59125
0.14324	1.03732E5	3270.59125
0.14243	1.03650E5	3269.59125
0.14162	1.03570E5	3268.59125
0.14081	1.03489E5	3267.59125
0.14001	1.03409E5	3266.59125
0.13922	1.03329E5	3265.59125
0.13844	1.03249E5	3264.59125
0.13766	1.03169E5	3263.59125
0.13689	1.03090E5	3262.59125
0.13612	1.03012E5	3261.59125
0.13536	1.02933E5	3260.59125
0.13460	1.02855E5	3259.59125
0.13385	1.02777E5	3258.59125
0.13311	1.02699E5	3257.59125
0.13237	1.02622E5	3256.59125
0.13164	1.02545E5	3255.59125
0.13092	1.02468E5	3254.59125
0.13020	1.02391E5	3253.59125
0.12948	1.02315E5	3252.59125
0.12877	1.02239E5	3251.59125
0.12807	1.02163E5	3250.59125
0.12737	1.02088E5	3249.59125
0.12668	1.02012E5	3248.59125
0.12599	1.01937E5	3247.59125
0.12531	1.01863E5	3246.59125
0.12463	1.01788E5	3245.59125
0.12396	1.01714E5	3244.59125
0.12329	1.01640E5	3243.59125
0.12263	1.01566E5	3242.59125
0.12197	1.01493E5	3241.59125
0.12132	1.01420E5	3240.59125
0.12067	1.01347E5	3239.59125
0.12002	1.01274E5	3238.59125
0.11939	1.01201E5	3237.59125
0.11875	1.01129E5	3236.59125
0.11812	1.01057E5	3235.59125
0.11750	1.00985E5	3234.59125
0.11688	1.00913E5	3233.59125
0.11627	1.00842E5	3232.59125
0.11566	1.00771E5	3231.59125
0.11505	1.00700E5	3230.59125
0.11445	1.00629E5	3229.59125
0.11385	1.00558E5	3228.59125
0.11326	1.00488E5	3227.59125
0.11267	1.00418E5	3226.59125
0.11209	1.00348E5	3225.59125
0.11151	1.00278E5	3224.59125
0.11093	1.00209E5	3223.59125
0.11036	1.00140E5	3222.59125
0.10979	1.00070E5	3221.59125
0.10923	1.00002E5	3220.59125
0.10867	99932.80723	3219.59125
0.10811	99864.30227	3218.59125
0.10756	99795.99134	3217.59125
0.10702	99727.87269	3216.59125
0.10647	99659.94463	3215.59125
0.10593	99592.20546	3214.59125
0.10540	99524.65351	3213.59125
0.10486	99457.28713	3212.59125
0.10433	99390.10467	3211.59125
0.10381	99323.10453	3210.59125
0.10329	99256.28511	3209.59125
0.10277	99189.64482	3208.59125
0.10226	99123.18212	3207.59125
0.10175	99056.89544	3206.59125
0.10124	98990.78327	3205.59125
0.10074	98924.84410	3204.59125
0.10024	98859.07643	3203.59125
0.09974	98793.47879	3202.59125
0.09925	98728.04972	3201.59125
0.09876	98662.78777	3200.59125
0.09827	98597.69153	3199.59125
0.09779	98532.75956	3198.59125
0.09731	98467.99049	3197.59125
0.09683	98403.38293	3196.59125
0.09636	98338.93551	3195.59125
0.09589	98274.64688	3194.59125
0.09543	98210.51571	3193.59125
0.09496	98146.54068	3192.59125
0.09450	98082.72048	3191.59125
0.09404	98019.05382	3190.59125
0.09359	97955.53941	3189.59125
0.09314	97892.17601	3188.59125
0.09269	97828.96234	3187.59125
0.09225	97765.89718	3186.59125
0.09180	97702.97931	3185.59125
0.09136	97640.20751	3184.59125
0.09093	97577.58058	3183.59125
0.09049	97515.09734	3182.59125
0.09006	97452.75662	3181.59125
0.08964	97390.55725	3180.59125
0.08921	97328.49810	3179.59125
0.08879	97266.57802	3178.59125
0.08837	97204.79589	3177.59125
0.08795	97143.15060	3176.59125
0.08754	97081.64105	3175.59125
0.08713	97020.26615	3174.59125
0.08672	96959.02483	3173.59125
0.08631	96897.91603	3172.59125
0.08591	96836.93868	3171.59125
0.08551	96776.09174	3170.59125
0.08511	96715.37418	3169.59125
0.08472	96654.78499	3168.59125
0.08432	96594.32314	3167.59125
0.08393	96533.98765	3166.59125
0.08355	96473.77751	3165.59125
0.08316	96413.69176	3164.59125
0.08278	96353.72941	3163.59125
0.08240	96293.88952	3162.59125
0.08202	96234.17113	3161.59125
0.08164	96174.57330	3160.59125
0.08127	96115.09511	3159.59125
0.08090	96055.73562	3158.59125
0.08053	95996.49393	3157.59125
0.08017	95937.36915	3156.59125
0.07980	95878.36036	3155.59125
0.07944	95819.46670	3154.59125
0.07908	95760.68728	3153.59125
0.07872	95702.02125	3152.59125
0.07837	95643.46773	3151.59125
0.07802	95585.02590	3150.59125
0.07767	95526.69489	3149.59125
0.07732	95468.47389	3148.59125
0.07697	95410.36207	3147.59125
0.07663	95352.35861	3146.59125
0.07629	95294.46271	3145.59125
0.07595	95236.67357	3144.59125
0.07561	95178.99039	3143.59125
0.07527	95121.41240	3142.59125
0.07494	95063.93882	3141.59125
0.07461	95006.56888	3140.59125
0.07428	94949.30182	3139.59125
0.07395	94892.13689	3138.59125
0.07362	94835.07334	3137.59125
0.07330	94778.11044	3136.59125
0.07298	94721.24746	3135.59125
0.07266	94664.48366	3134.59125
0.07234	94607.81834	3133.59125
0.07203	94551.25079	3132.59125
0.07171	94494.78029	3131.59125
0.07140	94438.40617	3130.59125
0.07109	94382.12772	3129.59125
0.07078	94325.94427	3128.59125
0.07048	94269.85514	3127.59125
0.07017	94213.85966	3126.59125
0.06987	94157.95716	3125.59125
0.06957	94102.14700	3124.59125
0.06927	94046.42852	3123.59125
0.06897	93990.80108	3122.59125
0.06868	93935.26403	3121.59125
0.06838	93879.81675	3120.59125
0.06809	93824.45862	3119.59125
0.06780	93769.18901	3118.59125
0.06751	93714.00730	3117.59125
0.06722	93658.91290	3116.59125
0.06694	93603.90519	3115.59125
0.06665	93548.98359	3114.59125
0.06637	93494.14749	3113.59125
0.06609	93439.39633	3112.59125
0.06581	93384.72950	3111.59125
0.06554	93330.14645	3110.59125
0.06526	93275.64659	3109.59125
0.06499	93221.22938	3108.59125
0.06471	93166.89424	3107.59125
0.06444	93112.64063	3106.59125
0.06417	93058.46800	3105.59125
0.06391	93004.37579	3104.59125
0.06364	92950.36349	3103.59125
0.06337	92896.43055	3102.59125
0.06311	92842.57644	3101.59125
0.06285	92788.80064	3100.59125
0.06259	92735.10263	3099.59125
0.06233	92681.48190	3098.59125
0.06207	92627.93795	3097.59125
0.06182	92574.47025	3096.59125
0.06156	92521.07832	3095.59125
0.06131	92467.76166	3094.59125
0.06106	92414.51978	3093.59125
0.06081	92361.35219	3092.59125
0.06056	92308.25840	3091.59125
0.06031	92255.23796	3090.59125
0.06007	92202.29037	3089.59125
0.05982	92149.41517	3088.59125
0.05958	92096.61189	3087.59125
0.05934	92043.88008	3086.59125
