Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.37918E5	3226.77846
0.99997	1.37913E5	3226.68283
0.99479	1.37646E5	3225.68283
0.98965	1.37380E5	3224.68283
0.98454	1.37117E5	3223.68283
0.97948	1.36855E5	3222.68283
0.97444	1.36594E5	3221.68283
0.96945	1.36336E5	3220.68283
0.96449	1.36079E5	3219.68283
0.95957	1.35823E5	3218.68283
0.95468	1.35570E5	3217.68283
0.94982	1.35317E5	3216.68283
0.94500	1.35067E5	3215.68283
0.94022	1.34818E5	3214.68283
0.93547	1.34570E5	3213.68283
0.93075	1.34324E5	3212.68283
0.92607	1.34080E5	3211.68283
0.92141	1.33837E5	3210.68283
0.91680	1.33595E5	3209.68283
0.91221	1.33355E5	3208.68283
0.90766	1.33117E5	3207.68283
0.90313	1.32880E5	3206.68283
0.89864	1.32644E5	3205.68283
0.89418	1.32410E5	3204.68283
0.88975	1.32177E5	3203.68283
0.88536	1.31946E5	3202.68283
0.88099	1.31716E5	3201.68283
0.87665	1.31487E5	3200.68283
0.87235	1.31260E5	3199.68283
0.86807	1.31034E5	3198.68283
0.86382	1.30810E5	3197.68283
0.85960	1.30586E5	3196.68283
0.85541	1.30365E5	3195.68283
0.85125	1.30144E5	3194.68283
0.84711	1.29925E5	3193.68283
0.84301	1.29706E5	3192.68283
0.83893	1.29490E5	3191.68283
0.83488	1.29274E5	3190.68283
0.83086	1.29060E5	3189.68283
0.82686	1.28847E5	3188.68283
0.82289	1.28635E5	3187.68283
0.81895	1.28424E5	3186.68283
0.81503	1.28215E5	3185.68283
0.81114	1.28006E5	3184.68283
0.80728	1.27799E5	3183.68283
0.80344	1.27593E5	3182.68283
0.79963	1.27389E5	3181.68283
0.79584	1.27185E5	3180.68283
0.79208	1.26983E5	3179.68283
0.78834	1.26781E5	3178.68283
0.78463	1.26581E5	3177.68283
0.78094	1.26382E5	3176.68283
0.77728	1.26184E5	3175.68283
0.77364	1.25987E5	3174.68283
0.77002	1.25791E5	3173.68283
0.76643	1.25596E5	3172.68283
0.76286	1.25402E5	3171.68283
0.75931	1.25210E5	3170.68283
0.75579	1.25018E5	3169.68283
0.75229	1.24827E5	3168.68283
0.74881	1.24638E5	3167.68283
0.74536	1.24449E5	3166.68283
0.74192	1.24262E5	3165.68283
0.73851	1.24075E5	3164.68283
0.73512	1.23889E5	3163.68283
0.73175	1.23705E5	3162.68283
0.72841	1.23521E5	3161.68283
0.72508	1.23338E5	3160.68283
0.72178	1.23157E5	3159.68283
0.71850	1.22976E5	3158.68283
0.71523	1.22796E5	3157.68283
0.71199	1.22617E5	3156.68283
0.70877	1.22439E5	3155.68283
0.70557	1.22262E5	3154.68283
0.70239	1.22086E5	3153.68283
0.69923	1.21910E5	3152.68283
0.69609	1.21736E5	3151.68283
0.69297	1.21562E5	3150.68283
0.68987	1.21390E5	3149.68283
0.68679	1.21218E5	3148.68283
0.68372	1.21047E5	3147.68283
0.68068	1.20877E5	3146.68283
0.67765	1.20708E5	3145.68283
0.67465	1.20539E5	3144.68283
0.67166	1.20372E5	3143.68283
0.66869	1.20205E5	3142.68283
0.66574	1.20039E5	3141.68283
0.66281	1.19874E5	3140.68283
0.65989	1.19710E5	3139.68283
0.65699	1.19547E5	3138.68283
0.65411	1.19384E5	3137.68283
0.65125	1.19222E5	3136.68283
0.64841	1.19061E5	3135.68283
0.64558	1.18901E5	3134.68283
0.64277	1.18741E5	3133.68283
0.63998	1.18582E5	3132.68283
0.63720	1.18424E5	3131.68283
0.63444	1.18267E5	3130.68283
0.63170	1.18110E5	3129.68283
0.62897	1.17955E5	3128.68283
0.62626	1.17799E5	3127.68283
0.62357	1.17645E5	3126.68283
0.62089	1.17491E5	3125.68283
0.61823	1.17339E5	3124.68283
0.61558	1.17186E5	3123.68283
0.61295	1.17035E5	3122.68283
0.61034	1.16884E5	3121.68283
0.60774	1.16734E5	3120.68283
0.60515	1.16585E5	3119.68283
0.60258	1.16436E5	3118.68283
0.60003	1.16288E5	3117.68283
0.59749	1.16140E5	3116.68283
0.59497	1.15994E5	3115.68283
0.59246	1.15847E5	3114.68283
0.58996	1.15702E5	3113.68283
0.58748	1.15557E5	3112.68283
0.58502	1.15413E5	3111.68283
0.58257	1.15270E5	3110.68283
0.58013	1.15127E5	3109.68283
0.57771	1.14985E5	3108.68283
0.57530	1.14843E5	3107.68283
0.57291	1.14702E5	3106.68283
0.57052	1.14562E5	3105.68283
0.56816	1.14422E5	3104.68283
0.56580	1.14283E5	3103.68283
0.56346	1.14144E5	3102.68283
0.56114	1.14006E5	3101.68283
0.55882	1.13869E5	3100.68283
0.55652	1.13732E5	3099.68283
0.55424	1.13596E5	3098.68283
0.55196	1.13460E5	3097.68283
0.54970	1.13325E5	3096.68283
0.54745	1.13191E5	3095.68283
0.54522	1.13057E5	3094.68283
0.54299	1.12924E5	3093.68283
0.54078	1.12791E5	3092.68283
0.53858	1.12659E5	3091.68283
0.53640	1.12527E5	3090.68283
0.53423	1.12396E5	3089.68283
0.53206	1.12265E5	3088.68283
0.52991	1.12135E5	3087.68283
0.52778	1.12006E5	3086.68283
0.52565	1.11877E5	3085.68283
0.52354	1.11748E5	3084.68283
0.52144	1.11620E5	3083.68283
0.51935	1.11493E5	3082.68283
0.51727	1.11366E5	3081.68283
0.51520	1.11240E5	3080.68283
0.51314	1.11114E5	3079.68283
0.51110	1.10988E5	3078.68283
0.50907	1.10864E5	3077.68283
0.50705	1.10739E5	3076.68283
0.50503	1.10615E5	3075.68283
0.50303	1.10492E5	3074.68283
0.50104	1.10369E5	3073.68283
0.49907	1.10246E5	3072.68283
0.49710	1.10124E5	3071.68283
0.49514	1.10003E5	3070.68283
0.49320	1.09882E5	3069.68283
0.49126	1.09761E5	3068.68283
0.48934	1.09641E5	3067.68283
0.48742	1.09522E5	3066.68283
0.48552	1.09402E5	3065.68283
0.48362	1.09284E5	3064.68283
0.48174	1.09165E5	3063.68283
