Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.08425E5	2681.22875
0.99998	1.08421E5	2681.13313
0.99723	1.08287E5	2680.13313
0.99449	1.08154E5	2679.13313
0.99175	1.08021E5	2678.13313
0.98903	1.07889E5	2677.13313
0.98631	1.07757E5	2676.13313
0.98360	1.07625E5	2675.13313
0.98090	1.07494E5	2674.13313
0.97820	1.07363E5	2673.13313
0.97552	1.07232E5	2672.13313
0.97284	1.07101E5	2671.13313
0.97018	1.06971E5	2670.13313
0.96752	1.06842E5	2669.13313
0.96486	1.06712E5	2668.13313
0.96222	1.06583E5	2667.13313
0.95959	1.06454E5	2666.13313
0.95696	1.06326E5	2665.13313
0.95434	1.06198E5	2664.13313
0.95173	1.06070E5	2663.13313
0.94913	1.05942E5	2662.13313
0.94653	1.05815E5	2661.13313
0.94395	1.05688E5	2660.13313
0.94137	1.05562E5	2659.13313
0.93880	1.05435E5	2658.13313
0.93624	1.05309E5	2657.13313
0.93368	1.05184E5	2656.13313
0.93113	1.05058E5	2655.13313
0.92859	1.04933E5	2654.13313
0.92606	1.04809E5	2653.13313
0.92354	1.04684E5	2652.13313
0.92102	1.04560E5	2651.13313
0.91851	1.04436E5	2650.13313
0.91601	1.04313E5	2649.13313
0.91352	1.04190E5	2648.13313
0.91103	1.04067E5	2647.13313
0.90855	1.03944E5	2646.13313
0.90608	1.03822E5	2645.13313
0.90362	1.03700E5	2644.13313
0.90116	1.03578E5	2643.13313
0.89871	1.03457E5	2642.13313
0.89627	1.03335E5	2641.13313
0.89383	1.03215E5	2640.13313
0.89141	1.03094E5	2639.13313
0.88899	1.02974E5	2638.13313
0.88657	1.02854E5	2637.13313
0.88417	1.02734E5	2636.13313
0.88177	1.02615E5	2635.13313
0.87938	1.02495E5	2634.13313
0.87699	1.02377E5	2633.13313
0.87461	1.02258E5	2632.13313
0.87224	1.02140E5	2631.13313
0.86988	1.02022E5	2630.13313
0.86752	1.01904E5	2629.13313
0.86517	1.01786E5	2628.13313
0.86283	1.01669E5	2627.13313
0.86050	1.01552E5	2626.13313
0.85817	1.01435E5	2625.13313
0.85584	1.01319E5	2624.13313
0.85353	1.01203E5	2623.13313
0.85122	1.01087E5	2622.13313
0.84892	1.00971E5	2621.13313
0.84662	1.00856E5	2620.13313
0.84433	1.00741E5	2619.13313
0.84205	1.00626E5	2618.13313
0.83977	1.00511E5	2617.13313
0.83751	1.00397E5	2616.13313
0.83524	1.00283E5	2615.13313
0.83299	1.00169E5	2614.13313
0.83074	1.00056E5	2613.13313
0.82849	99942.33326	2612.13313
0.82626	99829.28533	2611.13313
0.82403	99716.48924	2610.13313
0.82180	99603.94390	2609.13313
0.81959	99491.64818	2608.13313
0.81737	99379.60099	2607.13313
0.81517	99267.80123	2606.13313
0.81297	99156.24782	2605.13313
0.81078	99044.93967	2604.13313
0.80859	98933.87570	2603.13313
0.80641	98823.05484	2602.13313
0.80424	98712.47602	2601.13313
0.80207	98602.13818	2600.13313
0.79991	98492.04026	2599.13313
0.79775	98382.18122	2598.13313
0.79560	98272.56000	2597.13313
0.79346	98163.17556	2596.13313
0.79132	98054.02687	2595.13313
0.78919	97945.11290	2594.13313
0.78706	97836.43262	2593.13313
0.78494	97727.98502	2592.13313
0.78283	97619.76907	2591.13313
0.78072	97511.78377	2590.13313
0.77862	97404.02811	2589.13313
0.77652	97296.50110	2588.13313
0.77443	97189.20173	2587.13313
0.77234	97082.12902	2586.13313
0.77026	96975.28198	2585.13313
0.76819	96868.65964	2584.13313
0.76612	96762.26101	2583.13313
0.76406	96656.08513	2582.13313
0.76200	96550.13103	2581.13313
0.75995	96444.39775	2580.13313
0.75791	96338.88433	2579.13313
0.75587	96233.58982	2578.13313
0.75383	96128.51328	2577.13313
0.75180	96023.65376	2576.13313
0.74978	95919.01033	2575.13313
0.74776	95814.58205	2574.13313
0.74575	95710.36799	2573.13313
0.74374	95606.36723	2572.13313
0.74174	95502.57885	2571.13313
0.73974	95399.00194	2570.13313
0.73775	95295.63558	2569.13313
0.73577	95192.47886	2568.13313
0.73379	95089.53090	2567.13313
0.73181	94986.79078	2566.13313
0.72984	94884.25762	2565.13313
0.72788	94781.93053	2564.13313
0.72592	94679.80862	2563.13313
0.72396	94577.89102	2562.13313
0.72201	94476.17684	2561.13313
0.72007	94374.66521	2560.13313
0.71813	94273.35528	2559.13313
0.71620	94172.24617	2558.13313
0.71427	94071.33702	2557.13313
0.71234	93970.62699	2556.13313
0.71043	93870.11521	2555.13313
0.70851	93769.80084	2554.13313
0.70660	93669.68305	2553.13313
0.70470	93569.76098	2552.13313
0.70280	93470.03381	2551.13313
0.70091	93370.50071	2550.13313
0.69902	93271.16084	2549.13313
0.69713	93172.01338	2548.13313
0.69526	93073.05752	2547.13313
0.69338	92974.29244	2546.13313
0.69151	92875.71732	2545.13313
0.68965	92777.33137	2544.13313
0.68779	92679.13376	2543.13313
0.68593	92581.12372	2542.13313
0.68408	92483.30043	2541.13313
0.68224	92385.66311	2540.13313
0.68039	92288.21097	2539.13313
0.67856	92190.94321	2538.13313
0.67673	92093.85907	2537.13313
0.67490	91996.95776	2536.13313
0.67308	91900.23850	2535.13313
0.67126	91803.70053	2534.13313
0.66945	91707.34308	2533.13313
0.66764	91611.16538	2532.13313
0.66583	91515.16667	2531.13313
0.66403	91419.34620	2530.13313
0.66224	91323.70322	2529.13313
0.66045	91228.23696	2528.13313
0.65866	91132.94670	2527.13313
0.65688	91037.83168	2526.13313
0.65510	90942.89116	2525.13313
0.65333	90848.12440	2524.13313
0.65156	90753.53069	2523.13313
0.64980	90659.10927	2522.13313
0.64804	90564.85943	2521.13313
0.64628	90470.78045	2520.13313
0.64453	90376.87160	2519.13313
0.64278	90283.13217	2518.13313
0.64104	90189.56145	2517.13313
0.63930	90096.15871	2516.13313
0.63757	90002.92327	2515.13313
0.63584	89909.85440	2514.13313
0.63411	89816.95142	2513.13313
0.63239	89724.21362	2512.13313
0.63067	89631.64031	2511.13313
0.62896	89539.23080	2510.13313
0.62725	89446.98440	2509.13313
0.62554	89354.90041	2508.13313
0.62384	89262.97817	2507.13313
0.62214	89171.21700	2506.13313
0.62045	89079.61620	2505.13313
0.61876	88988.17512	2504.13313
0.61708	88896.89307	2503.13313
0.61539	88805.76940	2502.13313
0.61372	88714.80344	2501.13313
0.61204	88623.99452	2500.13313
0.61037	88533.34199	2499.13313
0.60871	88442.84519	2498.13313
0.60705	88352.50346	2497.13313
0.60539	88262.31616	2496.13313
0.60374	88172.28264	2495.13313
0.60209	88082.40225	2494.13313
0.60044	87992.67435	2493.13313
0.59880	87903.09830	2492.13313
0.59716	87813.67346	2491.13313
0.59552	87724.39920	2490.13313
0.59389	87635.27489	2489.13313
0.59227	87546.29990	2488.13313
0.59064	87457.47360	2487.13313
0.58902	87368.79537	2486.13313
0.58741	87280.26459	2485.13313
0.58579	87191.88063	2484.13313
0.58419	87103.64289	2483.13313
0.58258	87015.55075	2482.13313
0.58098	86927.60359	2481.13313
0.57938	86839.80082	2480.13313
0.57779	86752.14182	2479.13313
0.57620	86664.62598	2478.13313
0.57461	86577.25272	2477.13313
0.57302	86490.02143	2476.13313
0.57144	86402.93151	2475.13313
0.56987	86315.98238	2474.13313
0.56829	86229.17343	2473.13313
0.56672	86142.50408	2472.13313
0.56516	86055.97375	2471.13313
0.56360	85969.58185	2470.13313
0.56204	85883.32779	2469.13313
0.56048	85797.21101	2468.13313
0.55893	85711.23091	2467.13313
0.55738	85625.38692	2466.13313
0.55583	85539.67848	2465.13313
0.55429	85454.10501	2464.13313
0.55275	85368.66595	2463.13313
0.55121	85283.36072	2462.13313
0.54968	85198.18876	2461.13313
0.54815	85113.14951	2460.13313
0.54663	85028.24242	2459.13313
0.54510	84943.46691	2458.13313
0.54358	84858.82245	2457.13313
0.54207	84774.30847	2456.13313
0.54055	84689.92442	2455.13313
0.53904	84605.66975	2454.13313
0.53754	84521.54392	2453.13313
0.53603	84437.54638	2452.13313
0.53453	84353.67659	2451.13313
0.53303	84269.93401	2450.13313
0.53154	84186.31809	2449.13313
0.53005	84102.82830	2448.13313
0.52856	84019.46411	2447.13313
0.52708	83936.22497	2446.13313
0.52559	83853.11037	2445.13313
0.52411	83770.11976	2444.13313
0.52264	83687.25263	2443.13313
0.52116	83604.50844	2442.13313
0.51969	83521.88667	2441.13313
0.51823	83439.38681	2440.13313
0.51676	83357.00832	2439.13313
0.51530	83274.75069	2438.13313
0.51384	83192.61341	2437.13313
0.51239	83110.59595	2436.13313
0.51094	83028.69781	2435.13313
0.50949	82946.91847	2434.13313
0.50804	82865.25743	2433.13313
0.50659	82783.71417	2432.13313
0.50515	82702.28819	2431.13313
0.50372	82620.97898	2430.13313
0.50228	82539.78604	2429.13313
0.50085	82458.70887	2428.13313
0.49942	82377.74697	2427.13313
0.49799	82296.89984	2426.13313
0.49656	82216.16699	2425.13313
0.49514	82135.54791	2424.13313
0.49372	82055.04211	2423.13313
0.49231	81974.64911	2422.13313
0.49089	81894.36840	2421.13313
0.48948	81814.19951	2420.13313
0.48807	81734.14195	2419.13313
0.48667	81654.19522	2418.13313
