Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	89414.93650	2300.58110
0.99998	89410.40688	2300.48547
0.99661	89282.92452	2299.48547
0.99324	89155.59506	2298.48547
0.98988	89028.41719	2297.48547
0.98651	88901.38956	2296.48547
0.98315	88774.51085	2295.48547
0.97980	88647.77971	2294.48547
0.97644	88521.19479	2293.48547
0.97308	88394.75474	2292.48547
0.96973	88268.45819	2291.48547
0.96638	88142.30377	2290.48547
0.96304	88016.29011	2289.48547
0.95969	87890.41581	2288.48547
0.95635	87764.67950	2287.48547
0.95300	87639.07977	2286.48547
0.94966	87513.61522	2285.48547
0.94633	87388.28442	2284.48547
0.94299	87263.08595	2283.48547
0.93965	87138.01839	2282.48547
0.93632	87013.08028	2281.48547
0.93299	86888.27019	2280.48547
0.92966	86763.58663	2279.48547
0.92633	86639.02816	2278.48547
0.92300	86514.59327	2277.48547
0.91967	86390.28050	2276.48547
0.91635	86266.08832	2275.48547
0.91302	86142.01523	2274.48547
0.90970	86018.05970	2273.48547
0.90638	85894.22020	2272.48547
0.90305	85770.49517	2271.48547
0.89973	85646.88307	2270.48547
0.89641	85523.38230	2269.48547
0.89309	85399.99130	2268.48547
0.88977	85276.70845	2267.48547
0.88646	85153.53214	2266.48547
0.88314	85030.46075	2265.48547
0.87982	84907.49263	2264.48547
0.87650	84784.62612	2263.48547
0.87319	84661.85955	2262.48547
0.86987	84539.19122	2261.48547
0.86655	84416.61945	2260.48547
0.86324	84294.14249	2259.48547
0.85992	84171.75861	2258.48547
0.85660	84049.46605	2257.48547
0.85329	83927.26303	2256.48547
0.84997	83805.14777	2255.48547
0.84665	83683.11843	2254.48547
0.84333	83561.17319	2253.48547
0.84001	83439.31020	2252.48547
0.83669	83317.52757	2251.48547
0.83337	83195.82340	2250.48547
0.83005	83074.19578	2249.48547
0.82673	82952.64276	2248.48547
0.82341	82831.16237	2247.48547
0.82008	82709.75261	2246.48547
0.81676	82588.41148	2245.48547
0.81343	82467.13692	2244.48547
0.81010	82345.92686	2243.48547
0.80677	82224.77922	2242.48547
0.80344	82103.69185	2241.48547
0.80011	81982.66260	2240.48547
0.79677	81861.68930	2239.48547
0.79344	81740.76971	2238.48547
0.79010	81619.90160	2237.48547
0.78676	81499.08267	2236.48547
0.78341	81378.31062	2235.48547
0.78007	81257.58310	2234.48547
0.77672	81136.89771	2233.48547
0.77337	81016.25203	2232.48547
0.77002	80895.64361	2231.48547
0.76666	80775.06994	2230.48547
0.76330	80654.52848	2229.48547
0.75994	80534.01664	2228.48547
0.75657	80413.53179	2227.48547
0.75321	80293.07128	2226.48547
0.74983	80172.63237	2225.48547
0.74646	80052.21230	2224.48547
0.74308	79931.80825	2223.48547
0.73970	79811.41737	2222.48547
0.73631	79691.03673	2221.48547
0.73292	79570.66336	2220.48547
0.72952	79450.29424	2219.48547
0.72612	79329.92626	2218.48547
0.72271	79209.55630	2217.48547
0.71930	79089.18114	2216.48547
0.71589	78968.79751	2215.48547
0.71247	78848.40208	2214.48547
0.70904	78727.99143	2213.48547
0.70561	78607.56209	2212.48547
0.70218	78487.11050	2211.48547
0.69873	78366.63305	2210.48547
0.69528	78246.12603	2209.48547
0.69183	78125.58565	2208.48547
0.68837	78005.00804	2207.48547
0.68490	77884.38924	2206.48547
0.68143	77763.72520	2205.48547
0.67794	77643.01179	2204.48547
0.67446	77522.24475	2203.48547
0.67096	77401.41975	2202.48547
0.66745	77280.53233	2201.48547
0.66394	77159.57795	2200.48547
0.66042	77038.55193	2199.48547
0.65689	76917.44948	2198.48547
0.65336	76796.26569	2197.48547
0.64981	76674.99553	2196.48547
0.64625	76553.63382	2195.48547
0.64269	76432.17526	2194.48547
0.63911	76310.61438	2193.48547
0.63553	76188.94560	2192.48547
0.63193	76067.16314	2191.48547
0.62833	75945.26109	2190.48547
0.62471	75823.23336	2189.48547
0.62108	75701.07367	2188.48547
0.61744	75578.77559	2187.48547
0.61379	75456.33245	2186.48547
0.61013	75333.73742	2185.48547
0.60645	75210.98344	2184.48547
0.60276	75088.06324	2183.48547
0.59906	74964.96929	2182.48547
0.59534	74841.69386	2181.48547
0.59161	74718.22894	2180.48547
0.58787	74594.56628	2179.48547
0.58411	74470.69732	2178.48547
0.58033	74346.61323	2177.48547
0.57654	74222.30487	2176.48547
0.57273	74097.76279	2175.48547
0.56890	73972.97718	2174.48547
0.56506	73847.93789	2173.48547
0.56120	73722.63440	2172.48547
0.55732	73597.05580	2171.48547
0.55342	73471.19074	2170.48547
0.54950	73345.02747	2169.48547
0.54556	73218.55375	2168.48547
0.54160	73091.75686	2167.48547
0.53762	72964.62359	2166.48547
0.53362	72837.14014	2165.48547
0.52959	72709.29218	2164.48547
0.52554	72581.06475	2163.48547
0.52146	72452.44224	2162.48547
0.51736	72323.40835	2161.48547
0.51323	72193.94607	2160.48547
0.50907	72064.03760	2159.48547
0.50489	71933.66430	2158.48547
0.50067	71802.80669	2157.48547
0.49643	71671.44431	2156.48547
0.49215	71539.55572	2155.48547
0.48784	71407.11840	2154.48547
0.48350	71274.10869	2153.48547
0.47912	71140.50169	2152.48547
0.47471	71006.27119	2151.48547
0.47025	70871.38955	2150.48547
0.46576	70735.82762	2149.48547
0.46123	70599.55458	2148.48547
0.45665	70462.53786	2147.48547
0.45203	70324.74297	2146.48547
0.44736	70186.13332	2145.48547
0.44265	70046.67008	2144.48547
0.43788	69906.31197	2143.48547
0.43306	69765.01506	2142.48547
0.42819	69622.73249	2141.48547
0.42326	69479.41423	2140.48547
0.41826	69335.00679	2139.48547
0.41321	69189.45283	2138.48547
0.40808	69042.69084	2137.48547
0.40289	68894.65466	2136.48547
0.39763	68745.27300	2135.48547
0.39228	68594.46892	2134.48547
0.38686	68442.15914	2133.48547
0.38135	68288.25334	2132.48547
0.37574	68132.65331	2131.48547
0.37004	67975.25201	2130.48547
0.36424	67815.93241	2129.48547
0.35833	67654.56620	2128.48547
0.35232	67491.57406	2127.48547
0.34617	67325.68280	2126.48547
0.33988	67157.27002	2125.48547
0.33346	66986.14340	2124.48547
0.32687	66812.08827	2123.48547
0.32012	66634.86385	2122.48547
0.31319	66454.19882	2121.48547
0.30607	66269.78576	2120.48547
0.29873	66081.27442	2119.48547
0.29115	65888.26311	2118.48547
0.28332	65690.28811	2117.48547
0.27521	65486.80991	2116.48547
0.26678	65277.19571	2115.48547
