Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	89703.45886	2304.97216
0.99998	89698.93412	2304.87654
0.99654	89569.00191	2303.87654
0.99309	89439.22363	2302.87654
0.98965	89309.59787	2301.87654
0.98622	89180.12322	2300.87654
0.98278	89050.79826	2299.87654
0.97935	88921.62157	2298.87654
0.97592	88792.59170	2297.87654
0.97249	88663.70722	2296.87654
0.96906	88534.96668	2295.87654
0.96564	88406.36862	2294.87654
0.96221	88277.91158	2293.87654
0.95879	88149.59407	2292.87654
0.95537	88021.41463	2291.87654
0.95195	87893.37176	2290.87654
0.94854	87765.46395	2289.87654
0.94513	87637.68970	2288.87654
0.94171	87510.04749	2287.87654
0.93830	87382.53578	2286.87654
0.93489	87255.15304	2285.87654
0.93148	87127.89772	2284.87654
0.92808	87000.76824	2283.87654
0.92467	86873.76305	2282.87654
0.92127	86746.88055	2281.87654
0.91786	86620.11914	2280.87654
0.91446	86493.47722	2279.87654
0.91106	86366.95317	2278.87654
0.90766	86240.54534	2277.87654
0.90426	86114.25209	2276.87654
0.90086	85988.07176	2275.87654
0.89746	85862.00267	2274.87654
0.89407	85736.04312	2273.87654
0.89067	85610.19142	2272.87654
0.88727	85484.44583	2271.87654
0.88388	85358.80462	2270.87654
0.88048	85233.26604	2269.87654
0.87708	85107.82831	2268.87654
0.87369	84982.48965	2267.87654
0.87029	84857.24824	2266.87654
0.86690	84732.10227	2265.87654
0.86350	84607.04988	2264.87654
0.86011	84482.08922	2263.87654
0.85671	84357.21840	2262.87654
0.85331	84232.43552	2261.87654
0.84992	84107.73865	2260.87654
0.84652	83983.12584	2259.87654
0.84312	83858.59513	2258.87654
0.83972	83734.14452	2257.87654
0.83632	83609.77199	2256.87654
0.83292	83485.47551	2255.87654
0.82952	83361.25301	2254.87654
0.82612	83237.10239	2253.87654
0.82271	83113.02153	2252.87654
0.81931	82989.00830	2251.87654
0.81590	82865.06052	2250.87654
0.81249	82741.17597	2249.87654
0.80908	82617.35244	2248.87654
0.80567	82493.58764	2247.87654
0.80226	82369.87930	2246.87654
0.79884	82246.22507	2245.87654
0.79543	82122.62259	2244.87654
0.79201	81999.06947	2243.87654
0.78859	81875.56327	2242.87654
0.78516	81752.10152	2241.87654
0.78173	81628.68171	2240.87654
0.77831	81505.30129	2239.87654
0.77487	81381.95768	2238.87654
0.77144	81258.64824	2237.87654
0.76800	81135.37029	2236.87654
0.76456	81012.12112	2235.87654
0.76112	80888.89796	2234.87654
0.75767	80765.69801	2233.87654
0.75422	80642.51839	2232.87654
0.75076	80519.35619	2231.87654
0.74730	80396.20846	2230.87654
0.74384	80273.07217	2229.87654
0.74037	80149.94425	2228.87654
0.73690	80026.82156	2227.87654
0.73343	79903.70092	2226.87654
0.72995	79780.57907	2225.87654
0.72646	79657.45269	2224.87654
0.72297	79534.31841	2223.87654
0.71948	79411.17276	2222.87654
0.71597	79288.01223	2221.87654
0.71247	79164.83322	2220.87654
0.70896	79041.63206	2219.87654
0.70544	78918.40501	2218.87654
0.70192	78795.14824	2217.87654
0.69839	78671.85782	2216.87654
0.69485	78548.52976	2215.87654
0.69131	78425.15997	2214.87654
0.68776	78301.74426	2213.87654
0.68420	78178.27835	2212.87654
0.68064	78054.75787	2211.87654
0.67707	77931.17831	2210.87654
0.67349	77807.53509	2209.87654
0.66990	77683.82349	2208.87654
0.66631	77560.03870	2207.87654
0.66271	77436.17575	2206.87654
0.65909	77312.22959	2205.87654
0.65547	77188.19500	2204.87654
0.65184	77064.06664	2203.87654
0.64820	76939.83902	2202.87654
0.64455	76815.50651	2201.87654
0.64090	76691.06332	2200.87654
0.63723	76566.50350	2199.87654
0.63355	76441.82093	2198.87654
0.62985	76317.00933	2197.87654
0.62615	76192.06220	2196.87654
0.62244	76066.97289	2195.87654
0.61871	75941.73453	2194.87654
0.61497	75816.34004	2193.87654
0.61122	75690.78213	2192.87654
0.60746	75565.05328	2191.87654
0.60368	75439.14574	2190.87654
0.59989	75313.05148	2189.87654
0.59608	75186.76225	2188.87654
0.59226	75060.26950	2187.87654
0.58843	74933.56439	2186.87654
0.58457	74806.63780	2185.87654
0.58071	74679.48028	2184.87654
0.57682	74552.08204	2183.87654
0.57292	74424.43295	2182.87654
0.56900	74296.52252	2181.87654
0.56507	74168.33986	2180.87654
0.56111	74039.87367	2179.87654
0.55713	73911.11224	2178.87654
0.55314	73782.04338	2177.87654
0.54912	73652.65444	2176.87654
0.54509	73522.93226	2175.87654
0.54103	73392.86314	2174.87654
0.53695	73262.43284	2173.87654
0.53284	73131.62647	2172.87654
0.52871	73000.42856	2171.87654
0.52456	72868.82293	2170.87654
0.52038	72736.79271	2169.87654
0.51617	72604.32024	2168.87654
0.51193	72471.38709	2167.87654
0.50767	72337.97393	2166.87654
0.50338	72204.06053	2165.87654
0.49905	72069.62568	2164.87654
0.49470	71934.64713	2163.87654
0.49031	71799.10150	2162.87654
0.48588	71662.96420	2161.87654
0.48142	71526.20937	2160.87654
0.47693	71388.80976	2159.87654
0.47239	71250.73664	2158.87654
0.46782	71111.95966	2157.87654
0.46320	70972.44677	2156.87654
0.45854	70832.16402	2155.87654
0.45384	70691.07548	2154.87654
0.44908	70549.14301	2153.87654
0.44428	70406.32610	2152.87654
0.43943	70262.58166	2151.87654
0.43452	70117.86377	2150.87654
0.42956	69972.12345	2149.87654
0.42454	69825.30836	2148.87654
0.41946	69677.36246	2147.87654
0.41431	69528.22565	2146.87654
0.40910	69377.83339	2145.87654
0.40381	69226.11617	2144.87654
0.39845	69072.99901	2143.87654
0.39301	68918.40088	2142.87654
0.38748	68762.23396	2141.87654
0.38187	68604.40286	2140.87654
0.37617	68444.80369	2139.87654
0.37036	68283.32302	2138.87654
0.36445	68119.83657	2137.87654
0.35843	67954.20783	2136.87654
