Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.41403E5	3286.54200
0.99997	1.41397E5	3286.44638
0.99404	1.41089E5	3285.44638
0.98817	1.40784E5	3284.44638
0.98234	1.40482E5	3283.44638
0.97656	1.40181E5	3282.44638
0.97083	1.39883E5	3281.44638
0.96515	1.39587E5	3280.44638
0.95951	1.39293E5	3279.44638
0.95392	1.39001E5	3278.44638
0.94838	1.38711E5	3277.44638
0.94288	1.38424E5	3276.44638
0.93743	1.38138E5	3275.44638
0.93202	1.37855E5	3274.44638
0.92665	1.37574E5	3273.44638
0.92133	1.37295E5	3272.44638
0.91605	1.37017E5	3271.44638
0.91081	1.36742E5	3270.44638
0.90561	1.36469E5	3269.44638
0.90046	1.36197E5	3268.44638
0.89535	1.35928E5	3267.44638
0.89027	1.35660E5	3266.44638
0.88524	1.35394E5	3265.44638
0.88025	1.35130E5	3264.44638
0.87530	1.34868E5	3263.44638
0.87038	1.34608E5	3262.44638
0.86551	1.34350E5	3261.44638
0.86067	1.34093E5	3260.44638
0.85587	1.33838E5	3259.44638
0.85111	1.33585E5	3258.44638
0.84639	1.33334E5	3257.44638
0.84170	1.33084E5	3256.44638
0.83705	1.32836E5	3255.44638
0.83244	1.32589E5	3254.44638
0.82786	1.32345E5	3253.44638
0.82331	1.32102E5	3252.44638
0.81880	1.31860E5	3251.44638
0.81433	1.31620E5	3250.44638
0.80989	1.31382E5	3249.44638
0.80548	1.31145E5	3248.44638
0.80111	1.30910E5	3247.44638
0.79677	1.30677E5	3246.44638
0.79246	1.30445E5	3245.44638
0.78819	1.30214E5	3244.44638
0.78395	1.29985E5	3243.44638
0.77974	1.29757E5	3242.44638
0.77556	1.29531E5	3241.44638
0.77141	1.29307E5	3240.44638
0.76730	1.29083E5	3239.44638
0.76321	1.28862E5	3238.44638
0.75916	1.28641E5	3237.44638
0.75513	1.28422E5	3236.44638
0.75114	1.28205E5	3235.44638
0.74717	1.27988E5	3234.44638
0.74324	1.27773E5	3233.44638
0.73933	1.27560E5	3232.44638
0.73545	1.27348E5	3231.44638
0.73160	1.27137E5	3230.44638
0.72778	1.26927E5	3229.44638
