Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.26802E5	3026.22081
0.99998	1.26797E5	3026.12519
0.99636	1.26615E5	3025.12519
0.99276	1.26433E5	3024.12519
0.98917	1.26252E5	3023.12519
0.98561	1.26072E5	3022.12519
0.98206	1.25893E5	3021.12519
0.97853	1.25714E5	3020.12519
0.97502	1.25537E5	3019.12519
0.97153	1.25360E5	3018.12519
0.96805	1.25183E5	3017.12519
0.96459	1.25008E5	3016.12519
0.96115	1.24833E5	3015.12519
0.95772	1.24659E5	3014.12519
0.95431	1.24486E5	3013.12519
0.95092	1.24313E5	3012.12519
0.94755	1.24141E5	3011.12519
0.94419	1.23970E5	3010.12519
0.94085	1.23799E5	3009.12519
0.93753	1.23629E5	3008.12519
0.93422	1.23460E5	3007.12519
0.93093	1.23292E5	3006.12519
0.92765	1.23124E5	3005.12519
0.92439	1.22957E5	3004.12519
0.92115	1.22790E5	3003.12519
0.91792	1.22624E5	3002.12519
0.91471	1.22459E5	3001.12519
0.91151	1.22295E5	3000.12519
0.90833	1.22131E5	2999.12519
0.90516	1.21968E5	2998.12519
0.90201	1.21805E5	2997.12519
0.89888	1.21643E5	2996.12519
0.89576	1.21482E5	2995.12519
0.89266	1.21321E5	2994.12519
0.88957	1.21161E5	2993.12519
0.88649	1.21002E5	2992.12519
0.88343	1.20843E5	2991.12519
0.88039	1.20685E5	2990.12519
0.87736	1.20528E5	2989.12519
0.87434	1.20371E5	2988.12519
0.87134	1.20214E5	2987.12519
0.86835	1.20059E5	2986.12519
0.86538	1.19904E5	2985.12519
0.86242	1.19749E5	2984.12519
0.85948	1.19595E5	2983.12519
0.85655	1.19442E5	2982.12519
0.85363	1.19289E5	2981.12519
0.85073	1.19137E5	2980.12519
0.84784	1.18985E5	2979.12519
0.84496	1.18834E5	2978.12519
0.84210	1.18684E5	2977.12519
0.83925	1.18534E5	2976.12519
0.83641	1.18384E5	2975.12519
0.83359	1.18235E5	2974.12519
0.83078	1.18087E5	2973.12519
0.82799	1.17939E5	2972.12519
0.82521	1.17792E5	2971.12519
0.82244	1.17646E5	2970.12519
0.81968	1.17500E5	2969.12519
0.81694	1.17354E5	2968.12519
0.81420	1.17209E5	2967.12519
0.81149	1.17064E5	2966.12519
0.80878	1.16921E5	2965.12519
0.80609	1.16777E5	2964.12519
0.80341	1.16634E5	2963.12519
0.80074	1.16492E5	2962.12519
0.79808	1.16350E5	2961.12519
0.79544	1.16208E5	2960.12519
0.79280	1.16067E5	2959.12519
0.79018	1.15927E5	2958.12519
0.78758	1.15787E5	2957.12519
0.78498	1.15648E5	2956.12519
0.78240	1.15509E5	2955.12519
0.77982	1.15370E5	2954.12519
0.77726	1.15232E5	2953.12519
0.77471	1.15095E5	2952.12519
0.77218	1.14958E5	2951.12519
0.76965	1.14821E5	2950.12519
0.76714	1.14685E5	2949.12519
0.76463	1.14550E5	2948.12519
0.76214	1.14415E5	2947.12519
0.75966	1.14280E5	2946.12519
0.75719	1.14146E5	2945.12519
0.75473	1.14012E5	2944.12519
0.75228	1.13879E5	2943.12519
0.74985	1.13746E5	2942.12519
0.74742	1.13614E5	2941.12519
0.74501	1.13482E5	2940.12519
0.74260	1.13350E5	2939.12519
0.74021	1.13219E5	2938.12519
0.73783	1.13089E5	2937.12519
0.73545	1.12959E5	2936.12519
0.73309	1.12829E5	2935.12519
0.73074	1.12700E5	2934.12519
0.72840	1.12571E5	2933.12519
0.72607	1.12442E5	2932.12519
0.72375	1.12314E5	2931.12519
0.72144	1.12187E5	2930.12519
0.71914	1.12060E5	2929.12519
0.71685	1.11933E5	2928.12519
0.71457	1.11807E5	2927.12519
0.71230	1.11681E5	2926.12519
0.71004	1.11555E5	2925.12519
0.70779	1.11430E5	2924.12519
0.70555	1.11305E5	2923.12519
0.70332	1.11181E5	2922.12519
0.70110	1.11057E5	2921.12519
0.69889	1.10934E5	2920.12519
0.69669	1.10811E5	2919.12519
0.69450	1.10688E5	2918.12519
0.69231	1.10566E5	2917.12519
0.69014	1.10444E5	2916.12519
0.68798	1.10322E5	2915.12519
0.68582	1.10201E5	2914.12519
0.68368	1.10080E5	2913.12519
0.68154	1.09960E5	2912.12519
0.67941	1.09840E5	2911.12519
0.67730	1.09720E5	2910.12519
0.67519	1.09601E5	2909.12519
0.67309	1.09482E5	2908.12519
0.67100	1.09363E5	2907.12519
0.66892	1.09245E5	2906.12519
0.66684	1.09127E5	2905.12519
