Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.22238E5	2946.38033
0.99998	1.22233E5	2946.28470
0.99663	1.22064E5	2945.28470
0.99329	1.21895E5	2944.28470
0.98997	1.21726E5	2943.28470
0.98666	1.21558E5	2942.28470
0.98337	1.21391E5	2941.28470
0.98009	1.21224E5	2940.28470
0.97683	1.21058E5	2939.28470
0.97358	1.20893E5	2938.28470
0.97035	1.20728E5	2937.28470
0.96713	1.20564E5	2936.28470
0.96392	1.20401E5	2935.28470
0.96073	1.20238E5	2934.28470
0.95755	1.20075E5	2933.28470
0.95439	1.19913E5	2932.28470
0.95124	1.19752E5	2931.28470
0.94810	1.19592E5	2930.28470
0.94498	1.19432E5	2929.28470
0.94187	1.19272E5	2928.28470
0.93877	1.19113E5	2927.28470
0.93569	1.18955E5	2926.28470
0.93262	1.18797E5	2925.28470
0.92957	1.18640E5	2924.28470
0.92653	1.18484E5	2923.28470
0.92350	1.18328E5	2922.28470
0.92049	1.18172E5	2921.28470
0.91748	1.18017E5	2920.28470
0.91449	1.17863E5	2919.28470
0.91152	1.17709E5	2918.28470
0.90855	1.17556E5	2917.28470
0.90560	1.17403E5	2916.28470
0.90267	1.17250E5	2915.28470
0.89974	1.17099E5	2914.28470
0.89683	1.16948E5	2913.28470
0.89393	1.16797E5	2912.28470
0.89104	1.16647E5	2911.28470
0.88816	1.16497E5	2910.28470
0.88530	1.16348E5	2909.28470
0.88245	1.16199E5	2908.28470
0.87961	1.16051E5	2907.28470
0.87678	1.15904E5	2906.28470
0.87397	1.15757E5	2905.28470
0.87116	1.15610E5	2904.28470
0.86837	1.15464E5	2903.28470
0.86559	1.15319E5	2902.28470
0.86282	1.15173E5	2901.28470
0.86007	1.15029E5	2900.28470
0.85732	1.14885E5	2899.28470
0.85459	1.14741E5	2898.28470
0.85187	1.14598E5	2897.28470
0.84916	1.14455E5	2896.28470
0.84646	1.14313E5	2895.28470
0.84377	1.14171E5	2894.28470
0.84110	1.14030E5	2893.28470
0.83843	1.13889E5	2892.28470
0.83578	1.13749E5	2891.28470
0.83313	1.13609E5	2890.28470
0.83050	1.13470E5	2889.28470
0.82788	1.13331E5	2888.28470
0.82527	1.13192E5	2887.28470
0.82267	1.13054E5	2886.28470
0.82008	1.12917E5	2885.28470
0.81750	1.12779E5	2884.28470
0.81493	1.12643E5	2883.28470
0.81238	1.12507E5	2882.28470
