Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.16004E5	2799.75086
0.99998	1.16000E5	2799.65523
0.99689	1.15847E5	2798.65523
0.99381	1.15695E5	2797.65523
0.99074	1.15544E5	2796.65523
0.98768	1.15393E5	2795.65523
0.98464	1.15242E5	2794.65523
0.98160	1.15092E5	2793.65523
0.97858	1.14942E5	2792.65523
0.97557	1.14793E5	2791.65523
0.97257	1.14645E5	2790.65523
0.96958	1.14496E5	2789.65523
0.96660	1.14348E5	2788.65523
0.96363	1.14201E5	2787.65523
0.96068	1.14054E5	2786.65523
0.95773	1.13908E5	2785.65523
0.95480	1.13762E5	2784.65523
0.95187	1.13616E5	2783.65523
0.94896	1.13471E5	2782.65523
0.94606	1.13326E5	2781.65523
0.94316	1.13181E5	2780.65523
0.94028	1.13038E5	2779.65523
0.93741	1.12894E5	2778.65523
0.93455	1.12751E5	2777.65523
0.93170	1.12608E5	2776.65523
0.92886	1.12466E5	2775.65523
0.92603	1.12324E5	2774.65523
0.92321	1.12183E5	2773.65523
0.92040	1.12042E5	2772.65523
0.91761	1.11901E5	2771.65523
0.91482	1.11761E5	2770.65523
0.91204	1.11621E5	2769.65523
0.90927	1.11482E5	2768.65523
0.90651	1.11343E5	2767.65523
0.90376	1.11204E5	2766.65523
0.90102	1.11066E5	2765.65523
0.89829	1.10928E5	2764.65523
0.89558	1.10791E5	2763.65523
0.89287	1.10654E5	2762.65523
0.89017	1.10517E5	2761.65523
0.88748	1.10381E5	2760.65523
0.88480	1.10245E5	2759.65523
0.88213	1.10109E5	2758.65523
0.87946	1.09974E5	2757.65523
0.87681	1.09839E5	2756.65523
0.87417	1.09705E5	2755.65523
0.87154	1.09571E5	2754.65523
0.86891	1.09437E5	2753.65523
0.86630	1.09304E5	2752.65523
0.86369	1.09171E5	2751.65523
0.86110	1.09039E5	2750.65523
0.85851	1.08907E5	2749.65523
0.85593	1.08775E5	2748.65523
0.85336	1.08643E5	2747.65523
0.85080	1.08512E5	2746.65523
0.84825	1.08382E5	2745.65523
0.84571	1.08251E5	2744.65523
0.84317	1.08121E5	2743.65523
0.84065	1.07991E5	2742.65523
0.83813	1.07862E5	2741.65523
0.83563	1.07733E5	2740.65523
0.83313	1.07605E5	2739.65523
0.83064	1.07476E5	2738.65523
0.82816	1.07348E5	2737.65523
0.82569	1.07221E5	2736.65523
0.82322	1.07094E5	2735.65523
0.82077	1.06967E5	2734.65523
0.81832	1.06840E5	2733.65523
0.81588	1.06714E5	2732.65523
0.81345	1.06588E5	2731.65523
0.81103	1.06462E5	2730.65523
0.80862	1.06337E5	2729.65523
0.80621	1.06212E5	2728.65523
0.80381	1.06088E5	2727.65523
0.80142	1.05963E5	2726.65523
0.79904	1.05839E5	2725.65523
0.79667	1.05716E5	2724.65523
0.79431	1.05592E5	2723.65523
0.79195	1.05469E5	2722.65523
0.78960	1.05347E5	2721.65523
0.78726	1.05224E5	2720.65523
0.78493	1.05102E5	2719.65523
0.78260	1.04981E5	2718.65523
0.78029	1.04859E5	2717.65523
0.77798	1.04738E5	2716.65523
0.77568	1.04617E5	2715.65523
0.77338	1.04497E5	2714.65523
0.77110	1.04376E5	2713.65523
0.76882	1.04257E5	2712.65523
0.76655	1.04137E5	2711.65523
0.76428	1.04018E5	2710.65523
0.76203	1.03899E5	2709.65523
0.75978	1.03780E5	2708.65523
0.75754	1.03662E5	2707.65523
0.75531	1.03543E5	2706.65523
0.75308	1.03426E5	2705.65523
0.75086	1.03308E5	2704.65523
0.74865	1.03191E5	2703.65523
0.74645	1.03074E5	2702.65523
0.74425	1.02957E5	2701.65523
0.74206	1.02841E5	2700.65523
0.73988	1.02725E5	2699.65523
0.73770	1.02609E5	2698.65523
0.73553	1.02493E5	2697.65523
0.73337	1.02378E5	2696.65523
0.73122	1.02263E5	2695.65523
0.72907	1.02149E5	2694.65523
0.72693	1.02034E5	2693.65523
0.72480	1.01920E5	2692.65523
0.72268	1.01806E5	2691.65523
0.72056	1.01692E5	2690.65523
0.71844	1.01579E5	2689.65523
0.71634	1.01466E5	2688.65523
0.71424	1.01353E5	2687.65523
0.71215	1.01241E5	2686.65523
0.71006	1.01129E5	2685.65523
0.70799	1.01017E5	2684.65523
0.70591	1.00905E5	2683.65523
0.70385	1.00793E5	2682.65523
0.70179	1.00682E5	2681.65523
0.69974	1.00571E5	2680.65523
0.69769	1.00460E5	2679.65523
0.69566	1.00350E5	2678.65523
0.69362	1.00240E5	2677.65523
0.69160	1.00130E5	2676.65523
0.68958	1.00020E5	2675.65523
0.68757	99910.84071	2674.65523
0.68556	99801.67115	2673.65523
0.68356	99692.75116	2672.65523
0.68157	99584.07957	2671.65523
0.67958	99475.65519	2670.65523
0.67760	99367.47686	2669.65523
0.67562	99259.54341	2668.65523
0.67366	99151.85369	2667.65523
0.67169	99044.40656	2666.65523
0.66974	98937.20086	2665.65523
0.66779	98830.23547	2664.65523
0.66584	98723.50924	2663.65523
0.66390	98617.02107	2662.65523
0.66197	98510.76982	2661.65523
0.66005	98404.75439	2660.65523
0.65813	98298.97367	2659.65523
0.65621	98193.42657	2658.65523
0.65430	98088.11198	2657.65523
0.65240	97983.02882	2656.65523
0.65051	97878.17601	2655.65523
0.64861	97773.55246	2654.65523
0.64673	97669.15712	2653.65523
0.64485	97564.98892	2652.65523
0.64298	97461.04679	2651.65523
0.64111	97357.32968	2650.65523
0.63925	97253.83655	2649.65523
0.63739	97150.56635	2648.65523
0.63554	97047.51805	2647.65523
0.63370	96944.69062	2646.65523
0.63186	96842.08303	2645.65523
0.63003	96739.69425	2644.65523
0.62820	96637.52329	2643.65523
0.62638	96535.56911	2642.65523
0.62456	96433.83074	2641.65523
0.62275	96332.30716	2640.65523
0.62094	96230.99737	2639.65523
0.61914	96129.90041	2638.65523
0.61735	96029.01527	2637.65523
0.61556	95928.34099	2636.65523
0.61377	95827.87659	2635.65523
0.61199	95727.62110	2634.65523
0.61022	95627.57356	2633.65523
0.60845	95527.73302	2632.65523
0.60669	95428.09853	2631.65523
0.60493	95328.66913	2630.65523
0.60318	95229.44388	2629.65523
0.60143	95130.42185	2628.65523
0.59969	95031.60210	2627.65523
0.59795	94932.98371	2626.65523
0.59622	94834.56576	2625.65523
0.59449	94736.34732	2624.65523
0.59277	94638.32749	2623.65523
0.59105	94540.50536	2622.65523
0.58934	94442.88001	2621.65523
0.58764	94345.45056	2620.65523
0.58594	94248.21611	2619.65523
0.58424	94151.17577	2618.65523
0.58255	94054.32865	2617.65523
