Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.09203E5	2689.01063
0.99998	1.09198E5	2688.91500
0.99716	1.09062E5	2687.91500
0.99435	1.08925E5	2686.91500
0.99154	1.08789E5	2685.91500
0.98874	1.08654E5	2684.91500
0.98596	1.08518E5	2683.91500
0.98318	1.08383E5	2682.91500
0.98041	1.08249E5	2681.91500
0.97765	1.08115E5	2680.91500
0.97490	1.07981E5	2679.91500
0.97215	1.07847E5	2678.91500
0.96942	1.07714E5	2677.91500
0.96669	1.07581E5	2676.91500
0.96397	1.07449E5	2675.91500
0.96126	1.07317E5	2674.91500
0.95856	1.07185E5	2673.91500
0.95587	1.07053E5	2672.91500
0.95319	1.06922E5	2671.91500
0.95051	1.06791E5	2670.91500
0.94784	1.06661E5	2669.91500
0.94518	1.06531E5	2668.91500
0.94253	1.06401E5	2667.91500
0.93989	1.06271E5	2666.91500
0.93726	1.06142E5	2665.91500
0.93463	1.06013E5	2664.91500
0.93201	1.05885E5	2663.91500
0.92940	1.05756E5	2662.91500
0.92680	1.05628E5	2661.91500
0.92421	1.05501E5	2660.91500
0.92162	1.05374E5	2659.91500
0.91904	1.05247E5	2658.91500
0.91647	1.05120E5	2657.91500
0.91391	1.04994E5	2656.91500
0.91136	1.04868E5	2655.91500
0.90881	1.04742E5	2654.91500
0.90627	1.04616E5	2653.91500
0.90374	1.04491E5	2652.91500
0.90122	1.04366E5	2651.91500
0.89870	1.04242E5	2650.91500
0.89619	1.04118E5	2649.91500
0.89369	1.03994E5	2648.91500
0.89120	1.03870E5	2647.91500
0.88871	1.03747E5	2646.91500
0.88624	1.03624E5	2645.91500
0.88377	1.03501E5	2644.91500
0.88130	1.03379E5	2643.91500
0.87885	1.03257E5	2642.91500
0.87640	1.03135E5	2641.91500
0.87396	1.03013E5	2640.91500
0.87152	1.02892E5	2639.91500
0.86910	1.02771E5	2638.91500
0.86668	1.02650E5	2637.91500
0.86427	1.02530E5	2636.91500
0.86186	1.02410E5	2635.91500
0.85946	1.02290E5	2634.91500
0.85707	1.02170E5	2633.91500
0.85469	1.02051E5	2632.91500
0.85231	1.01932E5	2631.91500
0.84994	1.01813E5	2630.91500
0.84758	1.01695E5	2629.91500
0.84523	1.01577E5	2628.91500
0.84288	1.01459E5	2627.91500
