Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.47316E5	3356.67178
0.99996	1.47310E5	3356.57616
0.99253	1.46926E5	3355.57616
0.98518	1.46546E5	3354.57616
0.97790	1.46169E5	3353.57616
0.97070	1.45796E5	3352.57616
0.96358	1.45426E5	3351.57616
0.95652	1.45060E5	3350.57616
0.94954	1.44697E5	3349.57616
0.94263	1.44338E5	3348.57616
0.93579	1.43981E5	3347.57616
0.92901	1.43629E5	3346.57616
0.92231	1.43279E5	3345.57616
0.91567	1.42932E5	3344.57616
0.90910	1.42589E5	3343.57616
0.90259	1.42249E5	3342.57616
0.89615	1.41911E5	3341.57616
0.88978	1.41577E5	3340.57616
0.88346	1.41246E5	3339.57616
0.87721	1.40917E5	3338.57616
0.87102	1.40592E5	3337.57616
0.86489	1.40269E5	3336.57616
0.85882	1.39950E5	3335.57616
0.85281	1.39633E5	3334.57616
0.84686	1.39318E5	3333.57616
0.84096	1.39007E5	3332.57616
0.83512	1.38698E5	3331.57616
0.82934	1.38392E5	3330.57616
0.82362	1.38088E5	3329.57616
0.81794	1.37787E5	3328.57616
0.81233	1.37489E5	3327.57616
0.80676	1.37193E5	3326.57616
0.80125	1.36900E5	3325.57616
0.79579	1.36609E5	3324.57616
0.79039	1.36320E5	3323.57616
0.78503	1.36034E5	3322.57616
0.77973	1.35750E5	3321.57616
0.77447	1.35469E5	3320.57616
0.76926	1.35190E5	3319.57616
0.76411	1.34913E5	3318.57616
0.75900	1.34638E5	3317.57616
0.75393	1.34366E5	3316.57616
0.74892	1.34095E5	3315.57616
0.74395	1.33827E5	3314.57616
0.73902	1.33562E5	3313.57616
0.73414	1.33298E5	3312.57616
0.72931	1.33036E5	3311.57616
0.72452	1.32777E5	3310.57616
0.71977	1.32519E5	3309.57616
0.71507	1.32263E5	3308.57616
0.71041	1.32010E5	3307.57616
0.70579	1.31758E5	3306.57616
0.70121	1.31509E5	3305.57616
0.69668	1.31261E5	3304.57616
0.69218	1.31015E5	3303.57616
0.68773	1.30771E5	3302.57616
0.68331	1.30529E5	3301.57616
0.67894	1.30289E5	3300.57616
0.67460	1.30050E5	3299.57616
0.67030	1.29814E5	3298.57616
0.66604	1.29579E5	3297.57616
0.66182	1.29346E5	3296.57616
0.65763	1.29114E5	3295.57616
0.65348	1.28885E5	3294.57616
0.64937	1.28657E5	3293.57616
0.64529	1.28431E5	3292.57616
0.64125	1.28206E5	3291.57616
0.63724	1.27983E5	3290.57616
0.63327	1.27761E5	3289.57616
0.62933	1.27542E5	3288.57616
0.62543	1.27323E5	3287.57616
0.62155	1.27107E5	3286.57616
0.61772	1.26892E5	3285.57616
0.61391	1.26678E5	3284.57616
0.61014	1.26466E5	3283.57616
0.60640	1.26255E5	3282.57616
0.60269	1.26046E5	3281.57616
0.59901	1.25839E5	3280.57616
0.59537	1.25632E5	3279.57616
0.59175	1.25428E5	3278.57616
0.58817	1.25224E5	3277.57616
0.58461	1.25022E5	3276.57616
0.58109	1.24822E5	3275.57616
0.57759	1.24622E5	3274.57616
0.57413	1.24425E5	3273.57616
0.57069	1.24228E5	3272.57616
0.56728	1.24033E5	3271.57616
0.56390	1.23839E5	3270.57616
0.56054	1.23646E5	3269.57616
0.55722	1.23455E5	3268.57616
0.55392	1.23265E5	3267.57616
0.55065	1.23076E5	3266.57616
0.54740	1.22888E5	3265.57616
0.54418	1.22702E5	3264.57616
0.54099	1.22517E5	3263.57616
0.53782	1.22333E5	3262.57616
0.53468	1.22150E5	3261.57616
0.53157	1.21969E5	3260.57616
0.52848	1.21788E5	3259.57616
0.52541	1.21609E5	3258.57616
0.52237	1.21431E5	3257.57616
0.51935	1.21254E5	3256.57616
