Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.16824E5	2806.43446
0.99998	1.16819E5	2806.33883
0.99683	1.16664E5	2805.33883
0.99370	1.16510E5	2804.33883
0.99057	1.16356E5	2803.33883
0.98746	1.16202E5	2802.33883
0.98436	1.16049E5	2801.33883
0.98127	1.15897E5	2800.33883
0.97819	1.15745E5	2799.33883
0.97513	1.15593E5	2798.33883
0.97207	1.15442E5	2797.33883
0.96903	1.15291E5	2796.33883
0.96600	1.15141E5	2795.33883
0.96298	1.14992E5	2794.33883
0.95997	1.14842E5	2793.33883
0.95697	1.14693E5	2792.33883
0.95398	1.14545E5	2791.33883
0.95101	1.14397E5	2790.33883
0.94805	1.14250E5	2789.33883
0.94509	1.14103E5	2788.33883
0.94215	1.13956E5	2787.33883
0.93922	1.13810E5	2786.33883
0.93630	1.13664E5	2785.33883
0.93339	1.13519E5	2784.33883
0.93049	1.13374E5	2783.33883
0.92760	1.13229E5	2782.33883
0.92473	1.13085E5	2781.33883
0.92186	1.12942E5	2780.33883
0.91900	1.12799E5	2779.33883
0.91616	1.12656E5	2778.33883
0.91332	1.12514E5	2777.33883
0.91050	1.12372E5	2776.33883
0.90768	1.12230E5	2775.33883
0.90488	1.12089E5	2774.33883
0.90208	1.11948E5	2773.33883
0.89930	1.11808E5	2772.33883
0.89653	1.11668E5	2771.33883
0.89376	1.11529E5	2770.33883
0.89101	1.11390E5	2769.33883
0.88827	1.11251E5	2768.33883
0.88553	1.11113E5	2767.33883
0.88281	1.10975E5	2766.33883
0.88010	1.10837E5	2765.33883
0.87739	1.10700E5	2764.33883
0.87470	1.10563E5	2763.33883
0.87201	1.10427E5	2762.33883
0.86934	1.10291E5	2761.33883
0.86667	1.10155E5	2760.33883
0.86402	1.10020E5	2759.33883
0.86137	1.09885E5	2758.33883
0.85873	1.09751E5	2757.33883
0.85611	1.09617E5	2756.33883
0.85349	1.09483E5	2755.33883
0.85088	1.09350E5	2754.33883
0.84828	1.09217E5	2753.33883
0.84569	1.09084E5	2752.33883
0.84311	1.08952E5	2751.33883
0.84054	1.08820E5	2750.33883
0.83797	1.08689E5	2749.33883
0.83542	1.08558E5	2748.33883
0.83287	1.08427E5	2747.33883
0.83034	1.08296E5	2746.33883
0.82781	1.08166E5	2745.33883
0.82529	1.08037E5	2744.33883
0.82278	1.07907E5	2743.33883
0.82028	1.07778E5	2742.33883
0.81779	1.07649E5	2741.33883
0.81531	1.07521E5	2740.33883
0.81284	1.07393E5	2739.33883
0.81037	1.07265E5	2738.33883
0.80791	1.07138E5	2737.33883
0.80546	1.07011E5	2736.33883
0.80302	1.06884E5	2735.33883
0.80059	1.06758E5	2734.33883
0.79817	1.06632E5	2733.33883
0.79575	1.06506E5	2732.33883
0.79335	1.06381E5	2731.33883
0.79095	1.06256E5	2730.33883
0.78856	1.06131E5	2729.33883
0.78618	1.06007E5	2728.33883
0.78380	1.05883E5	2727.33883
0.78144	1.05759E5	2726.33883
0.77908	1.05636E5	2725.33883
0.77673	1.05513E5	2724.33883
0.77439	1.05390E5	2723.33883
0.77206	1.05268E5	2722.33883
0.76973	1.05146E5	2721.33883
0.76741	1.05024E5	2720.33883
0.76511	1.04902E5	2719.33883
0.76280	1.04781E5	2718.33883
0.76051	1.04660E5	2717.33883
0.75822	1.04540E5	2716.33883
0.75594	1.04419E5	2715.33883
0.75367	1.04299E5	2714.33883
0.75141	1.04180E5	2713.33883
0.74916	1.04060E5	2712.33883
0.74691	1.03941E5	2711.33883
0.74467	1.03822E5	2710.33883
0.74243	1.03704E5	2709.33883
0.74021	1.03586E5	2708.33883
0.73799	1.03468E5	2707.33883
0.73578	1.03350E5	2706.33883
0.73358	1.03233E5	2705.33883
0.73138	1.03116E5	2704.33883
0.72919	1.02999E5	2703.33883
0.72701	1.02883E5	2702.33883
0.72484	1.02767E5	2701.33883
0.72267	1.02651E5	2700.33883
0.72051	1.02535E5	2699.33883
0.71836	1.02420E5	2698.33883
0.71621	1.02305E5	2697.33883
0.71407	1.02190E5	2696.33883
0.71194	1.02075E5	2695.33883
0.70982	1.01961E5	2694.33883
0.70770	1.01847E5	2693.33883
0.70559	1.01733E5	2692.33883
0.70349	1.01620E5	2691.33883
0.70139	1.01507E5	2690.33883
0.69930	1.01394E5	2689.33883
0.69722	1.01281E5	2688.33883
0.69514	1.01169E5	2687.33883
0.69307	1.01057E5	2686.33883
0.69101	1.00945E5	2685.33883
0.68895	1.00834E5	2684.33883
0.68690	1.00722E5	2683.33883
0.68486	1.00611E5	2682.33883
0.68282	1.00500E5	2681.33883
0.68079	1.00390E5	2680.33883
0.67877	1.00280E5	2679.33883
0.67675	1.00170E5	2678.33883
0.67474	1.00060E5	2677.33883
0.67274	99950.27877	2676.33883
0.67074	99841.00742	2675.33883
0.66875	99731.98487	2674.33883
0.66676	99623.20992	2673.33883
0.66479	99514.68139	2672.33883
0.66281	99406.39811	2671.33883
0.66085	99298.35890	2670.33883
0.65889	99190.56261	2669.33883
0.65693	99083.00807	2668.33883
0.65499	98975.69414	2667.33883
0.65305	98868.61967	2666.33883
0.65111	98761.78352	2665.33883
0.64918	98655.18457	2664.33883
0.64726	98548.82169	2663.33883
0.64534	98442.69375	2662.33883
0.64343	98336.79965	2661.33883
0.64153	98231.13828	2660.33883
0.63963	98125.70854	2659.33883
0.63773	98020.50933	2658.33883
0.63585	97915.53957	2657.33883
0.63396	97810.79816	2656.33883
0.63209	97706.28405	2655.33883
0.63022	97601.99614	2654.33883
0.62835	97497.93338	2653.33883
0.62650	97394.09471	2652.33883
0.62464	97290.47907	2651.33883
0.62280	97187.08542	2650.33883
0.62096	97083.91271	2649.33883
0.61912	96980.95990	2648.33883
0.61729	96878.22597	2647.33883
0.61547	96775.70989	2646.33883
0.61365	96673.41063	2645.33883
0.61183	96571.32718	2644.33883
0.61003	96469.45854	2643.33883
0.60823	96367.80369	2642.33883
0.60643	96266.36164	2641.33883
0.60464	96165.13140	2640.33883
0.60285	96064.11197	2639.33883
0.60107	95963.30238	2638.33883
0.59930	95862.70164	2637.33883
0.59753	95762.30878	2636.33883
0.59576	95662.12284	2635.33883
0.59400	95562.14285	2634.33883
0.59225	95462.36785	2633.33883
0.59050	95362.79690	2632.33883
0.58876	95263.42904	2631.33883
0.58702	95164.26334	2630.33883
0.58529	95065.29885	2629.33883
0.58356	94966.53464	2628.33883
0.58184	94867.96979	2627.33883
0.58012	94769.60337	2626.33883
0.57841	94671.43446	2625.33883
0.57670	94573.46215	2624.33883
0.57500	94475.68553	2623.33883
0.57330	94378.10370	2622.33883
0.57161	94280.71577	2621.33883
0.56992	94183.52082	2620.33883
0.56824	94086.51798	2619.33883
0.56656	93989.70636	2618.33883
0.56489	93893.08507	2617.33883
0.56322	93796.65325	2616.33883
0.56156	93700.41002	2615.33883
0.55990	93604.35452	2614.33883
0.55825	93508.48587	2613.33883
0.55660	93412.80323	2612.33883
0.55496	93317.30573	2611.33883
0.55332	93221.99253	2610.33883
0.55168	93126.86279	2609.33883
0.55005	93031.91566	2608.33883
0.54843	92937.15031	2607.33883
0.54681	92842.56590	2606.33883
0.54519	92748.16160	2605.33883
0.54358	92653.93660	2604.33883
0.54198	92559.89007	2603.33883
0.54038	92466.02119	2602.33883
0.53878	92372.32916	2601.33883
