Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.35024E5	3166.62129
0.99997	1.35019E5	3166.52566
0.99529	1.34778E5	3165.52566
0.99063	1.34538E5	3164.52566
0.98601	1.34299E5	3163.52566
0.98141	1.34061E5	3162.52566
0.97684	1.33825E5	3161.52566
0.97231	1.33590E5	3160.52566
0.96780	1.33357E5	3159.52566
0.96332	1.33125E5	3158.52566
0.95887	1.32894E5	3157.52566
0.95444	1.32664E5	3156.52566
0.95005	1.32436E5	3155.52566
0.94568	1.32209E5	3154.52566
0.94134	1.31983E5	3153.52566
0.93703	1.31759E5	3152.52566
0.93275	1.31535E5	3151.52566
0.92849	1.31313E5	3150.52566
0.92426	1.31092E5	3149.52566
0.92005	1.30872E5	3148.52566
0.91588	1.30654E5	3147.52566
0.91172	1.30436E5	3146.52566
0.90760	1.30220E5	3145.52566
0.90350	1.30005E5	3144.52566
0.89942	1.29791E5	3143.52566
0.89537	1.29578E5	3142.52566
0.89135	1.29367E5	3141.52566
0.88735	1.29156E5	3140.52566
0.88337	1.28947E5	3139.52566
0.87942	1.28738E5	3138.52566
0.87550	1.28531E5	3137.52566
0.87160	1.28325E5	3136.52566
0.86772	1.28120E5	3135.52566
0.86386	1.27916E5	3134.52566
0.86003	1.27713E5	3133.52566
0.85622	1.27511E5	3132.52566
0.85244	1.27310E5	3131.52566
0.84868	1.27110E5	3130.52566
0.84494	1.26911E5	3129.52566
0.84122	1.26714E5	3128.52566
0.83753	1.26517E5	3127.52566
0.83386	1.26321E5	3126.52566
0.83021	1.26126E5	3125.52566
0.82658	1.25932E5	3124.52566
0.82297	1.25739E5	3123.52566
0.81939	1.25547E5	3122.52566
0.81582	1.25356E5	3121.52566
0.81228	1.25166E5	3120.52566
0.80876	1.24977E5	3119.52566
0.80526	1.24789E5	3118.52566
0.80178	1.24602E5	3117.52566
0.79832	1.24416E5	3116.52566
0.79489	1.24230E5	3115.52566
0.79147	1.24046E5	3114.52566
0.78807	1.23862E5	3113.52566
0.78469	1.23680E5	3112.52566
0.78133	1.23498E5	3111.52566
0.77800	1.23317E5	3110.52566
0.77468	1.23137E5	3109.52566
0.77138	1.22958E5	3108.52566
0.76810	1.22779E5	3107.52566
0.76484	1.22602E5	3106.52566
0.76159	1.22425E5	3105.52566
0.75837	1.22250E5	3104.52566
0.75516	1.22075E5	3103.52566
0.75198	1.21900E5	3102.52566
0.74881	1.21727E5	3101.52566
0.74566	1.21555E5	3100.52566
0.74253	1.21383E5	3099.52566
0.73941	1.21212E5	3098.52566
0.73632	1.21042E5	3097.52566
0.73324	1.20873E5	3096.52566
0.73018	1.20704E5	3095.52566
0.72714	1.20536E5	3094.52566
0.72411	1.20369E5	3093.52566
0.72110	1.20203E5	3092.52566
0.71811	1.20038E5	3091.52566
0.71513	1.19873E5	3090.52566
0.71218	1.19709E5	3089.52566
0.70923	1.19546E5	3088.52566
0.70631	1.19383E5	3087.52566
0.70340	1.19221E5	3086.52566
0.70051	1.19060E5	3085.52566
0.69763	1.18900E5	3084.52566
0.69477	1.18740E5	3083.52566
0.69193	1.18581E5	3082.52566
0.68910	1.18423E5	3081.52566
0.68629	1.18266E5	3080.52566
0.68349	1.18109E5	3079.52566
0.68071	1.17953E5	3078.52566
0.67794	1.17797E5	3077.52566
0.67519	1.17642E5	3076.52566
0.67246	1.17488E5	3075.52566
0.66974	1.17335E5	3074.52566
0.66703	1.17182E5	3073.52566
0.66434	1.17030E5	3072.52566
0.66167	1.16879E5	3071.52566
0.65900	1.16728E5	3070.52566
0.65636	1.16578E5	3069.52566
0.65373	1.16428E5	3068.52566
0.65111	1.16279E5	3067.52566
0.64850	1.16131E5	3066.52566
0.64591	1.15983E5	3065.52566
0.64334	1.15836E5	3064.52566
0.64078	1.15690E5	3063.52566
0.63823	1.15544E5	3062.52566
0.63569	1.15399E5	3061.52566
0.63317	1.15254E5	3060.52566
0.63067	1.15110E5	3059.52566
0.62817	1.14967E5	3058.52566
0.62569	1.14824E5	3057.52566
0.62323	1.14682E5	3056.52566
0.62077	1.14540E5	3055.52566
0.61833	1.14399E5	3054.52566
0.61590	1.14258E5	3053.52566
0.61349	1.14119E5	3052.52566
0.61109	1.13979E5	3051.52566
0.60870	1.13840E5	3050.52566
0.60632	1.13702E5	3049.52566
0.60396	1.13564E5	3048.52566
0.60160	1.13427E5	3047.52566
0.59927	1.13291E5	3046.52566
0.59694	1.13155E5	3045.52566
0.59462	1.13019E5	3044.52566
0.59232	1.12884E5	3043.52566
0.59003	1.12750E5	3042.52566
0.58775	1.12616E5	3041.52566
0.58548	1.12482E5	3040.52566
0.58323	1.12349E5	3039.52566
0.58099	1.12217E5	3038.52566
0.57875	1.12085E5	3037.52566
0.57653	1.11954E5	3036.52566
0.57432	1.11823E5	3035.52566
0.57213	1.11692E5	3034.52566
0.56994	1.11563E5	3033.52566
0.56777	1.11433E5	3032.52566
0.56560	1.11304E5	3031.52566
0.56345	1.11176E5	3030.52566
0.56131	1.11048E5	3029.52566
0.55918	1.10921E5	3028.52566
0.55706	1.10794E5	3027.52566
0.55495	1.10667E5	3026.52566
0.55285	1.10541E5	3025.52566
0.55076	1.10416E5	3024.52566
0.54869	1.10290E5	3023.52566
0.54662	1.10166E5	3022.52566
0.54457	1.10042E5	3021.52566
0.54252	1.09918E5	3020.52566
0.54048	1.09795E5	3019.52566
0.53846	1.09672E5	3018.52566
0.53644	1.09550E5	3017.52566
0.53444	1.09428E5	3016.52566
0.53245	1.09306E5	3015.52566
0.53046	1.09185E5	3014.52566
0.52849	1.09064E5	3013.52566
0.52652	1.08944E5	3012.52566
0.52457	1.08825E5	3011.52566
0.52262	1.08705E5	3010.52566
0.52068	1.08586E5	3009.52566
0.51876	1.08468E5	3008.52566
0.51684	1.08350E5	3007.52566
0.51493	1.08232E5	3006.52566
0.51304	1.08115E5	3005.52566
0.51115	1.07998E5	3004.52566
0.50927	1.07882E5	3003.52566
0.50740	1.07766E5	3002.52566
0.50554	1.07650E5	3001.52566
0.50369	1.07535E5	3000.52566
0.50184	1.07420E5	2999.52566
0.50001	1.07305E5	2998.52566
0.49819	1.07191E5	2997.52566
0.49637	1.07078E5	2996.52566
0.49456	1.06964E5	2995.52566
0.49277	1.06852E5	2994.52566
0.49098	1.06739E5	2993.52566
0.48920	1.06627E5	2992.52566
0.48742	1.06515E5	2991.52566
0.48566	1.06404E5	2990.52566
0.48390	1.06293E5	2989.52566
0.48216	1.06182E5	2988.52566
0.48042	1.06072E5	2987.52566
0.47869	1.05962E5	2986.52566
0.47697	1.05852E5	2985.52566
0.47526	1.05743E5	2984.52566
0.47355	1.05634E5	2983.52566
0.47185	1.05526E5	2982.52566
0.47016	1.05418E5	2981.52566
0.46848	1.05310E5	2980.52566
0.46681	1.05202E5	2979.52566
0.46514	1.05095E5	2978.52566
0.46349	1.04988E5	2977.52566
0.46184	1.04882E5	2976.52566
0.46020	1.04776E5	2975.52566
0.45856	1.04670E5	2974.52566
0.45694	1.04565E5	2973.52566
0.45532	1.04460E5	2972.52566
0.45371	1.04355E5	2971.52566
0.45210	1.04251E5	2970.52566
0.45051	1.04146E5	2969.52566
0.44892	1.04043E5	2968.52566
0.44734	1.03939E5	2967.52566
0.44577	1.03836E5	2966.52566
0.44420	1.03733E5	2965.52566
0.44264	1.03631E5	2964.52566
0.44109	1.03529E5	2963.52566
0.43954	1.03427E5	2962.52566
0.43801	1.03325E5	2961.52566
0.43648	1.03224E5	2960.52566
0.43495	1.03123E5	2959.52566
0.43344	1.03022E5	2958.52566
0.43193	1.02922E5	2957.52566
0.43042	1.02822E5	2956.52566
0.42893	1.02722E5	2955.52566
0.42744	1.02623E5	2954.52566
0.42596	1.02523E5	2953.52566
0.42448	1.02425E5	2952.52566
0.42301	1.02326E5	2951.52566
0.42155	1.02228E5	2950.52566
0.42010	1.02130E5	2949.52566
0.41865	1.02032E5	2948.52566
0.41721	1.01935E5	2947.52566
0.41577	1.01837E5	2946.52566
0.41434	1.01741E5	2945.52566
0.41292	1.01644E5	2944.52566
0.41150	1.01548E5	2943.52566
0.41010	1.01452E5	2942.52566
0.40869	1.01356E5	2941.52566
0.40729	1.01260E5	2940.52566
0.40590	1.01165E5	2939.52566
0.40452	1.01070E5	2938.52566
0.40314	1.00976E5	2937.52566
0.40177	1.00881E5	2936.52566
0.40040	1.00787E5	2935.52566
0.39904	1.00693E5	2934.52566
0.39769	1.00599E5	2933.52566
0.39634	1.00506E5	2932.52566
0.39500	1.00413E5	2931.52566
0.39366	1.00320E5	2930.52566
0.39233	1.00227E5	2929.52566
0.39101	1.00135E5	2928.52566
0.38969	1.00043E5	2927.52566
0.38838	99951.19974	2926.52566
0.38707	99859.60114	2925.52566
0.38577	99768.24977	2924.52566
0.38447	99677.14415	2923.52566
0.38318	99586.28285	2922.52566
0.38190	99495.66442	2921.52566
0.38062	99405.28744	2920.52566
0.37935	99315.15047	2919.52566
0.37808	99225.25213	2918.52566
0.37682	99135.59100	2917.52566
0.37556	99046.16570	2916.52566
0.37431	98956.97486	2915.52566
