Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.33296E5	3112.65921
0.99998	1.33290E5	3112.56358
0.99558	1.33066E5	3111.56358
0.99121	1.32843E5	3110.56358
0.98687	1.32622E5	3109.56358
0.98255	1.32401E5	3108.56358
0.97826	1.32181E5	3107.56358
0.97399	1.31963E5	3106.56358
0.96975	1.31746E5	3105.56358
0.96553	1.31530E5	3104.56358
0.96134	1.31314E5	3103.56358
0.95717	1.31100E5	3102.56358
0.95303	1.30888E5	3101.56358
0.94891	1.30676E5	3100.56358
0.94481	1.30465E5	3099.56358
0.94074	1.30255E5	3098.56358
0.93670	1.30046E5	3097.56358
0.93267	1.29839E5	3096.56358
0.92867	1.29632E5	3095.56358
0.92470	1.29426E5	3094.56358
0.92074	1.29222E5	3093.56358
0.91681	1.29018E5	3092.56358
0.91290	1.28816E5	3091.56358
0.90902	1.28614E5	3090.56358
0.90515	1.28413E5	3089.56358
0.90131	1.28214E5	3088.56358
0.89749	1.28015E5	3087.56358
0.89369	1.27817E5	3086.56358
0.88992	1.27620E5	3085.56358
0.88616	1.27424E5	3084.56358
0.88243	1.27229E5	3083.56358
0.87872	1.27035E5	3082.56358
0.87503	1.26842E5	3081.56358
0.87136	1.26650E5	3080.56358
0.86771	1.26459E5	3079.56358
0.86408	1.26268E5	3078.56358
0.86047	1.26079E5	3077.56358
0.85688	1.25890E5	3076.56358
0.85332	1.25703E5	3075.56358
0.84977	1.25516E5	3074.56358
0.84624	1.25330E5	3073.56358
0.84273	1.25145E5	3072.56358
0.83924	1.24961E5	3071.56358
0.83577	1.24777E5	3070.56358
0.83232	1.24595E5	3069.56358
0.82889	1.24413E5	3068.56358
0.82548	1.24232E5	3067.56358
0.82209	1.24052E5	3066.56358
0.81872	1.23873E5	3065.56358
0.81536	1.23694E5	3064.56358
0.81202	1.23516E5	3063.56358
0.80870	1.23340E5	3062.56358
0.80540	1.23164E5	3061.56358
0.80212	1.22988E5	3060.56358
0.79886	1.22814E5	3059.56358
0.79561	1.22640E5	3058.56358
0.79238	1.22467E5	3057.56358
0.78917	1.22295E5	3056.56358
0.78597	1.22124E5	3055.56358
0.78280	1.21953E5	3054.56358
0.77964	1.21783E5	3053.56358
0.77650	1.21614E5	3052.56358
0.77337	1.21445E5	3051.56358
0.77026	1.21278E5	3050.56358
0.76717	1.21111E5	3049.56358
0.76409	1.20944E5	3048.56358
0.76103	1.20779E5	3047.56358
0.75799	1.20614E5	3046.56358
0.75497	1.20450E5	3045.56358
0.75196	1.20286E5	3044.56358
0.74896	1.20124E5	3043.56358
0.74598	1.19962E5	3042.56358
0.74302	1.19800E5	3041.56358
0.74007	1.19640E5	3040.56358
0.73714	1.19480E5	3039.56358
0.73423	1.19320E5	3038.56358
0.73133	1.19162E5	3037.56358
0.72844	1.19004E5	3036.56358
0.72557	1.18846E5	3035.56358
0.72272	1.18689E5	3034.56358
0.71988	1.18533E5	3033.56358
0.71705	1.18378E5	3032.56358
0.71424	1.18223E5	3031.56358
0.71145	1.18069E5	3030.56358
0.70867	1.17916E5	3029.56358
0.70590	1.17763E5	3028.56358
0.70315	1.17610E5	3027.56358
0.70041	1.17459E5	3026.56358
0.69769	1.17308E5	3025.56358
0.69498	1.17157E5	3024.56358
0.69228	1.17008E5	3023.56358
0.68960	1.16858E5	3022.56358
0.68694	1.16710E5	3021.56358
0.68428	1.16562E5	3020.56358
0.68164	1.16414E5	3019.56358
0.67901	1.16267E5	3018.56358
0.67640	1.16121E5	3017.56358
0.67380	1.15975E5	3016.56358
0.67121	1.15830E5	3015.56358
0.66864	1.15686E5	3014.56358
0.66608	1.15542E5	3013.56358
0.66353	1.15398E5	3012.56358
0.66100	1.15255E5	3011.56358
0.65848	1.15113E5	3010.56358
0.65597	1.14971E5	3009.56358
0.65347	1.14830E5	3008.56358
0.65099	1.14689E5	3007.56358
0.64851	1.14549E5	3006.56358
0.64606	1.14409E5	3005.56358
0.64361	1.14270E5	3004.56358
0.64118	1.14132E5	3003.56358
0.63875	1.13994E5	3002.56358
0.63634	1.13856E5	3001.56358
0.63394	1.13719E5	3000.56358
0.63156	1.13582E5	2999.56358
0.62918	1.13446E5	2998.56358
0.62682	1.13311E5	2997.56358
0.62447	1.13176E5	2996.56358
0.62213	1.13041E5	2995.56358
0.61980	1.12907E5	2994.56358
0.61749	1.12774E5	2993.56358
0.61518	1.12641E5	2992.56358
0.61289	1.12508E5	2991.56358
0.61061	1.12376E5	2990.56358
0.60834	1.12245E5	2989.56358
0.60608	1.12114E5	2988.56358
0.60383	1.11983E5	2987.56358
0.60159	1.11853E5	2986.56358
0.59936	1.11723E5	2985.56358
0.59715	1.11594E5	2984.56358
0.59494	1.11465E5	2983.56358
0.59275	1.11337E5	2982.56358
0.59056	1.11209E5	2981.56358
0.58839	1.11081E5	2980.56358
0.58623	1.10955E5	2979.56358
0.58408	1.10828E5	2978.56358
0.58193	1.10702E5	2977.56358
0.57980	1.10576E5	2976.56358
0.57768	1.10451E5	2975.56358
0.57557	1.10326E5	2974.56358
0.57347	1.10202E5	2973.56358
0.57138	1.10078E5	2972.56358
0.56930	1.09955E5	2971.56358
0.56722	1.09832E5	2970.56358
0.56516	1.09709E5	2969.56358
0.56311	1.09587E5	2968.56358
0.56107	1.09465E5	2967.56358
0.55904	1.09344E5	2966.56358
0.55701	1.09223E5	2965.56358
0.55500	1.09102E5	2964.56358
0.55300	1.08982E5	2963.56358
0.55100	1.08862E5	2962.56358
0.54902	1.08743E5	2961.56358
0.54704	1.08624E5	2960.56358
0.54508	1.08505E5	2959.56358
0.54312	1.08387E5	2958.56358
0.54117	1.08269E5	2957.56358
0.53923	1.08152E5	2956.56358
0.53730	1.08035E5	2955.56358
0.53538	1.07918E5	2954.56358
0.53347	1.07802E5	2953.56358
0.53157	1.07686E5	2952.56358
0.52968	1.07570E5	2951.56358
0.52779	1.07455E5	2950.56358
0.52591	1.07340E5	2949.56358
0.52405	1.07226E5	2948.56358
0.52219	1.07112E5	2947.56358
0.52034	1.06998E5	2946.56358
0.51849	1.06885E5	2945.56358
0.51666	1.06772E5	2944.56358
0.51483	1.06659E5	2943.56358
0.51302	1.06547E5	2942.56358
0.51121	1.06435E5	2941.56358
0.50941	1.06324E5	2940.56358
0.50762	1.06213E5	2939.56358
0.50583	1.06102E5	2938.56358
0.50406	1.05991E5	2937.56358
0.50229	1.05881E5	2936.56358
0.50053	1.05771E5	2935.56358
0.49878	1.05662E5	2934.56358
0.49703	1.05553E5	2933.56358
0.49530	1.05444E5	2932.56358
0.49357	1.05335E5	2931.56358
0.49185	1.05227E5	2930.56358
0.49014	1.05119E5	2929.56358
0.48843	1.05012E5	2928.56358
0.48673	1.04905E5	2927.56358
0.48504	1.04798E5	2926.56358
0.48336	1.04691E5	2925.56358
0.48169	1.04585E5	2924.56358
0.48002	1.04479E5	2923.56358
0.47836	1.04373E5	2922.56358
0.47671	1.04268E5	2921.56358
0.47506	1.04163E5	2920.56358
0.47343	1.04058E5	2919.56358
0.47180	1.03954E5	2918.56358
0.47017	1.03850E5	2917.56358
0.46856	1.03746E5	2916.56358
0.46695	1.03643E5	2915.56358
0.46534	1.03540E5	2914.56358
0.46375	1.03437E5	2913.56358
0.46216	1.03334E5	2912.56358
0.46058	1.03232E5	2911.56358
0.45901	1.03130E5	2910.56358
0.45744	1.03028E5	2909.56358
0.45588	1.02927E5	2908.56358
0.45433	1.02826E5	2907.56358
0.45278	1.02725E5	2906.56358
0.45124	1.02624E5	2905.56358
0.44971	1.02524E5	2904.56358
0.44818	1.02424E5	2903.56358
0.44666	1.02324E5	2902.56358
0.44515	1.02225E5	2901.56358
0.44364	1.02126E5	2900.56358
0.44214	1.02027E5	2899.56358
0.44065	1.01928E5	2898.56358
0.43916	1.01830E5	2897.56358
0.43768	1.01732E5	2896.56358
0.43620	1.01634E5	2895.56358
0.43473	1.01536E5	2894.56358
0.43327	1.01439E5	2893.56358
0.43182	1.01342E5	2892.56358
0.43037	1.01245E5	2891.56358
0.42892	1.01149E5	2890.56358
0.42748	1.01053E5	2889.56358
0.42605	1.00957E5	2888.56358
0.42463	1.00861E5	2887.56358
0.42321	1.00765E5	2886.56358
0.42180	1.00670E5	2885.56358
0.42039	1.00575E5	2884.56358
0.41899	1.00480E5	2883.56358
0.41759	1.00386E5	2882.56358
0.41620	1.00292E5	2881.56358
0.41482	1.00198E5	2880.56358
0.41344	1.00104E5	2879.56358
0.41207	1.00010E5	2878.56358
0.41070	99917.12151	2877.56358
0.40934	99824.08963	2876.56358
0.40799	99731.29539	2875.56358
0.40664	99638.73744	2874.56358
0.40529	99546.41445	2873.56358
0.40396	99454.32507	2872.56358
0.40262	99362.46799	2871.56358
0.40130	99270.84189	2870.56358
0.39997	99179.44547	2869.56358
0.39866	99088.27743	2868.56358
0.39735	98997.33648	2867.56358
0.39604	98906.62135	2866.56358
0.39474	98816.13076	2865.56358
0.39345	98725.86346	2864.56358
0.39216	98635.81820	2863.56358
0.39088	98545.99372	2862.56358
0.38960	98456.38881	2861.56358
0.38832	98367.00222	2860.56358
0.38705	98277.83274	2859.56358
0.38579	98188.87916	2858.56358
0.38453	98100.14029	2857.56358
0.38328	98011.61491	2856.56358
0.38203	97923.30186	2855.56358
0.38079	97835.19996	2854.56358
0.37955	97747.30802	2853.56358
0.37832	97659.62490	2852.56358
0.37709	97572.14943	2851.56358
0.37587	97484.88048	2850.56358
0.37465	97397.81690	2849.56358
0.37344	97310.95756	2848.56358
0.37223	97224.30134	2847.56358
0.37103	97137.84713	2846.56358
0.36983	97051.59381	2845.56358
0.36864	96965.54029	2844.56358
0.36745	96879.68547	2843.56358
0.36627	96794.02826	2842.56358
0.36509	96708.56759	2841.56358
0.36391	96623.30239	2840.56358
0.36274	96538.23159	2839.56358
