Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.53137E5	3459.66140
0.99994	1.53129E5	3459.56578
0.98942	1.52582E5	3458.56578
0.97906	1.52041E5	3457.56578
0.96885	1.51509E5	3456.56578
0.95879	1.50983E5	3455.56578
0.94888	1.50465E5	3454.56578
0.93910	1.49954E5	3453.56578
0.92947	1.49449E5	3452.56578
0.91998	1.48951E5	3451.56578
0.91062	1.48460E5	3450.56578
0.90140	1.47976E5	3449.56578
0.89230	1.47497E5	3448.56578
0.88334	1.47025E5	3447.56578
0.87450	1.46560E5	3446.56578
0.86578	1.46100E5	3445.56578
0.85718	1.45646E5	3444.56578
0.84871	1.45198E5	3443.56578
0.84035	1.44755E5	3442.56578
0.83211	1.44319E5	3441.56578
0.82397	1.43887E5	3440.56578
0.81596	1.43462E5	3439.56578
0.80804	1.43041E5	3438.56578
0.80024	1.42626E5	3437.56578
0.79254	1.42215E5	3436.56578
0.78495	1.41810E5	3435.56578
0.77746	1.41410E5	3434.56578
0.77006	1.41015E5	3433.56578
0.76277	1.40624E5	3432.56578
0.75557	1.40238E5	3431.56578
0.74847	1.39857E5	3430.56578
0.74146	1.39480E5	3429.56578
0.73454	1.39108E5	3428.56578
0.72771	1.38740E5	3427.56578
0.72097	1.38376E5	3426.56578
0.71432	1.38017E5	3425.56578
0.70775	1.37661E5	3424.56578
0.70127	1.37310E5	3423.56578
0.69487	1.36963E5	3422.56578
0.68855	1.36620E5	3421.56578
0.68231	1.36281E5	3420.56578
0.67616	1.35945E5	3419.56578
0.67008	1.35613E5	3418.56578
0.66407	1.35285E5	3417.56578
0.65814	1.34961E5	3416.56578
0.65229	1.34640E5	3415.56578
0.64650	1.34323E5	3414.56578
0.64079	1.34009E5	3413.56578
0.63515	1.33699E5	3412.56578
0.62958	1.33392E5	3411.56578
0.62408	1.33088E5	3410.56578
0.61864	1.32787E5	3409.56578
0.61327	1.32490E5	3408.56578
0.60797	1.32196E5	3407.56578
0.60273	1.31905E5	3406.56578
0.59755	1.31617E5	3405.56578
0.59244	1.31332E5	3404.56578
0.58738	1.31050E5	3403.56578
0.58239	1.30771E5	3402.56578
0.57746	1.30494E5	3401.56578
0.57258	1.30221E5	3400.56578
0.56776	1.29950E5	3399.56578
0.56300	1.29682E5	3398.56578
0.55829	1.29417E5	3397.56578
0.55364	1.29154E5	3396.56578
0.54904	1.28894E5	3395.56578
0.54450	1.28637E5	3394.56578
0.54001	1.28382E5	3393.56578
0.53557	1.28129E5	3392.56578
0.53118	1.27879E5	3391.56578
0.52684	1.27632E5	3390.56578
0.52255	1.27387E5	3389.56578
0.51831	1.27144E5	3388.56578
0.51412	1.26903E5	3387.56578
0.50998	1.26665E5	3386.56578
0.50588	1.26429E5	3385.56578
0.50183	1.26195E5	3384.56578
0.49782	1.25964E5	3383.56578
0.49386	1.25734E5	3382.56578
0.48994	1.25507E5	3381.56578
0.48607	1.25281E5	3380.56578
0.48223	1.25058E5	3379.56578
0.47844	1.24837E5	3378.56578
0.47470	1.24618E5	3377.56578
0.47099	1.24401E5	3376.56578
0.46732	1.24185E5	3375.56578
0.46369	1.23972E5	3374.56578
0.46011	1.23760E5	3373.56578
0.45656	1.23551E5	3372.56578
0.45305	1.23343E5	3371.56578
0.44957	1.23137E5	3370.56578
0.44614	1.22933E5	3369.56578
0.44274	1.22730E5	3368.56578
0.43938	1.22529E5	3367.56578
0.43605	1.22330E5	3366.56578
0.43276	1.22133E5	3365.56578
0.42950	1.21937E5	3364.56578
0.42628	1.21743E5	3363.56578
0.42309	1.21551E5	3362.56578
0.41993	1.21360E5	3361.56578
0.41681	1.21171E5	3360.56578
0.41371	1.20983E5	3359.56578
0.41066	1.20797E5	3358.56578
0.40763	1.20612E5	3357.56578
0.40463	1.20429E5	3356.56578
0.40167	1.20247E5	3355.56578
0.39873	1.20067E5	3354.56578
0.39582	1.19888E5	3353.56578
0.39295	1.19711E5	3352.56578
0.39010	1.19535E5	3351.56578
0.38728	1.19360E5	3350.56578
0.38449	1.19187E5	3349.56578
0.38173	1.19015E5	3348.56578
0.37900	1.18844E5	3347.56578
0.37629	1.18674E5	3346.56578
0.37361	1.18506E5	3345.56578
0.37096	1.18340E5	3344.56578
0.36833	1.18174E5	3343.56578
0.36573	1.18010E5	3342.56578
0.36316	1.17847E5	3341.56578
0.36061	1.17685E5	3340.56578
0.35808	1.17524E5	3339.56578
0.35558	1.17365E5	3338.56578
0.35310	1.17206E5	3337.56578
0.35065	1.17049E5	3336.56578
0.34822	1.16893E5	3335.56578
0.34582	1.16738E5	3334.56578
0.34344	1.16584E5	3333.56578
0.34108	1.16431E5	3332.56578
0.33874	1.16279E5	3331.56578
0.33643	1.16129E5	3330.56578
0.33414	1.15979E5	3329.56578
0.33187	1.15831E5	3328.56578
0.32962	1.15683E5	3327.56578
0.32739	1.15537E5	3326.56578
0.32518	1.15391E5	3325.56578
0.32300	1.15246E5	3324.56578
0.32083	1.15103E5	3323.56578
0.31869	1.14960E5	3322.56578
0.31656	1.14819E5	3321.56578
