Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.10401E5	2700.03229
0.99998	1.10396E5	2699.93667
0.99708	1.10256E5	2698.93667
0.99419	1.10116E5	2697.93667
0.99131	1.09977E5	2696.93667
0.98843	1.09838E5	2695.93667
0.98557	1.09699E5	2694.93667
0.98271	1.09561E5	2693.93667
0.97987	1.09423E5	2692.93667
0.97703	1.09285E5	2691.93667
0.97420	1.09148E5	2690.93667
0.97138	1.09011E5	2689.93667
0.96857	1.08874E5	2688.93667
0.96577	1.08738E5	2687.93667
0.96298	1.08602E5	2686.93667
0.96020	1.08467E5	2685.93667
0.95742	1.08331E5	2684.93667
0.95466	1.08197E5	2683.93667
0.95190	1.08062E5	2682.93667
0.94916	1.07928E5	2681.93667
0.94642	1.07794E5	2680.93667
0.94369	1.07661E5	2679.93667
0.94097	1.07528E5	2678.93667
0.93826	1.07395E5	2677.93667
0.93555	1.07263E5	2676.93667
0.93286	1.07130E5	2675.93667
0.93017	1.06999E5	2674.93667
0.92749	1.06867E5	2673.93667
0.92482	1.06736E5	2672.93667
0.92216	1.06606E5	2671.93667
0.91951	1.06475E5	2670.93667
0.91687	1.06345E5	2669.93667
0.91423	1.06215E5	2668.93667
0.91160	1.06086E5	2667.93667
0.90898	1.05957E5	2666.93667
0.90637	1.05828E5	2665.93667
0.90377	1.05699E5	2664.93667
0.90117	1.05571E5	2663.93667
0.89858	1.05443E5	2662.93667
0.89601	1.05316E5	2661.93667
0.89343	1.05189E5	2660.93667
0.89087	1.05062E5	2659.93667
0.88832	1.04935E5	2658.93667
0.88577	1.04809E5	2657.93667
0.88323	1.04683E5	2656.93667
0.88070	1.04557E5	2655.93667
0.87817	1.04432E5	2654.93667
0.87566	1.04307E5	2653.93667
0.87315	1.04182E5	2652.93667
0.87065	1.04058E5	2651.93667
0.86815	1.03934E5	2650.93667
0.86567	1.03810E5	2649.93667
0.86319	1.03686E5	2648.93667
0.86072	1.03563E5	2647.93667
0.85826	1.03440E5	2646.93667
0.85580	1.03317E5	2645.93667
0.85335	1.03195E5	2644.93667
0.85091	1.03073E5	2643.93667
0.84848	1.02951E5	2642.93667
0.84605	1.02829E5	2641.93667
0.84364	1.02708E5	2640.93667
0.84122	1.02587E5	2639.93667
0.83882	1.02467E5	2638.93667
0.83642	1.02346E5	2637.93667
0.83403	1.02226E5	2636.93667
0.83165	1.02106E5	2635.93667
0.82928	1.01987E5	2634.93667
0.82691	1.01867E5	2633.93667
0.82455	1.01748E5	2632.93667
0.82219	1.01630E5	2631.93667
0.81984	1.01511E5	2630.93667
0.81750	1.01393E5	2629.93667
0.81517	1.01275E5	2628.93667
0.81284	1.01158E5	2627.93667
0.81053	1.01040E5	2626.93667
0.80821	1.00923E5	2625.93667
0.80591	1.00806E5	2624.93667
0.80361	1.00690E5	2623.93667
0.80131	1.00573E5	2622.93667
0.79903	1.00457E5	2621.93667
0.79675	1.00342E5	2620.93667
0.79448	1.00226E5	2619.93667
0.79221	1.00111E5	2618.93667
0.78995	99995.69671	2617.93667
0.78770	99880.93809	2616.93667
0.78545	99766.43415	2615.93667
0.78321	99652.18373	2614.93667
0.78098	99538.18568	2613.93667
0.77875	99424.43886	2612.93667
0.77653	99310.94212	2611.93667
0.77432	99197.69432	2610.93667
0.77211	99084.69434	2609.93667
0.76991	98971.94106	2608.93667
0.76772	98859.43335	2607.93667
0.76553	98747.17011	2606.93667
0.76334	98635.15023	2605.93667
0.76117	98523.37260	2604.93667
0.75900	98411.83614	2603.93667
0.75683	98300.53974	2602.93667
0.75468	98189.48234	2601.93667
0.75252	98078.66285	2600.93667
0.75038	97968.08019	2599.93667
0.74824	97857.73330	2598.93667
0.74611	97747.62112	2597.93667
0.74398	97637.74258	2596.93667
0.74186	97528.09664	2595.93667
0.73974	97418.68225	2594.93667
0.73763	97309.49837	2593.93667
0.73553	97200.54396	2592.93667
0.73343	97091.81799	2591.93667
0.73134	96983.31944	2590.93667
0.72925	96875.04728	2589.93667
0.72717	96767.00049	2588.93667
0.72510	96659.17808	2587.93667
0.72303	96551.57902	2586.93667
0.72097	96444.20232	2585.93667
0.71891	96337.04699	2584.93667
0.71686	96230.11203	2583.93667
0.71481	96123.39645	2582.93667
0.71277	96016.89928	2581.93667
0.71073	95910.61954	2580.93667
0.70871	95804.55626	2579.93667
0.70668	95698.70846	2578.93667
0.70466	95593.07519	2577.93667
