Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.42841E5	3293.81120
0.99997	1.42835E5	3293.71557
0.99380	1.42516E5	3292.71557
0.98768	1.42199E5	3291.71557
0.98162	1.41884E5	3290.71557
0.97560	1.41572E5	3289.71557
0.96964	1.41263E5	3288.71557
0.96373	1.40956E5	3287.71557
0.95787	1.40651E5	3286.71557
0.95206	1.40348E5	3285.71557
0.94630	1.40048E5	3284.71557
0.94059	1.39750E5	3283.71557
0.93492	1.39454E5	3282.71557
0.92931	1.39160E5	3281.71557
0.92374	1.38869E5	3280.71557
0.91821	1.38580E5	3279.71557
0.91273	1.38292E5	3278.71557
0.90730	1.38007E5	3277.71557
0.90191	1.37724E5	3276.71557
0.89657	1.37444E5	3275.71557
0.89127	1.37165E5	3274.71557
0.88601	1.36888E5	3273.71557
0.88080	1.36613E5	3272.71557
0.87563	1.36341E5	3271.71557
0.87050	1.36070E5	3270.71557
0.86542	1.35801E5	3269.71557
0.86037	1.35534E5	3268.71557
0.85537	1.35269E5	3267.71557
0.85041	1.35006E5	3266.71557
0.84548	1.34744E5	3265.71557
0.84060	1.34485E5	3264.71557
0.83575	1.34227E5	3263.71557
0.83095	1.33971E5	3262.71557
0.82618	1.33717E5	3261.71557
0.82145	1.33465E5	3260.71557
0.81676	1.33214E5	3259.71557
0.81210	1.32965E5	3258.71557
0.80749	1.32718E5	3257.71557
0.80290	1.32473E5	3256.71557
0.79836	1.32229E5	3255.71557
0.79385	1.31987E5	3254.71557
0.78938	1.31746E5	3253.71557
0.78494	1.31508E5	3252.71557
0.78053	1.31270E5	3251.71557
0.77616	1.31035E5	3250.71557
0.77182	1.30800E5	3249.71557
0.76752	1.30568E5	3248.71557
0.76325	1.30337E5	3247.71557
0.75902	1.30107E5	3246.71557
0.75481	1.29879E5	3245.71557
0.75064	1.29653E5	3244.71557
0.74650	1.29428E5	3243.71557
0.74239	1.29204E5	3242.71557
0.73832	1.28982E5	3241.71557
0.73427	1.28762E5	3240.71557
0.73025	1.28542E5	3239.71557
0.72627	1.28324E5	3238.71557
0.72232	1.28108E5	3237.71557
0.71839	1.27893E5	3236.71557
0.71450	1.27679E5	3235.71557
0.71063	1.27467E5	3234.71557
0.70679	1.27256E5	3233.71557
0.70299	1.27046E5	3232.71557
0.69921	1.26837E5	3231.71557
0.69545	1.26630E5	3230.71557
0.69173	1.26425E5	3229.71557
0.68803	1.26220E5	3228.71557
0.68437	1.26017E5	3227.71557
0.68072	1.25815E5	3226.71557
0.67711	1.25614E5	3225.71557
0.67352	1.25414E5	3224.71557
0.66996	1.25216E5	3223.71557
0.66642	1.25019E5	3222.71557
0.66291	1.24823E5	3221.71557
0.65943	1.24628E5	3220.71557
0.65597	1.24434E5	3219.71557
0.65254	1.24241E5	3218.71557
0.64913	1.24050E5	3217.71557
0.64574	1.23860E5	3216.71557
0.64238	1.23671E5	3215.71557
0.63905	1.23483E5	3214.71557
0.63573	1.23296E5	3213.71557
0.63245	1.23110E5	3212.71557
0.62918	1.22925E5	3211.71557
0.62594	1.22741E5	3210.71557
0.62272	1.22559E5	3209.71557
0.61953	1.22377E5	3208.71557
0.61635	1.22197E5	3207.71557
0.61320	1.22017E5	3206.71557
0.61008	1.21839E5	3205.71557
0.60697	1.21661E5	3204.71557
0.60389	1.21485E5	3203.71557
0.60082	1.21309E5	3202.71557
0.59778	1.21135E5	3201.71557
0.59476	1.20961E5	3200.71557
0.59176	1.20789E5	3199.71557
0.58878	1.20617E5	3198.71557
0.58583	1.20446E5	3197.71557
0.58289	1.20277E5	3196.71557
0.57997	1.20108E5	3195.71557
0.57708	1.19940E5	3194.71557
0.57420	1.19773E5	3193.71557
0.57134	1.19607E5	3192.71557
0.56851	1.19442E5	3191.71557
0.56569	1.19277E5	3190.71557
0.56289	1.19114E5	3189.71557
0.56011	1.18951E5	3188.71557
0.55735	1.18790E5	3187.71557
0.55461	1.18629E5	3186.71557
0.55189	1.18469E5	3185.71557
0.54918	1.18310E5	3184.71557
0.54650	1.18151E5	3183.71557
0.54383	1.17994E5	3182.71557
0.54118	1.17837E5	3181.71557
0.53855	1.17681E5	3180.71557
0.53593	1.17526E5	3179.71557
0.53333	1.17372E5	3178.71557
0.53075	1.17219E5	3177.71557
0.52819	1.17066E5	3176.71557
0.52564	1.16914E5	3175.71557
0.52312	1.16763E5	3174.71557
0.52060	1.16613E5	3173.71557
0.51811	1.16463E5	3172.71557
0.51563	1.16314E5	3171.71557
0.51317	1.16166E5	3170.71557
0.51072	1.16018E5	3169.71557
0.50829	1.15872E5	3168.71557
0.50587	1.15726E5	3167.71557
0.50348	1.15581E5	3166.71557
0.50109	1.15436E5	3165.71557
0.49872	1.15292E5	3164.71557
0.49637	1.15149E5	3163.71557
0.49404	1.15007E5	3162.71557
0.49171	1.14865E5	3161.71557
0.48941	1.14724E5	3160.71557
0.48711	1.14584E5	3159.71557
0.48484	1.14444E5	3158.71557
0.48257	1.14305E5	3157.71557
0.48033	1.14166E5	3156.71557
0.47809	1.14029E5	3155.71557
0.47587	1.13892E5	3154.71557
0.47367	1.13755E5	3153.71557
0.47147	1.13619E5	3152.71557
0.46930	1.13484E5	3151.71557
0.46713	1.13350E5	3150.71557
0.46498	1.13216E5	3149.71557
0.46285	1.13082E5	3148.71557
0.46072	1.12950E5	3147.71557
0.45861	1.12817E5	3146.71557
0.45652	1.12686E5	3145.71557
0.45443	1.12555E5	3144.71557
0.45236	1.12425E5	3143.71557
0.45031	1.12295E5	3142.71557
0.44826	1.12166E5	3141.71557
0.44623	1.12037E5	3140.71557
0.44421	1.11909E5	3139.71557
0.44220	1.11782E5	3138.71557
0.44021	1.11655E5	3137.71557
0.43823	1.11529E5	3136.71557
0.43626	1.11403E5	3135.71557
0.43430	1.11277E5	3134.71557
0.43235	1.11153E5	3133.71557
0.43042	1.11029E5	3132.71557
0.42850	1.10905E5	3131.71557
0.42659	1.10782E5	3130.71557
0.42469	1.10659E5	3129.71557
0.42280	1.10537E5	3128.71557
0.42093	1.10416E5	3127.71557
0.41906	1.10295E5	3126.71557
0.41721	1.10174E5	3125.71557
0.41537	1.10054E5	3124.71557
0.41354	1.09935E5	3123.71557
0.41172	1.09816E5	3122.71557
0.40991	1.09697E5	3121.71557
0.40811	1.09579E5	3120.71557
0.40633	1.09462E5	3119.71557
0.40455	1.09345E5	3118.71557
0.40278	1.09228E5	3117.71557
0.40103	1.09112E5	3116.71557
0.39928	1.08996E5	3115.71557
0.39755	1.08881E5	3114.71557
0.39583	1.08766E5	3113.71557
0.39411	1.08652E5	3112.71557
0.39241	1.08538E5	3111.71557
0.39071	1.08425E5	3110.71557
0.38903	1.08312E5	3109.71557
0.38736	1.08200E5	3108.71557
0.38569	1.08088E5	3107.71557
0.38404	1.07976E5	3106.71557
0.38239	1.07865E5	3105.71557
0.38076	1.07754E5	3104.71557
0.37913	1.07644E5	3103.71557
0.37752	1.07534E5	3102.71557
0.37591	1.07425E5	3101.71557
0.37431	1.07316E5	3100.71557
0.37272	1.07207E5	3099.71557
0.37114	1.07099E5	3098.71557
0.36957	1.06991E5	3097.71557
0.36801	1.06884E5	3096.71557
0.36646	1.06777E5	3095.71557
0.36492	1.06670E5	3094.71557
0.36338	1.06564E5	3093.71557
0.36186	1.06458E5	3092.71557
0.36034	1.06353E5	3091.71557
0.35883	1.06248E5	3090.71557
0.35733	1.06143E5	3089.71557
0.35584	1.06039E5	3088.71557
0.35436	1.05935E5	3087.71557
0.35289	1.05832E5	3086.71557
0.35142	1.05729E5	3085.71557
0.34996	1.05626E5	3084.71557
0.34851	1.05524E5	3083.71557
0.34707	1.05422E5	3082.71557
0.34564	1.05320E5	3081.71557
0.34421	1.05219E5	3080.71557
0.34280	1.05118E5	3079.71557
0.34139	1.05017E5	3078.71557
0.33999	1.04917E5	3077.71557
0.33859	1.04817E5	3076.71557
0.33721	1.04718E5	3075.71557
0.33583	1.04618E5	3074.71557
0.33446	1.04519E5	3073.71557
0.33309	1.04421E5	3072.71557
0.33174	1.04323E5	3071.71557
0.33039	1.04225E5	3070.71557
0.32905	1.04127E5	3069.71557
0.32772	1.04030E5	3068.71557
