Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.55706E5	3506.94485
0.99993	1.55698E5	3506.84922
0.98700	1.55021E5	3505.84922
0.97430	1.54356E5	3504.84922
0.96183	1.53703E5	3503.84922
0.94959	1.53060E5	3502.84922
0.93757	1.52429E5	3501.84922
0.92576	1.51808E5	3500.84922
0.91415	1.51197E5	3499.84922
0.90276	1.50596E5	3498.84922
0.89156	1.50006E5	3497.84922
0.88055	1.49425E5	3496.84922
0.86974	1.48853E5	3495.84922
0.85912	1.48291E5	3494.84922
0.84867	1.47738E5	3493.84922
0.83841	1.47193E5	3492.84922
0.82831	1.46658E5	3491.84922
0.81839	1.46130E5	3490.84922
0.80864	1.45611E5	3489.84922
0.79905	1.45100E5	3488.84922
0.78961	1.44597E5	3487.84922
0.78034	1.44102E5	3486.84922
0.77122	1.43614E5	3485.84922
0.76224	1.43133E5	3484.84922
0.75342	1.42660E5	3483.84922
0.74474	1.42194E5	3482.84922
0.73619	1.41735E5	3481.84922
0.72779	1.41282E5	3480.84922
0.71952	1.40837E5	3479.84922
0.71138	1.40397E5	3478.84922
0.70337	1.39965E5	3477.84922
0.69549	1.39538E5	3476.84922
0.68773	1.39118E5	3475.84922
0.68009	1.38703E5	3474.84922
0.67258	1.38294E5	3473.84922
0.66518	1.37892E5	3472.84922
0.65789	1.37494E5	3471.84922
0.65071	1.37103E5	3470.84922
0.64365	1.36716E5	3469.84922
0.63669	1.36335E5	3468.84922
0.62984	1.35959E5	3467.84922
0.62309	1.35589E5	3466.84922
0.61645	1.35223E5	3465.84922
0.60990	1.34862E5	3464.84922
0.60345	1.34506E5	3463.84922
0.59710	1.34155E5	3462.84922
0.59084	1.33808E5	3461.84922
0.58467	1.33466E5	3460.84922
0.57859	1.33128E5	3459.84922
0.57260	1.32795E5	3458.84922
0.56670	1.32466E5	3457.84922
0.56089	1.32141E5	3456.84922
0.55515	1.31820E5	3455.84922
0.54950	1.31503E5	3454.84922
0.54394	1.31191E5	3453.84922
0.53845	1.30882E5	3452.84922
0.53303	1.30577E5	3451.84922
0.52770	1.30275E5	3450.84922
0.52244	1.29978E5	3449.84922
0.51725	1.29684E5	3448.84922
0.51213	1.29393E5	3447.84922
0.50709	1.29106E5	3446.84922
0.50212	1.28823E5	3445.84922
0.49721	1.28542E5	3444.84922
0.49237	1.28265E5	3443.84922
0.48760	1.27992E5	3442.84922
0.48289	1.27721E5	3441.84922
0.47825	1.27454E5	3440.84922
0.47367	1.27189E5	3439.84922
0.46915	1.26928E5	3438.84922
0.46469	1.26670E5	3437.84922
0.46029	1.26414E5	3436.84922
0.45595	1.26162E5	3435.84922
0.45167	1.25912E5	3434.84922
0.44744	1.25665E5	3433.84922
0.44327	1.25420E5	3432.84922
0.43915	1.25179E5	3431.84922
0.43509	1.24940E5	3430.84922
0.43108	1.24703E5	3429.84922
0.42712	1.24469E5	3428.84922
0.42322	1.24238E5	3427.84922
0.41936	1.24009E5	3426.84922
0.41555	1.23782E5	3425.84922
0.41179	1.23558E5	3424.84922
0.40808	1.23336E5	3423.84922
0.40442	1.23117E5	3422.84922
0.40080	1.22900E5	3421.84922
0.39722	1.22684E5	3420.84922
0.39370	1.22471E5	3419.84922
0.39021	1.22261E5	3418.84922
0.38677	1.22052E5	3417.84922
0.38337	1.21845E5	3416.84922
0.38002	1.21641E5	3415.84922
0.37670	1.21438E5	3414.84922
0.37343	1.21238E5	3413.84922
0.37019	1.21039E5	3412.84922
0.36700	1.20842E5	3411.84922
0.36384	1.20648E5	3410.84922
0.36072	1.20455E5	3409.84922
0.35764	1.20263E5	3408.84922
0.35460	1.20074E5	3407.84922
0.35159	1.19887E5	3406.84922
0.34862	1.19701E5	3405.84922
0.34568	1.19517E5	3404.84922
0.34278	1.19334E5	3403.84922
0.33991	1.19153E5	3402.84922
0.33708	1.18974E5	3401.84922
0.33428	1.18797E5	3400.84922
0.33151	1.18621E5	3399.84922
0.32877	1.18446E5	3398.84922
0.32607	1.18273E5	3397.84922
0.32340	1.18102E5	3396.84922
0.32075	1.17932E5	3395.84922
0.31814	1.17764E5	3394.84922
0.31556	1.17597E5	3393.84922
0.31301	1.17432E5	3392.84922
0.31048	1.17267E5	3391.84922
0.30799	1.17105E5	3390.84922
0.30552	1.16943E5	3389.84922
0.30308	1.16783E5	3388.84922
0.30067	1.16625E5	3387.84922
0.29828	1.16467E5	3386.84922
0.29592	1.16311E5	3385.84922
0.29359	1.16157E5	3384.84922
0.29129	1.16003E5	3383.84922
0.28900	1.15851E5	3382.84922
0.28675	1.15700E5	3381.84922
0.28452	1.15550E5	3380.84922
0.28231	1.15401E5	3379.84922
0.28013	1.15253E5	3378.84922
0.27797	1.15107E5	3377.84922
0.27583	1.14962E5	3376.84922
0.27372	1.14818E5	3375.84922
0.27163	1.14674E5	3374.84922
0.26956	1.14532E5	3373.84922
0.26751	1.14392E5	3372.84922
0.26549	1.14252E5	3371.84922
0.26349	1.14113E5	3370.84922
0.26151	1.13975E5	3369.84922
0.25954	1.13838E5	3368.84922
0.25760	1.13703E5	3367.84922
0.25569	1.13568E5	3366.84922
0.25379	1.13434E5	3365.84922
0.25191	1.13301E5	3364.84922
0.25005	1.13169E5	3363.84922
0.24820	1.13038E5	3362.84922
0.24638	1.12908E5	3361.84922
0.24458	1.12779E5	3360.84922
0.24279	1.12651E5	3359.84922
0.24103	1.12523E5	3358.84922
0.23928	1.12397E5	3357.84922
0.23755	1.12271E5	3356.84922
0.23584	1.12146E5	3355.84922
0.23414	1.12022E5	3354.84922
0.23246	1.11899E5	3353.84922
0.23080	1.11777E5	3352.84922
0.22915	1.11655E5	3351.84922
0.22753	1.11534E5	3350.84922
0.22591	1.11414E5	3349.84922
0.22432	1.11295E5	3348.84922
0.22274	1.11177E5	3347.84922
0.22117	1.11059E5	3346.84922
0.21962	1.10942E5	3345.84922
0.21809	1.10826E5	3344.84922
0.21657	1.10711E5	3343.84922
0.21506	1.10596E5	3342.84922
0.21357	1.10482E5	3341.84922
0.21210	1.10368E5	3340.84922
0.21063	1.10256E5	3339.84922
0.20919	1.10144E5	3338.84922
0.20775	1.10033E5	3337.84922
0.20633	1.09922E5	3336.84922
0.20493	1.09812E5	3335.84922
0.20354	1.09703E5	3334.84922
0.20216	1.09594E5	3333.84922
0.20079	1.09486E5	3332.84922
0.19944	1.09378E5	3331.84922
0.19810	1.09272E5	3330.84922
0.19677	1.09165E5	3329.84922
0.19545	1.09060E5	3328.84922
0.19415	1.08955E5	3327.84922
0.19286	1.08850E5	3326.84922
0.19158	1.08746E5	3325.84922
0.19031	1.08643E5	3324.84922
0.18906	1.08541E5	3323.84922
0.18781	1.08438E5	3322.84922
0.18658	1.08337E5	3321.84922
0.18536	1.08236E5	3320.84922
0.18415	1.08135E5	3319.84922
0.18295	1.08035E5	3318.84922
0.18176	1.07936E5	3317.84922
0.18059	1.07837E5	3316.84922
0.17942	1.07738E5	3315.84922
0.17826	1.07641E5	3314.84922
0.17712	1.07543E5	3313.84922
0.17598	1.07446E5	3312.84922
0.17486	1.07350E5	3311.84922
0.17374	1.07254E5	3310.84922
0.17264	1.07158E5	3309.84922
0.17154	1.07063E5	3308.84922
0.17046	1.06969E5	3307.84922
0.16938	1.06875E5	3306.84922
0.16832	1.06781E5	3305.84922
0.16726	1.06688E5	3304.84922
0.16621	1.06596E5	3303.84922
0.16517	1.06503E5	3302.84922
0.16414	1.06412E5	3301.84922
0.16312	1.06320E5	3300.84922
0.16211	1.06229E5	3299.84922
0.16111	1.06139E5	3298.84922
0.16011	1.06049E5	3297.84922
0.15913	1.05959E5	3296.84922
0.15815	1.05870E5	3295.84922
0.15718	1.05781E5	3294.84922
0.15622	1.05692E5	3293.84922
0.15527	1.05604E5	3292.84922
0.15433	1.05517E5	3291.84922
0.15339	1.05429E5	3290.84922
0.15246	1.05342E5	3289.84922
0.15154	1.05256E5	3288.84922
0.15063	1.05170E5	3287.84922
0.14972	1.05084E5	3286.84922
0.14883	1.04998E5	3285.84922
0.14794	1.04913E5	3284.84922
0.14705	1.04829E5	3283.84922
0.14618	1.04744E5	3282.84922
0.14531	1.04660E5	3281.84922
0.14445	1.04577E5	3280.84922
0.14360	1.04493E5	3279.84922
0.14275	1.04411E5	3278.84922
0.14191	1.04328E5	3277.84922
0.14108	1.04246E5	3276.84922
0.14025	1.04164E5	3275.84922
0.13943	1.04082E5	3274.84922
0.13862	1.04001E5	3273.84922
0.13782	1.03920E5	3272.84922
0.13702	1.03839E5	3271.84922
0.13622	1.03759E5	3270.84922
0.13544	1.03679E5	3269.84922
0.13466	1.03599E5	3268.84922
0.13388	1.03520E5	3267.84922
0.13312	1.03440E5	3266.84922
0.13236	1.03362E5	3265.84922
0.13160	1.03283E5	3264.84922
0.13085	1.03205E5	3263.84922
0.13011	1.03127E5	3262.84922
0.12937	1.03049E5	3261.84922
0.12864	1.02972E5	3260.84922
0.12791	1.02895E5	3259.84922
0.12719	1.02818E5	3258.84922
0.12648	1.02741E5	3257.84922
0.12577	1.02665E5	3256.84922
0.12507	1.02589E5	3255.84922
0.12437	1.02513E5	3254.84922
0.12367	1.02438E5	3253.84922
0.12299	1.02362E5	3252.84922
0.12231	1.02287E5	3251.84922
0.12163	1.02213E5	3250.84922
0.12096	1.02138E5	3249.84922
0.12029	1.02064E5	3248.84922
0.11963	1.01990E5	3247.84922
0.11897	1.01916E5	3246.84922
0.11832	1.01843E5	3245.84922
0.11768	1.01770E5	3244.84922
0.11704	1.01697E5	3243.84922
0.11640	1.01624E5	3242.84922
0.11577	1.01551E5	3241.84922
0.11514	1.01479E5	3240.84922
0.11452	1.01407E5	3239.84922
0.11390	1.01335E5	3238.84922
0.11329	1.01264E5	3237.84922
0.11268	1.01192E5	3236.84922
0.11208	1.01121E5	3235.84922
0.11148	1.01050E5	3234.84922
0.11088	1.00979E5	3233.84922
