Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.13744E5	2776.25828	49.91525	-2.91038E-11
0.99998	1.13739E5	2776.16265	49.91525	-0.45325
0.99727	1.13605E5	2775.16265	134.21544	-80.92091
0.99457	1.13471E5	2774.16265	133.83846	-161.04550
0.99188	1.13338E5	2773.16265	133.46341	-240.82883
0.98920	1.13205E5	2772.16265	133.09028	-320.27267
0.98653	1.13072E5	2771.16265	132.71905	-399.37883
0.98386	1.12939E5	2770.16265	132.34971	-478.14908
0.98121	1.12807E5	2769.16265	131.98224	-556.58518
0.97857	1.12676E5	2768.16265	131.61665	-634.68888
0.97593	1.12545E5	2767.16265	131.25291	-712.46193
0.97331	1.12414E5	2766.16265	130.89101	-789.90606
0.97069	1.12283E5	2765.16265	130.53095	-867.02298
0.96809	1.12153E5	2764.16265	130.17271	-943.81441
0.96549	1.12023E5	2763.16265	129.81627	-1020.28205
0.96290	1.11894E5	2762.16265	129.46164	-1096.42758
0.96032	1.11765E5	2761.16265	129.10880	-1172.25269
0.95775	1.11636E5	2760.16265	128.75773	-1247.75903
0.95519	1.11507E5	2759.16265	128.40843	-1322.94828
0.95264	1.11379E5	2758.16265	128.06088	-1397.82207
0.95010	1.11252E5	2757.16265	127.71508	-1472.38204
0.94757	1.11124E5	2756.16265	127.37101	-1546.62983
0.94504	1.10997E5	2755.16265	127.02866	-1620.56704
0.94253	1.10871E5	2754.16265	126.68803	-1694.19528
0.94002	1.10744E5	2753.16265	126.34910	-1767.51616
0.93752	1.10618E5	2752.16265	126.01186	-1840.53126
0.93503	1.10493E5	2751.16265	125.67631	-1913.24215
0.93255	1.10367E5	2750.16265	125.34242	-1985.65041
0.93008	1.10242E5	2749.16265	125.01020	-2057.75759
0.92762	1.10118E5	2748.16265	124.67963	-2129.56525
0.92516	1.09993E5	2747.16265	124.35069	-2201.07492
0.92272	1.09869E5	2746.16265	124.02339	-2272.28814
0.92028	1.09745E5	2745.16265	123.69772	-2343.20642
0.91785	1.09622E5	2744.16265	123.37365	-2413.83128
0.91543	1.09499E5	2743.16265	123.05118	-2484.16422
0.91302	1.09376E5	2742.16265	122.73031	-2554.20673
0.91061	1.09254E5	2741.16265	122.41102	-2623.96030
0.90822	1.09132E5	2740.16265	122.09330	-2693.42640
0.90583	1.09010E5	2739.16265	121.77715	-2762.60650
0.90345	1.08889E5	2738.16265	121.46254	-2831.50207
0.90108	1.08767E5	2737.16265	121.14949	-2900.11454
