Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.33267E5	3113.36601	55.80354	-2.91038E-11
0.99998	1.33262E5	3113.27039	55.80354	-0.92813
0.99562	1.33041E5	3112.27039	220.29177	-165.50776
0.99130	1.32822E5	3111.27039	219.15785	-329.01127
0.98700	1.32604E5	3110.27039	218.03300	-491.44742
0.98272	1.32387E5	3109.27039	216.91715	-652.82485
0.97848	1.32171E5	3108.27039	215.81020	-813.15213
0.97425	1.31957E5	3107.27039	214.71206	-972.43776
0.97005	1.31743E5	3106.27039	213.62266	-1130.69012
0.96588	1.31530E5	3105.27039	212.54191	-1287.91755
0.96173	1.31319E5	3104.27039	211.46972	-1444.12829
0.95761	1.31109E5	3103.27039	210.40602	-1599.33050
0.95351	1.30899E5	3102.27039	209.35072	-1753.53226
0.94943	1.30691E5	3101.27039	208.30374	-1906.74159
0.94538	1.30484E5	3100.27039	207.26500	-2058.96640
0.94135	1.30277E5	3099.27039	206.23443	-2210.21456
0.93734	1.30072E5	3098.27039	205.21194	-2360.49385
0.93336	1.29868E5	3097.27039	204.19746	-2509.81196
0.92940	1.29665E5	3096.27039	203.19092	-2658.17652
0.92547	1.29463E5	3095.27039	202.19224	-2805.59511
0.92155	1.29261E5	3094.27039	201.20133	-2952.07519
0.91766	1.29061E5	3093.27039	200.21815	-3097.62419
0.91380	1.28862E5	3092.27039	199.24259	-3242.24946
0.90995	1.28664E5	3091.27039	198.27461	-3385.95826
0.90613	1.28466E5	3090.27039	197.31412	-3528.75780
0.90233	1.28270E5	3089.27039	196.36106	-3670.65523
0.89855	1.28075E5	3088.27039	195.41535	-3811.65761
0.89479	1.27880E5	3087.27039	194.47693	-3951.77195
0.89105	1.27687E5	3086.27039	193.54572	-4091.00519
0.88734	1.27494E5	3085.27039	192.62167	-4229.36420
0.88364	1.27302E5	3084.27039	191.70471	-4366.85579
0.87997	1.27111E5	3083.27039	190.79476	-4503.48672
0.87632	1.26922E5	3082.27039	189.89177	-4639.26365
0.87269	1.26733E5	3081.27039	188.99567	-4774.19323
0.86907	1.26544E5	3080.27039	188.10640	-4908.28199
0.86548	1.26357E5	3079.27039	187.22389	-5041.53645
0.86191	1.26171E5	3078.27039	186.34808	-5173.96304
0.85836	1.25985E5	3077.27039	185.47891	-5305.56815
0.85483	1.25801E5	3076.27039	184.61632	-5436.35808
0.85132	1.25617E5	3075.27039	183.76025	-5566.33911
0.84783	1.25434E5	3074.27039	182.91064	-5695.51743
0.84436	1.25252E5	3073.27039	182.06743	-5823.89920
0.84091	1.25071E5	3072.27039	181.23056	-5951.49051
0.83748	1.24890E5	3071.27039	180.39997	-6078.29739
0.83406	1.24711E5	3070.27039	179.57561	-6204.32582
0.83067	1.24532E5	3069.27039	178.75742	-6329.58172
0.82729	1.24354E5	3068.27039	177.94535	-6454.07097
0.82394	1.24177E5	3067.27039	177.13933	-6577.79939
0.82060	1.24001E5	3066.27039	176.33932	-6700.77274
0.81728	1.23825E5	3065.27039	175.54526	-6822.99673
0.81398	1.23650E5	3064.27039	174.75709	-6944.47703
0.81069	1.23476E5	3063.27039	173.97477	-7065.21923
0.80743	1.23303E5	3062.27039	173.19824	-7185.22891
0.80418	1.23131E5	3061.27039	172.42745	-7304.51157
0.80095	1.22959E5	3060.27039	171.66234	-7423.07267
0.79774	1.22788E5	3059.27039	170.90287	-7540.91762
0.79454	1.22618E5	3058.27039	170.14899	-7658.05178
0.79137	1.22449E5	3057.27039	169.40065	-7774.48047
0.78821	1.22280E5	3056.27039	168.65779	-7890.20894
0.78506	1.22112E5	3055.27039	167.92038	-8005.24242
0.78194	1.21945E5	3054.27039	167.18835	-8119.58609
0.77883	1.21778E5	3053.27039	166.46167	-8233.24506
0.77574	1.21613E5	3052.27039	165.74028	-8346.22442
0.77266	1.21448E5	3051.27039	165.02414	-8458.52920
0.76960	1.21283E5	3050.27039	164.31320	-8570.16439
0.76656	1.21120E5	3049.27039	163.60742	-8681.13495
0.76354	1.20957E5	3048.27039	162.90676	-8791.44576
0.76053	1.20795E5	3047.27039	162.21115	-8901.10170
0.75753	1.20633E5	3046.27039	161.52058	-9010.10758
0.75455	1.20472E5	3045.27039	160.83497	-9118.46816
0.75159	1.20312E5	3044.27039	160.15431	-9226.18819
0.74865	1.20153E5	3043.27039	159.47853	-9333.27236
0.74572	1.19994E5	3042.27039	158.80761	-9439.72531
0.74280	1.19836E5	3041.27039	158.14149	-9545.55165
0.73990	1.19678E5	3040.27039	157.48014	-9650.75596
0.73702	1.19521E5	3039.27039	156.82351	-9755.34275
0.73415	1.19365E5	3038.27039	156.17157	-9859.31652
0.73130	1.19210E5	3037.27039	155.52426	-9962.68173
0.72846	1.19055E5	3036.27039	154.88156	-10065.44277
0.72563	1.18901E5	3035.27039	154.24343	-10167.60402
0.72283	1.18747E5	3034.27039	153.60981	-10269.16983
0.72003	1.18594E5	3033.27039	152.98068	-10370.14448
0.71725	1.18442E5	3032.27039	152.35600	-10470.53224
0.71449	1.18290E5	3031.27039	151.73573	-10570.33733
0.71174	1.18139E5	3030.27039	151.11982	-10669.56394
0.70900	1.17988E5	3029.27039	150.50825	-10768.21622
0.70628	1.17838E5	3028.27039	149.90098	-10866.29828
0.70357	1.17689E5	3027.27039	149.29796	-10963.81422
0.70088	1.17540E5	3026.27039	148.69917	-11060.76806
0.69820	1.17392E5	3025.27039	148.10457	-11157.16383
0.69553	1.17245E5	3024.27039	147.51412	-11253.00550
0.69288	1.17098E5	3023.27039	146.92778	-11348.29701
0.69024	1.16951E5	3022.27039	146.34553	-11443.04227
0.68762	1.16806E5	3021.27039	145.76733	-11537.24517
0.68500	1.16660E5	3020.27039	145.19313	-11630.90953
0.68241	1.16516E5	3019.27039	144.62292	-11724.03918
0.67982	1.16372E5	3018.27039	144.05666	-11816.63789
0.67725	1.16228E5	3017.27039	143.49430	-11908.70940
0.67469	1.16085E5	3016.27039	142.93583	-12000.25744
0.67215	1.15943E5	3015.27039	142.38121	-12091.28568
0.66961	1.15801E5	3014.27039	141.83040	-12181.79779
0.66709	1.15660E5	3013.27039	141.28337	-12271.79737
0.66459	1.15519E5	3012.27039	140.74010	-12361.28803
0.66209	1.15379E5	3011.27039	140.20055	-12450.27332
0.65961	1.15239E5	3010.27039	139.66469	-12538.75677
0.65714	1.15100E5	3009.27039	139.13249	-12626.74189
0.65469	1.14962E5	3008.27039	138.60391	-12714.23215
0.65224	1.14823E5	3007.27039	138.07894	-12801.23100
0.64981	1.14686E5	3006.27039	137.55754	-12887.74184
0.64739	1.14549E5	3005.27039	137.03967	-12973.76807
0.64498	1.14412E5	3004.27039	136.52532	-13059.31305
0.64259	1.14276E5	3003.27039	136.01445	-13144.38010
0.64020	1.14141E5	3002.27039	135.50703	-13228.97253
0.63783	1.14006E5	3001.27039	135.00304	-13313.09362
0.63547	1.13871E5	3000.27039	134.50244	-13396.74661
0.63312	1.13737E5	2999.27039	134.00522	-13479.93473
0.63079	1.13604E5	2998.27039	133.51133	-13562.66118
0.62846	1.13471E5	2997.27039	133.02076	-13644.92911
0.62615	1.13338E5	2996.27039	132.53348	-13726.74169
0.62385	1.13206E5	2995.27039	132.04946	-13808.10202
