Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	92796.30699	2352.64147	52.65381	0.00000
0.99998	92791.27197	2352.54585	52.65381	-0.53014
0.99603	92643.71900	2351.54585	147.55296	-94.97977
0.99209	92496.34335	2350.54585	147.37566	-189.28726
0.98814	92349.14312	2349.54585	147.20023	-283.45445
0.98421	92202.11644	2348.54585	147.02668	-377.48320
0.98027	92055.26143	2347.54585	146.85502	-471.37538
0.97634	91908.57617	2346.54585	146.68526	-565.13287
0.97241	91762.05876	2345.54585	146.51741	-658.75756
0.96848	91615.70729	2344.54585	146.35148	-752.25135
0.96456	91469.51980	2343.54585	146.18748	-845.61615
0.96064	91323.49437	2342.54585	146.02544	-938.85390
0.95672	91177.62902	2341.54585	145.86534	-1031.96652
0.95281	91031.92181	2340.54585	145.70722	-1124.95598
0.94889	90886.37073	2339.54585	145.55107	-1217.82424
0.94498	90740.97381	2338.54585	145.39693	-1310.57327
0.94107	90595.72902	2337.54585	145.24479	-1403.20508
0.93717	90450.63435	2336.54585	145.09467	-1495.72167
0.93326	90305.68777	2335.54585	144.94659	-1588.12506
0.92936	90160.88721	2334.54585	144.80055	-1680.41730
0.92546	90016.23062	2333.54585	144.65659	-1772.60043
0.92156	89871.71592	2332.54585	144.51471	-1864.67653
0.91766	89727.34100	2331.54585	144.37492	-1956.64769
0.91377	89583.10375	2330.54585	144.23725	-2048.51602
0.90988	89439.00204	2329.54585	144.10171	-2140.28363
0.90599	89295.03372	2328.54585	143.96832	-2231.95267
0.90209	89151.19662	2327.54585	143.83710	-2323.52531
0.89821	89007.48857	2326.54585	143.70806	-2415.00371
0.89432	88863.90734	2325.54585	143.58123	-2506.39010
0.89043	88720.45072	2324.54585	143.45662	-2597.68667
0.88655	88577.11646	2323.54585	143.33426	-2688.89569
0.88266	88433.90229	2322.54585	143.21417	-2780.01941
0.87878	88290.80593	2321.54585	143.09636	-2871.06012
0.87490	88147.82507	2320.54585	142.98086	-2962.02013
0.87102	88004.95737	2319.54585	142.86770	-3052.90178
0.86713	87862.20047	2318.54585	142.75690	-3143.70743
0.86325	87719.55200	2317.54585	142.64847	-3234.43946
0.85937	87577.00954	2316.54585	142.54246	-3325.10028
0.85549	87434.57067	2315.54585	142.43887	-3415.69233
0.85161	87292.23293	2314.54585	142.33774	-3506.21808
0.84773	87149.99382	2313.54585	142.23911	-3596.68001
0.84385	87007.85084	2312.54585	142.14298	-3687.08066
0.83997	86865.80144	2311.54585	142.04940	-3777.42257
0.83609	86723.84305	2310.54585	141.95839	-3867.70833
0.83221	86581.97306	2309.54585	141.86999	-3957.94056
0.82833	86440.18883	2308.54585	141.78423	-4048.12190
0.82445	86298.48770	2307.54585	141.70113	-4138.25504
0.82057	86156.86697	2306.54585	141.62074	-4228.34269
0.81669	86015.32388	2305.54585	141.54308	-4318.38761
0.81280	85873.85569	2304.54585	141.46820	-4408.39260
0.80892	85732.45956	2303.54585	141.39613	-4498.36047
0.80503	85591.13265	2302.54585	141.32691	-4588.29410
0.80115	85449.87207	2301.54585	141.26058	-4678.19639
0.79726	85308.67490	2300.54585	141.19717	-4768.07031
0.79337	85167.53816	2299.54585	141.13674	-4857.91884
0.78948	85026.45884	2298.54585	141.07932	-4947.74501
0.78558	84885.43388	2297.54585	141.02496	-5037.55192
0.78169	84744.46017	2296.54585	140.97371	-5127.34270
0.77779	84603.53456	2295.54585	140.92561	-5217.12052
0.77389	84462.65385	2294.54585	140.88071	-5306.88863
0.76999	84321.81480	2293.54585	140.83906	-5396.65029
