Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.33018E5	3112.08697	55.60502	0.00000
0.99998	1.33012E5	3111.99135	55.60502	-0.91430
0.99566	1.32795E5	3110.99135	217.97634	-163.04603
0.99138	1.32578E5	3109.99135	216.86048	-324.12048
0.98712	1.32362E5	3108.99135	215.75353	-484.14621
0.98288	1.32147E5	3107.99135	214.65541	-643.13172
0.97867	1.31934E5	3106.99135	213.56603	-801.08541
0.97448	1.31721E5	3105.99135	212.48531	-958.01558
0.97032	1.31510E5	3104.99135	211.41315	-1113.93049
0.96619	1.31299E5	3103.99135	210.34949	-1268.83829
0.96208	1.31090E5	3102.99135	209.29424	-1422.74706
0.95799	1.30882E5	3101.99135	208.24731	-1575.66481
0.95392	1.30675E5	3100.99135	207.20863	-1727.59946
0.94988	1.30468E5	3099.99135	206.17813	-1878.55886
0.94587	1.30263E5	3098.99135	205.15571	-2028.55079
0.94187	1.30059E5	3097.99135	204.14131	-2177.58295
0.93790	1.29856E5	3096.99135	203.13485	-2325.66297
0.93395	1.29654E5	3095.99135	202.13626	-2472.79839
0.93003	1.29453E5	3094.99135	201.14545	-2618.99671
0.92613	1.29253E5	3093.99135	200.16236	-2764.26533
0.92225	1.29053E5	3092.99135	199.18691	-2908.61160
0.91839	1.28855E5	3091.99135	198.21904	-3052.04278
0.91456	1.28658E5	3090.99135	197.25866	-3194.56608
0.91075	1.28462E5	3089.99135	196.30572	-3336.18863
0.90695	1.28266E5	3088.99135	195.36013	-3476.91751
0.90319	1.28072E5	3087.99135	194.42184	-3616.75971
0.89944	1.27878E5	3086.99135	193.49077	-3755.72217
0.89571	1.27686E5	3085.99135	192.56686	-3893.81175
0.89201	1.27494E5	3084.99135	191.65003	-4031.03527
0.88832	1.27303E5	3083.99135	190.74023	-4167.39946
0.88466	1.27114E5	3082.99135	189.83739	-4302.91101
0.88102	1.26925E5	3081.99135	188.94144	-4437.57653
0.87740	1.26737E5	3080.99135	188.05232	-4571.40258
0.87380	1.26549E5	3079.99135	187.16997	-4704.39565
0.87021	1.26363E5	3078.99135	186.29433	-4836.56218
0.86665	1.26178E5	3077.99135	185.42532	-4967.90854
0.86311	1.25993E5	3076.99135	184.56290	-5098.44105
0.85959	1.25809E5	3075.99135	183.70701	-5228.16596
0.85609	1.25627E5	3074.99135	182.85757	-5357.08947
0.85261	1.25445E5	3073.99135	182.01454	-5485.21774
0.84915	1.25263E5	3072.99135	181.17785	-5612.55683
0.84571	1.25083E5	3071.99135	180.34744	-5739.11279
0.84228	1.24904E5	3070.99135	179.52327	-5864.89159
0.83888	1.24725E5	3069.99135	178.70527	-5989.89915
0.83549	1.24547E5	3068.99135	177.89339	-6114.14133
0.83212	1.24370E5	3067.99135	177.08757	-6237.62395
0.82878	1.24194E5	3066.99135	176.28775	-6360.35278
0.82545	1.24018E5	3065.99135	175.49389	-6482.33350
0.82213	1.23843E5	3064.99135	174.70592	-6603.57179
