Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	87625.73140	2275.68107	49.97615	0.00000
0.99998	87620.95243	2275.58544	49.97615	-0.33834
0.99712	87508.49076	2274.58544	112.46167	-60.56346
0.99426	87396.17230	2273.58544	112.31846	-120.67729
0.99140	87283.99617	2272.58544	112.17612	-180.68069
0.98855	87171.96151	2271.58544	112.03466	-240.57453
0.98569	87060.06744	2270.58544	111.89407	-300.35967
0.98284	86948.31308	2269.58544	111.75436	-360.03698
0.98000	86836.69756	2268.58544	111.61552	-419.60735
0.97715	86725.22000	2267.58544	111.47756	-479.07163
0.97431	86613.87951	2266.58544	111.34049	-538.43070
0.97147	86502.67522	2265.58544	111.20429	-597.68545
0.96864	86391.60624	2264.58544	111.06898	-656.83674
0.96580	86280.67169	2263.58544	110.93455	-715.88548
0.96297	86169.87067	2262.58544	110.80101	-774.83252
0.96014	86059.20231	2261.58544	110.66836	-833.67878
0.95732	85948.66570	2260.58544	110.53660	-892.42512
0.95450	85838.25996	2259.58544	110.40574	-951.07245
0.95167	85727.98420	2258.58544	110.27577	-1009.62165
0.94886	85617.83750	2257.58544	110.14669	-1068.07363
0.94604	85507.81898	2256.58544	110.01852	-1126.42928
0.94323	85397.92774	2255.58544	109.89125	-1184.68951
0.94042	85288.16286	2254.58544	109.76488	-1242.85522
0.93761	85178.52344	2253.58544	109.63942	-1300.92732
0.93480	85069.00857	2252.58544	109.51487	-1358.90672
0.93199	84959.61734	2251.58544	109.39123	-1416.79433
0.92919	84850.34883	2250.58544	109.26851	-1474.59108
0.92639	84741.20213	2249.58544	109.14670	-1532.29789
0.92359	84632.17631	2248.58544	109.02582	-1589.91568
0.92080	84523.27044	2247.58544	108.90587	-1647.44538
0.91800	84414.48360	2246.58544	108.78684	-1704.88792
0.91521	84305.81486	2245.58544	108.66874	-1762.24424
0.91242	84197.26329	2244.58544	108.55158	-1819.51529
0.90963	84088.82793	2243.58544	108.43536	-1876.70201
0.90684	83980.50785	2242.58544	108.32008	-1933.80534
0.90405	83872.30211	2241.58544	108.20574	-1990.82624
0.90127	83764.20975	2240.58544	108.09236	-2047.76567
0.89849	83656.22982	2239.58544	107.97993	-2104.62460
0.89571	83548.36136	2238.58544	107.86846	-2161.40398
0.89293	83440.60340	2237.58544	107.75796	-2218.10480
0.89015	83332.95498	2236.58544	107.64842	-2274.72803
0.88737	83225.41513	2235.58544	107.53985	-2331.27466
0.88460	83117.98286	2234.58544	107.43227	-2387.74567
0.88183	83010.65720	2233.58544	107.32566	-2444.14207
0.87905	82903.43715	2232.58544	107.22005	-2500.46484
0.87628	82796.32173	2231.58544	107.11542	-2556.71500
0.87351	82689.30993	2230.58544	107.01180	-2612.89355
0.87075	82582.40076	2229.58544	106.90918	-2669.00152
0.86798	82475.59319	2228.58544	106.80756	-2725.03993
0.86521	82368.88623	2227.58544	106.70697	-2781.00981
0.86245	82262.27883	2226.58544	106.60739	-2836.91219
0.85968	82155.76999	2225.58544	106.50885	-2892.74813
0.85692	82049.35865	2224.58544	106.41134	-2948.51868
0.85416	81943.04379	2223.58544	106.31486	-3004.22489
0.85140	81836.82435	2222.58544	106.21944	-3059.86783
0.84864	81730.69927	2221.58544	106.12507	-3115.44857
0.84588	81624.66751	2220.58544	106.03177	-3170.96820
0.84312	81518.72798	2219.58544	105.93953	-3226.42780
0.84036	81412.87961	2218.58544	105.84837	-3281.82847
0.83760	81307.12132	2217.58544	105.75829	-3337.17132
0.83484	81201.45200	2216.58544	105.66931	-3392.45747
0.83209	81095.87057	2215.58544	105.58143	-3447.68804
0.82933	80990.37592	2214.58544	105.49466	-3502.86415
0.82657	80884.96691	2213.58544	105.40900	-3557.98696
0.82382	80779.64244	2212.58544	105.32448	-3613.05762
0.82106	80674.40135	2211.58544	105.24109	-3668.07728
0.81831	80569.24251	2210.58544	105.15884	-3723.04712
0.81555	80464.16476	2209.58544	105.07775	-3777.96832
0.81280	80359.16693	2208.58544	104.99783	-3832.84208
0.81004	80254.24785	2207.58544	104.91908	-3887.66960
0.80728	80149.40634	2206.58544	104.84151	-3942.45209
0.80453	80044.64119	2205.58544	104.76515	-3997.19078
0.80177	79939.95120	2204.58544	104.68999	-4051.88691
0.79902	79835.33515	2203.58544	104.61605	-4106.54173
0.79626	79730.79181	2202.58544	104.54334	-4161.15651
0.79350	79626.31993	2201.58544	104.47188	-4215.73251
0.79075	79521.91827	2200.58544	104.40167	-4270.27103
0.78799	79417.58555	2199.58544	104.33272	-4324.77337
0.78523	79313.32048	2198.58544	104.26506	-4379.24085
0.78247	79209.12179	2197.58544	104.19869	-4433.67480
0.77971	79104.98816	2196.58544	104.13363	-4488.07656
0.77695	79000.91826	2195.58544	104.06990	-4542.44749
0.77419	78896.91076	2194.58544	104.00750	-4596.78897
0.77143	78792.96432	2193.58544	103.94645	-4651.10239
0.76867	78689.07755	2192.58544	103.88676	-4705.38915
0.76590	78585.24909	2191.58544	103.82846	-4759.65068
0.76314	78481.47753	2190.58544	103.77156	-4813.88843
0.76037	78377.76145	2189.58544	103.71608	-4868.10384
0.75760	78274.09943	2188.58544	103.66202	-4922.29840
0.75483	78170.49001	2187.58544	103.60942	-4976.47359
0.75206	78066.93172	2186.58544	103.55828	-5030.63095
0.74929	77963.42309	2185.58544	103.50863	-5084.77199
0.74652	77859.96260	2184.58544	103.46049	-5138.89827
0.74374	77756.54873	2183.58544	103.41387	-5193.01136
0.74096	77653.18117	2182.58544	103.36755	-5247.11217
0.73818	77549.86219	2181.58544	103.31899	-5301.20373
0.73540	77446.59193	2180.58544	103.27025	-5355.28700
0.73262	77343.36873	2179.58544	103.22321	-5409.36370
0.72983	77240.19086	2178.58544	103.17787	-5463.43553
0.72705	77137.05658	2177.58544	103.13427	-5517.50424
0.72426	77033.96414	2176.58544	103.09244	-5571.57160
