Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.47085E5	3357.99662	66.91035	0.00000
0.99996	1.47079E5	3357.90099	66.91035	-1.80502
0.99255	1.46699E5	3356.90099	379.55413	-321.36487
0.98521	1.46323E5	3355.90099	375.93847	-637.42733
0.97796	1.45951E5	3354.90099	372.37210	-950.04049
0.97077	1.45582E5	3353.90099	368.85419	-1259.25161
0.96366	1.45216E5	3352.90099	365.38395	-1565.10722
0.95663	1.44854E5	3351.90099	361.96059	-1867.65303
0.94966	1.44496E5	3350.90099	358.58335	-2166.93404
0.94277	1.44141E5	3349.90099	355.25148	-2462.99450
0.93595	1.43789E5	3348.90099	351.96423	-2755.87791
0.92919	1.43440E5	3347.90099	348.72089	-3045.62711
0.92251	1.43094E5	3346.90099	345.52073	-3332.28420
0.91589	1.42752E5	3345.90099	342.36308	-3615.89062
0.90934	1.42413E5	3344.90099	339.24723	-3896.48715
0.90285	1.42077E5	3343.90099	336.17252	-4174.11387
0.89643	1.41744E5	3342.90099	333.13830	-4448.81027
0.89007	1.41413E5	3341.90099	330.14391	-4720.61517
0.88378	1.41086E5	3340.90099	327.18872	-4989.56679
0.87755	1.40762E5	3339.90099	324.27212	-5255.70272
0.87138	1.40441E5	3338.90099	321.39348	-5519.05997
0.86527	1.40122E5	3337.90099	318.55221	-5779.67497
0.85922	1.39806E5	3336.90099	315.74772	-6037.58354
0.85323	1.39493E5	3335.90099	312.97944	-6292.82098
0.84730	1.39183E5	3334.90099	310.24680	-6545.42200
0.84142	1.38875E5	3333.90099	307.54924	-6795.42079
0.83561	1.38571E5	3332.90099	304.88622	-7042.85099
0.82985	1.38268E5	3331.90099	302.25719	-7287.74571
0.82414	1.37969E5	3330.90099	299.66164	-7530.13757
0.81849	1.37672E5	3329.90099	297.09904	-7770.05866
0.81290	1.37377E5	3328.90099	294.56890	-8007.54060
0.80735	1.37085E5	3327.90099	292.07071	-8242.61449
0.80187	1.36795E5	3326.90099	289.60397	-8475.31097
0.79643	1.36508E5	3325.90099	287.16822	-8705.66021
0.79104	1.36223E5	3324.90099	284.76298	-8933.69192
0.78571	1.35941E5	3323.90099	282.38779	-9159.43535
0.78043	1.35661E5	3322.90099	280.04218	-9382.91931
0.77519	1.35383E5	3321.90099	277.72572	-9604.17216
0.77001	1.35108E5	3320.90099	275.43797	-9823.22186
0.76487	1.34835E5	3319.90099	273.17849	-10040.09591
0.75978	1.34564E5	3318.90099	270.94686	-10254.82143
0.75474	1.34295E5	3317.90099	268.74266	-10467.42511
0.74975	1.34028E5	3316.90099	266.56548	-10677.93325
0.74480	1.33764E5	3315.90099	264.41493	-10886.37176
0.73990	1.33502E5	3314.90099	262.29060	-11092.76615
0.73504	1.33241E5	3313.90099	260.19211	-11297.14156
0.73023	1.32983E5	3312.90099	258.11908	-11499.52276
0.72546	1.32727E5	3311.90099	256.07114	-11699.93416
0.72074	1.32473E5	3310.90099	254.04791	-11898.39979
0.71606	1.32221E5	3309.90099	252.04903	-12094.94334
0.71142	1.31971E5	3308.90099	250.07415	-12289.58815
0.70682	1.31723E5	3307.90099	248.12291	-12482.35721
0.70227	1.31477E5	3306.90099	246.19498	-12673.27320
0.69776	1.31232E5	3305.90099	244.29002	-12862.35844
0.69328	1.30990E5	3304.90099	242.40769	-13049.63495
0.68885	1.30750E5	3303.90099	240.54767	-13235.12440
0.68446	1.30511E5	3302.90099	238.70963	-13418.84818
0.68010	1.30274E5	3301.90099	236.89327	-13600.82735
0.67579	1.30039E5	3300.90099	235.09827	-13781.08268
0.67151	1.29806E5	3299.90099	233.32432	-13959.63464
0.66727	1.29574E5	3298.90099	231.57113	-14136.50339
0.66307	1.29344E5	3297.90099	229.83841	-14311.70883
0.65891	1.29116E5	3296.90099	228.12585	-14485.27056
0.65478	1.28890E5	3295.90099	226.43318	-14657.20790
0.65069	1.28665E5	3294.90099	224.76012	-14827.53991
0.64663	1.28442E5	3293.90099	223.10638	-14996.28536
0.64261	1.28220E5	3292.90099	221.47171	-15163.46277
0.63863	1.28000E5	3291.90099	219.85583	-15329.09040
0.63468	1.27782E5	3290.90099	218.25848	-15493.18625
0.63076	1.27565E5	3289.90099	216.67940	-15655.76806
