Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.06869E5	2614.66146	51.36633	0.00000
0.99998	1.06864E5	2614.56584	51.36633	-0.48094
0.99699	1.06725E5	2613.56584	138.92154	-85.97698
0.99401	1.06587E5	2612.56584	138.58942	-171.16987
0.99103	1.06448E5	2611.56584	138.25887	-256.06108
0.98807	1.06310E5	2610.56584	137.92986	-340.65209
0.98511	1.06173E5	2609.56584	137.60239	-424.94434
0.98216	1.06036E5	2608.56584	137.27645	-508.93930
0.97922	1.05899E5	2607.56584	136.95203	-592.63839
0.97628	1.05762E5	2606.56584	136.62914	-676.04306
0.97336	1.05626E5	2605.56584	136.30775	-759.15473
0.97045	1.05490E5	2604.56584	135.98786	-841.97483
0.96754	1.05354E5	2603.56584	135.66947	-924.50477
0.96464	1.05219E5	2602.56584	135.35256	-1006.74595
0.96175	1.05084E5	2601.56584	135.03713	-1088.69978
0.95887	1.04949E5	2600.56584	134.72317	-1170.36765
0.95599	1.04814E5	2599.56584	134.41068	-1251.75095
0.95313	1.04680E5	2598.56584	134.09964	-1332.85105
0.95027	1.04547E5	2597.56584	133.79005	-1413.66932
0.94742	1.04413E5	2596.56584	133.48191	-1494.20714
0.94458	1.04280E5	2595.56584	133.17520	-1574.46585
0.94174	1.04147E5	2594.56584	132.86992	-1654.44682
0.93892	1.04015E5	2593.56584	132.56605	-1734.15138
0.93610	1.03882E5	2592.56584	132.26360	-1813.58088
0.93329	1.03750E5	2591.56584	131.96256	-1892.73664
0.93049	1.03619E5	2590.56584	131.66292	-1971.62000
0.92769	1.03487E5	2589.56584	131.36467	-2050.23227
0.92491	1.03356E5	2588.56584	131.06781	-2128.57476
0.92213	1.03225E5	2587.56584	130.77232	-2206.64877
0.91936	1.03095E5	2586.56584	130.47821	-2284.45562
0.91660	1.02965E5	2585.56584	130.18547	-2361.99659
0.91384	1.02835E5	2584.56584	129.89408	-2439.27296
0.91109	1.02705E5	2583.56584	129.60405	-2516.28603
0.90835	1.02576E5	2582.56584	129.31536	-2593.03706
0.90562	1.02447E5	2581.56584	129.02801	-2669.52732
0.90289	1.02318E5	2580.56584	128.74199	-2745.75808
0.90018	1.02190E5	2579.56584	128.45731	-2821.73058
0.89747	1.02062E5	2578.56584	128.17394	-2897.44609
0.89476	1.01934E5	2577.56584	127.89188	-2972.90584
0.89207	1.01806E5	2576.56584	127.61113	-3048.11107
0.88938	1.01679E5	2575.56584	127.33169	-3123.06302
0.88670	1.01552E5	2574.56584	127.05354	-3197.76291
0.88403	1.01425E5	2573.56584	126.77667	-3272.21197
0.88136	1.01298E5	2572.56584	126.50109	-3346.41140
0.87870	1.01172E5	2571.56584	126.22679	-3420.36241
0.87605	1.01046E5	2570.56584	125.95376	-3494.06622
0.87340	1.00921E5	2569.56584	125.68199	-3567.52401
0.87077	1.00795E5	2568.56584	125.41148	-3640.73699
0.86814	1.00670E5	2567.56584	125.14222	-3713.70633
0.86551	1.00545E5	2566.56584	124.87421	-3786.43321
0.86290	1.00420E5	2565.56584	124.60744	-3858.91882
0.86029	1.00296E5	2564.56584	124.34191	-3931.16432
0.85768	1.00172E5	2563.56584	124.07760	-4003.17088
0.85509	1.00048E5	2562.56584	123.81452	-4074.93966
0.85250	99924.68070	2561.56584	123.55265	-4146.47180
0.84992	99801.38870	2560.56584	123.29200	-4217.76847
0.84734	99678.35614	2559.56584	123.03256	-4288.83080
0.84478	99555.58183	2558.56584	122.77431	-4359.65992
0.84221	99433.06457	2557.56584	122.51726	-4430.25698
0.83966	99310.80316	2556.56584	122.26140	-4500.62310
0.83711	99188.79644	2555.56584	122.00673	-4570.75941
0.83457	99067.04320	2554.56584	121.75323	-4640.66702
0.83203	98945.54229	2553.56584	121.50091	-4710.34704
0.82951	98824.29253	2552.56584	121.24976	-4779.80058
0.82699	98703.29277	2551.56584	120.99977	-4849.02874
0.82447	98582.54183	2550.56584	120.75093	-4918.03262
0.82196	98462.03858	2549.56584	120.50325	-4986.81332
0.81946	98341.78186	2548.56584	120.25672	-5055.37192
0.81696	98221.77053	2547.56584	120.01133	-5123.70951
0.81448	98102.00346	2546.56584	119.76708	-5191.82715
0.81199	97982.47950	2545.56584	119.52395	-5259.72593
0.80952	97863.19754	2544.56584	119.28196	-5327.40692
0.80705	97744.15646	2543.56584	119.04109	-5394.87117
0.80458	97625.35513	2542.56584	118.80133	-5462.11976
0.80213	97506.79244	2541.56584	118.56269	-5529.15372
0.79967	97388.46730	2540.56584	118.32515	-5595.97412
0.79723	97270.37858	2539.56584	118.08871	-5662.58199
0.79479	97152.52521	2538.56584	117.85338	-5728.97839
0.79236	97034.90608	2537.56584	117.61913	-5795.16434
0.78993	96917.52010	2536.56584	117.38597	-5861.14088
0.78751	96800.36620	2535.56584	117.15390	-5926.90903
0.78510	96683.44330	2534.56584	116.92290	-5992.46982
0.78269	96566.75032	2533.56584	116.69298	-6057.82427
0.78029	96450.28619	2532.56584	116.46413	-6122.97339
0.77789	96334.04985	2531.56584	116.23634	-6187.91820
0.77550	96218.04023	2530.56584	116.00961	-6252.65970
0.77311	96102.25630	2529.56584	115.78394	-6317.19888
0.77074	95986.69698	2528.56584	115.55932	-6381.53676
0.76836	95871.36124	2527.56584	115.33574	-6445.67431
0.76600	95756.24803	2526.56584	115.11321	-6509.61254
0.76364	95641.35631	2525.56584	114.89171	-6573.35243
0.76128	95526.68506	2524.56584	114.67125	-6636.89495
0.75893	95412.23325	2523.56584	114.45182	-6700.24110
0.75659	95297.99984	2522.56584	114.23341	-6763.39183
0.75425	95183.98381	2521.56584	114.01602	-6826.34812
0.75192	95070.18417	2520.56584	113.79965	-6889.11093
0.74959	94956.59987	2519.56584	113.58429	-6951.68124
0.74727	94843.22994	2518.56584	113.36994	-7014.05998
0.74495	94730.07335	2517.56584	113.15659	-7076.24813
0.74264	94617.12910	2516.56584	112.94424	-7138.24662
0.74034	94504.39621	2515.56584	112.73289	-7200.05641
0.73804	94391.87368	2514.56584	112.52253	-7261.67843
0.73575	94279.56052	2513.56584	112.31316	-7323.11364
0.73346	94167.45575	2512.56584	112.10477	-7384.36295
0.73117	94055.55839	2511.56584	111.89736	-7445.42731
0.72890	93943.86747	2510.56584	111.69093	-7506.30764
0.72663	93832.38200	2509.56584	111.48547	-7567.00487
0.72436	93721.10103	2508.56584	111.28097	-7627.51992
0.72210	93610.02359	2507.56584	111.07744	-7687.85370
0.71984	93499.14871	2506.56584	110.87488	-7748.00713
0.71759	93388.47544	2505.56584	110.67327	-7807.98113
0.71535	93278.00283	2504.56584	110.47261	-7867.77659
0.71311	93167.72993	2503.56584	110.27290	-7927.39442
0.71087	93057.65579	2502.56584	110.07414	-7986.83553
0.70864	92947.77947	2501.56584	109.87632	-8046.10080
0.70642	92838.10003	2500.56584	109.67944	-8105.19114
0.70420	92728.61653	2499.56584	109.48350	-8164.10744
0.70198	92619.32805	2498.56584	109.28848	-8222.85057
0.69977	92510.23365	2497.56584	109.09440	-8281.42144
0.69757	92401.33241	2496.56584	108.90124	-8339.82091
0.69537	92292.62340	2495.56584	108.70900	-8398.04987
0.69317	92184.10572	2494.56584	108.51768	-8456.10919
0.69098	92075.77844	2493.56584	108.32728	-8513.99974
0.68880	91967.64066	2492.56584	108.13778	-8571.72240
0.68662	91859.69146	2491.56584	107.94920	-8629.27802
0.68444	91751.92994	2490.56584	107.76152	-8686.66748
0.68227	91644.35520	2489.56584	107.57474	-8743.89162
0.68011	91536.96634	2488.56584	107.38886	-8800.95132
0.67795	91429.76246	2487.56584	107.20388	-8857.84742
0.67579	91322.74268	2486.56584	107.01978	-8914.58077
0.67364	91215.90610	2485.56584	106.83658	-8971.15223
0.67150	91109.25183	2484.56584	106.65427	-9027.56264
