Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.36674E5	3178.31524	57.50882	0.00000
0.99997	1.36668E5	3178.21962	57.50882	-1.06371
0.99514	1.36423E5	3177.21962	245.22180	-189.57769
0.99033	1.36179E5	3176.21962	243.77730	-376.71614
0.98556	1.35937E5	3175.21962	242.34576	-562.49156
0.98082	1.35696E5	3174.21962	240.92705	-746.91634
0.97612	1.35456E5	3173.21962	239.52102	-930.00270
0.97144	1.35218E5	3172.21962	238.12754	-1111.76275
0.96680	1.34982E5	3171.21962	236.74648	-1292.20847
0.96218	1.34746E5	3170.21962	235.37770	-1471.35170
0.95760	1.34512E5	3169.21962	234.02107	-1649.20415
0.95305	1.34280E5	3168.21962	232.67645	-1825.77742
0.94852	1.34048E5	3167.21962	231.34372	-2001.08296
0.94403	1.33818E5	3166.21962	230.02276	-2175.13212
0.93957	1.33589E5	3165.21962	228.71342	-2347.93611
0.93513	1.33362E5	3164.21962	227.41560	-2519.50604
0.93073	1.33136E5	3163.21962	226.12917	-2689.85287
0.92635	1.32911E5	3162.21962	224.85401	-2858.98747
0.92200	1.32687E5	3161.21962	223.58999	-3026.92059
0.91768	1.32465E5	3160.21962	222.33701	-3193.66286
0.91339	1.32244E5	3159.21962	221.09493	-3359.22479
0.90913	1.32024E5	3158.21962	219.86366	-3523.61679
0.90489	1.31806E5	3157.21962	218.64307	-3686.84916
0.90069	1.31588E5	3156.21962	217.43305	-3848.93208
0.89651	1.31372E5	3155.21962	216.23349	-4009.87564
0.89235	1.31157E5	3154.21962	215.04429	-4169.68980
0.88822	1.30943E5	3153.21962	213.86533	-4328.38444
0.88412	1.30730E5	3152.21962	212.69650	-4485.96932
0.88005	1.30519E5	3151.21962	211.53771	-4642.45410
0.87600	1.30308E5	3150.21962	210.38884	-4797.84834
0.87198	1.30099E5	3149.21962	209.24980	-4952.16151
0.86798	1.29891E5	3148.21962	208.12048	-5105.40297
0.86401	1.29684E5	3147.21962	207.00077	-5257.58198
0.86006	1.29478E5	3146.21962	205.89059	-5408.70772
0.85614	1.29273E5	3145.21962	204.78984	-5558.78925
0.85224	1.29070E5	3144.21962	203.69841	-5707.83556
0.84837	1.28867E5	3143.21962	202.61621	-5855.85553
0.84452	1.28665E5	3142.21962	201.54315	-6002.85797
0.84070	1.28465E5	3141.21962	200.47913	-6148.85157
0.83690	1.28266E5	3140.21962	199.42406	-6293.84495
0.83313	1.28067E5	3139.21962	198.37786	-6437.84664
0.82937	1.27870E5	3138.21962	197.34042	-6580.86509
0.82565	1.27673E5	3137.21962	196.31166	-6722.90863
0.82194	1.27478E5	3136.21962	195.29149	-6863.98555
0.81826	1.27284E5	3135.21962	194.27982	-7004.10402
0.81460	1.27091E5	3134.21962	193.27658	-7143.27215
0.81096	1.26898E5	3133.21962	192.28167	-7281.49796
0.80735	1.26707E5	3132.21962	191.29501	-7418.78938
0.80376	1.26517E5	3131.21962	190.31652	-7555.15427
0.80019	1.26327E5	3130.21962	189.34611	-7690.60042
0.79664	1.26139E5	3129.21962	188.38371	-7825.13551
0.79311	1.25952E5	3128.21962	187.42923	-7958.76717
0.78961	1.25765E5	3127.21962	186.48259	-8091.50295
0.78612	1.25580E5	3126.21962	185.54372	-8223.35031
0.78266	1.25395E5	3125.21962	184.61255	-8354.31666
0.77922	1.25211E5	3124.21962	183.68898	-8484.40930
0.77580	1.25028E5	3123.21962	182.77295	-8613.63550
