Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	84020.69991	2218.68548	48.53437	0.00000
0.99999	84016.05881	2218.58985	48.53437	-0.24317
0.99771	83921.39443	2217.58985	94.66438	-43.51190
0.99543	83826.85143	2216.58985	94.54300	-86.68901
0.99316	83732.42928	2215.58985	94.42215	-129.77501
0.99089	83638.12745	2214.58985	94.30182	-172.77044
0.98863	83543.94543	2213.58985	94.18203	-215.67582
0.98636	83449.88267	2212.58985	94.06276	-258.49167
0.98410	83355.93866	2211.58985	93.94401	-301.21852
0.98184	83262.11286	2210.58985	93.82580	-343.85689
0.97958	83168.40476	2209.58985	93.70811	-386.40732
0.97733	83074.81381	2208.58985	93.59094	-428.87032
0.97508	82981.33950	2207.58985	93.47431	-471.24642
0.97283	82887.98131	2206.58985	93.35820	-513.53615
0.97058	82794.73869	2205.58985	93.24261	-555.74003
0.96834	82701.61113	2204.58985	93.12756	-597.85858
0.96610	82608.59811	2203.58985	93.01303	-639.89235
0.96386	82515.69908	2202.58985	92.89902	-681.84184
0.96162	82422.91354	2201.58985	92.78554	-723.70759
0.95939	82330.24095	2200.58985	92.67259	-765.49013
0.95715	82237.68078	2199.58985	92.56017	-807.18998
0.95492	82145.23250	2198.58985	92.44827	-848.80767
0.95270	82052.89560	2197.58985	92.33690	-890.34374
0.95047	81960.66955	2196.58985	92.22606	-931.79871
0.94825	81868.55381	2195.58985	92.11574	-973.17311
0.94603	81776.54785	2194.58985	92.00595	-1014.46747
0.94381	81684.65116	2193.58985	91.89669	-1055.68232
0.94159	81592.86320	2192.58985	91.78796	-1096.81820
0.93938	81501.18344	2191.58985	91.67976	-1137.87563
0.93717	81409.61135	2190.58985	91.57209	-1178.85516
0.93496	81318.14640	2189.58985	91.46495	-1219.75732
0.93275	81226.78807	2188.58985	91.35833	-1260.58263
0.93054	81135.53582	2187.58985	91.25225	-1301.33164
0.92834	81044.38912	2186.58985	91.14670	-1342.00488
0.92614	80953.34743	2185.58985	91.04168	-1382.60290
0.92394	80862.41023	2184.58985	90.93720	-1423.12622
0.92174	80771.57698	2183.58985	90.83325	-1463.57540
0.91954	80680.84715	2182.58985	90.72983	-1503.95097
0.91735	80590.22020	2181.58985	90.62695	-1544.25346
0.91515	80499.69559	2180.58985	90.52461	-1584.48344
0.91296	80409.27280	2179.58985	90.42280	-1624.64144
0.91078	80318.95127	2178.58985	90.32153	-1664.72800
0.90859	80228.73047	2177.58985	90.22080	-1704.74367
0.90640	80138.60987	2176.58985	90.12060	-1744.68901
0.90422	80048.58892	2175.58985	90.02095	-1784.56456
0.90204	79958.66707	2174.58985	89.92184	-1824.37087
0.89986	79868.84379	2173.58985	89.82328	-1864.10849
0.89768	79779.11854	2172.58985	89.72526	-1903.77799
0.89550	79689.49076	2171.58985	89.62778	-1943.37991
0.89333	79599.95990	2170.58985	89.53085	-1982.91481
0.89115	79510.52543	2169.58985	89.43447	-2022.38326
0.88898	79421.18679	2168.58985	89.33864	-2061.78580
0.88681	79331.94342	2167.58985	89.24336	-2101.12302
