Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	95020.00986	2422.41116	49.00540	0.00000
0.99999	95015.32372	2422.31554	49.00540	-0.30307
0.99766	94908.96056	2421.31554	106.36316	-54.14846
0.99534	94802.78378	2420.31554	106.17678	-107.83464
0.99303	94696.79265	2419.31554	105.99113	-161.36230
0.99072	94590.98645	2418.31554	105.80620	-214.73211
0.98842	94485.36446	2417.31554	105.62199	-267.94477
0.98612	94379.92595	2416.31554	105.43851	-321.00095
0.98382	94274.67022	2415.31554	105.25574	-373.90133
0.98153	94169.59653	2414.31554	105.07368	-426.64659
0.97925	94064.70420	2413.31554	104.89233	-479.23739
0.97697	93959.99250	2412.31554	104.71170	-531.67441
0.97470	93855.46074	2411.31554	104.53176	-583.95832
0.97243	93751.10821	2410.31554	104.35253	-636.08978
0.97016	93646.93422	2409.31554	104.17400	-688.06944
0.96790	93542.93806	2408.31554	103.99616	-739.89798
0.96565	93439.11904	2407.31554	103.81901	-791.57604
0.96340	93335.47648	2406.31554	103.64256	-843.10429
0.96115	93232.00969	2405.31554	103.46680	-894.48337
0.95891	93128.71797	2404.31554	103.29171	-945.71393
0.95668	93025.60066	2403.31554	103.11732	-996.79662
0.95444	92922.65706	2402.31554	102.94360	-1047.73208
0.95222	92819.88651	2401.31554	102.77055	-1098.52095
0.95000	92717.28832	2400.31554	102.59818	-1149.16388
0.94778	92614.86184	2399.31554	102.42649	-1199.66150
0.94557	92512.60638	2398.31554	102.25546	-1250.01445
0.94336	92410.52128	2397.31554	102.08510	-1300.22335
0.94116	92308.60589	2396.31554	101.91540	-1350.28885
0.93896	92206.85953	2395.31554	101.74636	-1400.21155
0.93676	92105.28155	2394.31554	101.57798	-1449.99210
0.93457	92003.87129	2393.31554	101.41025	-1499.63111
0.93239	91902.62811	2392.31554	101.24318	-1549.12920
0.93021	91801.55135	2391.31554	101.07676	-1598.48700
0.92803	91700.64036	2390.31554	100.91099	-1647.70511
0.92586	91599.89449	2389.31554	100.74586	-1696.78415
0.92369	91499.31311	2388.31554	100.58138	-1745.72474
0.92153	91398.89558	2387.31554	100.41754	-1794.52748
0.91937	91298.64125	2386.31554	100.25433	-1843.19298
0.91722	91198.54948	2385.31554	100.09176	-1891.72184
0.91507	91098.61966	2384.31554	99.92983	-1940.11467
0.91292	90998.85114	2383.31554	99.76852	-1988.37207
0.91078	90899.24329	2382.31554	99.60785	-2036.49463
0.90864	90799.79549	2381.31554	99.44780	-2084.48296
0.90651	90700.50712	2380.31554	99.28837	-2132.33765
0.90438	90601.37756	2379.31554	99.12957	-2180.05928
0.90226	90502.40618	2378.31554	98.97138	-2227.64845
0.90014	90403.59237	2377.31554	98.81381	-2275.10575
0.89802	90304.93551	2376.31554	98.65686	-2322.43176
0.89591	90206.43499	2375.31554	98.50052	-2369.62708
0.89381	90108.09021	2374.31554	98.34479	-2416.69227
0.89170	90009.90055	2373.31554	98.18966	-2463.62792
0.88960	89911.86540	2372.31554	98.03514	-2510.43461
0.88751	89813.98417	2371.31554	97.88123	-2557.11291
0.88542	89716.25625	2370.31554	97.72792	-2603.66340
0.88333	89618.68105	2369.31554	97.57520	-2650.08665
0.88125	89521.25796	2368.31554	97.42309	-2696.38323
0.87917	89423.98639	2367.31554	97.27157	-2742.55372
0.87710	89326.86575	2366.31554	97.12064	-2788.59866
0.87503	89229.89545	2365.31554	96.97030	-2834.51864
0.87296	89133.07490	2364.31554	96.82055	-2880.31422
0.87090	89036.40351	2363.31554	96.67139	-2925.98594
0.86884	88939.88070	2362.31554	96.52281	-2971.53439
0.86678	88843.50589	2361.31554	96.37481	-3016.96010
0.86473	88747.27849	2360.31554	96.22740	-3062.26364
0.86269	88651.19793	2359.31554	96.08056	-3107.44557
0.86064	88555.26363	2358.31554	95.93430	-3152.50642
0.85860	88459.47501	2357.31554	95.78862	-3197.44677
0.85657	88363.83151	2356.31554	95.64350	-3242.26714
0.85454	88268.33255	2355.31554	95.49896	-3286.96810
