Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.03344E5	2572.70185	49.61453	1.45519E-11
0.99999	1.03339E5	2572.60623	49.61453	-0.37233
0.99748	1.03220E5	2571.60623	119.21535	-66.47256
0.99497	1.03101E5	2570.60623	118.95779	-132.34338
0.99248	1.02982E5	2569.60623	118.70135	-197.98582
0.98999	1.02863E5	2568.60623	118.44601	-263.40092
0.98751	1.02745E5	2567.60623	118.19177	-328.58971
0.98503	1.02627E5	2566.60623	117.93862	-393.55323
0.98256	1.02510E5	2565.60623	117.68655	-458.29249
0.98010	1.02392E5	2564.60623	117.43557	-522.80850
0.97765	1.02275E5	2563.60623	117.18567	-587.10228
0.97520	1.02158E5	2562.60623	116.93684	-651.17483
0.97276	1.02041E5	2561.60623	116.68907	-715.02717
0.97032	1.01925E5	2560.60623	116.44236	-778.66027
0.96789	1.01809E5	2559.60623	116.19671	-842.07513
0.96547	1.01693E5	2558.60623	115.95211	-905.27274
0.96306	1.01577E5	2557.60623	115.70855	-968.25409
0.96065	1.01462E5	2556.60623	115.46604	-1031.02014
0.95825	1.01346E5	2555.60623	115.22455	-1093.57186
0.95585	1.01231E5	2554.60623	114.98410	-1155.91024
0.95346	1.01117E5	2553.60623	114.74467	-1218.03621
0.95108	1.01002E5	2552.60623	114.50626	-1279.95076
0.94870	1.00888E5	2551.60623	114.26886	-1341.65482
0.94633	1.00774E5	2550.60623	114.03247	-1403.14935
0.94397	1.00660E5	2549.60623	113.79709	-1464.43528
0.94162	1.00547E5	2548.60623	113.56270	-1525.51356
0.93926	1.00433E5	2547.60623	113.32931	-1586.38513
0.93692	1.00320E5	2546.60623	113.09691	-1647.05090
0.93458	1.00207E5	2545.60623	112.86549	-1707.51181
0.93225	1.00095E5	2544.60623	112.63505	-1767.76878
0.92993	99982.17438	2543.60623	112.40558	-1827.82272
0.92761	99869.99729	2542.60623	112.17709	-1887.67455
0.92529	99758.04773	2541.60623	111.94956	-1947.32517
0.92299	99646.32474	2540.60623	111.72299	-2006.77548
0.92069	99534.82736	2539.60623	111.49738	-2066.02639
0.91839	99423.55464	2538.60623	111.27272	-2125.07878
