Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.14663E5	2785.26725	50.41301	0.00000
0.99998	1.14658E5	2785.17162	50.41301	-0.48278
0.99716	1.14519E5	2784.17162	139.46191	-86.15604
0.99434	1.14380E5	2783.17162	139.05884	-171.46019
0.99154	1.14241E5	2782.17162	138.65786	-256.39720
0.98875	1.14103E5	2781.17162	138.25896	-340.96902
0.98596	1.13965E5	2780.17162	137.86212	-425.17760
0.98319	1.13827E5	2779.17162	137.46734	-509.02488
0.98042	1.13690E5	2778.17162	137.07460	-592.51278
0.97767	1.13554E5	2777.17162	136.68389	-675.64321
0.97493	1.13417E5	2776.17162	136.29518	-758.41806
0.97219	1.13281E5	2775.17162	135.90849	-840.83922
0.96947	1.13146E5	2774.17162	135.52378	-922.90857
0.96676	1.13011E5	2773.17162	135.14104	-1004.62797
0.96405	1.12876E5	2772.17162	134.76028	-1085.99927
0.96136	1.12742E5	2771.17162	134.38146	-1167.02430
0.95867	1.12608E5	2770.17162	134.00459	-1247.70490
0.95600	1.12474E5	2769.17162	133.62964	-1328.04288
0.95333	1.12341E5	2768.17162	133.25661	-1408.04005
0.95068	1.12208E5	2767.17162	132.88549	-1487.69819
0.94803	1.12075E5	2766.17162	132.51626	-1567.01910
0.94539	1.11943E5	2765.17162	132.14890	-1646.00455
0.94277	1.11811E5	2764.17162	131.78342	-1724.65629
0.94015	1.11680E5	2763.17162	131.41980	-1802.97607
0.93754	1.11549E5	2762.17162	131.05802	-1880.96564
0.93494	1.11418E5	2761.17162	130.69808	-1958.62672
0.93235	1.11288E5	2760.17162	130.33997	-2035.96103
0.92977	1.11158E5	2759.17162	129.98366	-2112.97028
0.92720	1.11028E5	2758.17162	129.62916	-2189.65616
0.92464	1.10899E5	2757.17162	129.27645	-2266.02036
0.92208	1.10770E5	2756.17162	128.92552	-2342.06455
0.91954	1.10641E5	2755.17162	128.57635	-2417.79040
0.91700	1.10513E5	2754.17162	128.22895	-2493.19957
0.91448	1.10385E5	2753.17162	127.88329	-2568.29370
0.91196	1.10258E5	2752.17162	127.53937	-2643.07442
0.90945	1.10131E5	2751.17162	127.19718	-2717.54336
0.90695	1.10004E5	2750.17162	126.85670	-2791.70214
0.90446	1.09877E5	2749.17162	126.51792	-2865.55235
0.90198	1.09751E5	2748.17162	126.18084	-2939.09560
0.89950	1.09625E5	2747.17162	125.84545	-3012.33347
0.89704	1.09500E5	2746.17162	125.51173	-3085.26754
0.89458	1.09374E5	2745.17162	125.17968	-3157.89938
0.89213	1.09250E5	2744.17162	124.84928	-3230.23053
0.88969	1.09125E5	2743.17162	124.52052	-3302.26255
0.88726	1.09001E5	2742.17162	124.19340	-3373.99698
0.88484	1.08877E5	2741.17162	123.86790	-3445.43534
0.88243	1.08753E5	2740.17162	123.54402	-3516.57916
0.88002	1.08630E5	2739.17162	123.22174	-3587.42994
0.87762	1.08507E5	2738.17162	122.90106	-3657.98919
0.87523	1.08385E5	2737.17162	122.58197	-3728.25840
0.87285	1.08263E5	2736.17162	122.26445	-3798.23905
0.87048	1.08141E5	2735.17162	121.94850	-3867.93262
0.86812	1.08019E5	2734.17162	121.63410	-3937.34058
0.86576	1.07898E5	2733.17162	121.32126	-4006.46437
0.86341	1.07777E5	2732.17162	121.00995	-4075.30545
