Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.04771E5	2590.00230	50.29232	0.00000
0.99998	1.04766E5	2589.90668	50.29232	-0.41327
0.99729	1.04640E5	2588.90668	126.69468	-73.82229
0.99460	1.04513E5	2587.90668	126.40926	-146.97443
0.99192	1.04387E5	2586.90668	126.12512	-219.87087
0.98925	1.04261E5	2585.90668	125.84225	-292.51282
0.98658	1.04136E5	2584.90668	125.56063	-364.90145
0.98393	1.04010E5	2583.90668	125.28027	-437.03796
0.98128	1.03885E5	2582.90668	125.00115	-508.92350
0.97863	1.03761E5	2581.90668	124.72328	-580.55926
0.97600	1.03636E5	2580.90668	124.44664	-651.94640
0.97337	1.03512E5	2579.90668	124.17123	-723.08607
0.97075	1.03388E5	2578.90668	123.89704	-793.97942
0.96813	1.03265E5	2577.90668	123.62406	-864.62761
0.96553	1.03141E5	2576.90668	123.35230	-935.03176
0.96293	1.03018E5	2575.90668	123.08174	-1005.19302
0.96034	1.02895E5	2574.90668	122.81238	-1075.11252
0.95775	1.02773E5	2573.90668	122.54421	-1144.79137
0.95518	1.02651E5	2572.90668	122.27723	-1214.23069
0.95261	1.02529E5	2571.90668	122.01143	-1283.43161
0.95004	1.02407E5	2570.90668	121.74680	-1352.39521
0.94749	1.02285E5	2569.90668	121.48334	-1421.12261
0.94494	1.02164E5	2568.90668	121.22104	-1489.61490
0.94240	1.02043E5	2567.90668	120.95990	-1557.87317
0.93986	1.01922E5	2566.90668	120.69992	-1625.89850
0.93733	1.01802E5	2565.90668	120.44107	-1693.69198
0.93481	1.01682E5	2564.90668	120.18337	-1761.25467
0.93230	1.01562E5	2563.90668	119.92680	-1828.58765
0.92979	1.01442E5	2562.90668	119.67136	-1895.69199
0.92729	1.01323E5	2561.90668	119.41704	-1962.56873
0.92479	1.01204E5	2560.90668	119.16384	-2029.21894
0.92231	1.01085E5	2559.90668	118.91175	-2095.64365
0.91983	1.00966E5	2558.90668	118.66077	-2161.84393
0.91735	1.00848E5	2557.90668	118.41089	-2227.82079
0.91488	1.00729E5	2556.90668	118.16211	-2293.57528
0.91242	1.00612E5	2555.90668	117.91442	-2359.10842
0.90997	1.00494E5	2554.90668	117.66781	-2424.42124
0.90752	1.00376E5	2553.90668	117.42228	-2489.51475
0.90508	1.00259E5	2552.90668	117.17783	-2554.38998
0.90265	1.00142E5	2551.90668	116.93444	-2619.04792
0.90022	1.00026E5	2550.90668	116.69212	-2683.48958
0.89780	99909.18989	2549.90668	116.45086	-2747.71595
0.89538	99792.97923	2548.90668	116.21066	-2811.72804
0.89297	99677.00773	2547.90668	115.97150	-2875.52684
0.89057	99561.27434	2546.90668	115.73339	-2939.11332
0.88818	99445.77802	2545.90668	115.49632	-3002.48847
0.88579	99330.51775	2544.90668	115.26028	-3065.65325
0.88340	99215.49248	2543.90668	115.02526	-3128.60866
0.88103	99100.70120	2542.90668	114.79128	-3191.35563
0.87866	98986.14289	2541.90668	114.55831	-3253.89515
0.87629	98871.81653	2540.90668	114.32636	-3316.22817
0.87393	98757.72112	2539.90668	114.09542	-3378.35564
0.87158	98643.85564	2538.90668	113.86548	-3440.27850
0.86923	98530.21910	2537.90668	113.63654	-3501.99770
0.86689	98416.81051	2536.90668	113.40860	-3563.51419
0.86456	98303.62887	2535.90668	113.18164	-3624.82889
0.86223	98190.67319	2534.90668	112.95568	-3685.94273
0.85991	98077.94250	2533.90668	112.73069	-3746.85664
0.85760	97965.43582	2532.90668	112.50668	-3807.57155
0.85529	97853.15217	2531.90668	112.28365	-3868.08837
0.85298	97741.09059	2530.90668	112.06158	-3928.40801
0.85068	97629.25012	2529.90668	111.84047	-3988.53138
0.84839	97517.62980	2528.90668	111.62032	-4048.45939
0.84611	97406.22866	2527.90668	111.40113	-4108.19294
0.84383	97295.04578	2526.90668	111.18289	-4167.73292
0.84155	97184.08019	2525.90668	110.96559	-4227.08022
0.83928	97073.33096	2524.90668	110.74923	-4286.23575
0.83702	96962.79715	2523.90668	110.53381	-4345.20037
0.83476	96852.47783	2522.90668	110.31932	-4403.97497
0.83251	96742.37207	2521.90668	110.10576	-4462.56043
0.83026	96632.47894	2520.90668	109.89312	-4520.95761
0.82802	96522.79754	2519.90668	109.68140	-4579.16739
0.82579	96413.32694	2518.90668	109.47060	-4637.19063
0.82356	96304.06623	2517.90668	109.26071	-4695.02820
0.82134	96195.01451	2516.90668	109.05172	-4752.68094
0.81912	96086.17087	2515.90668	108.84364	-4810.14971
0.81691	95977.53442	2514.90668	108.63645	-4867.43536
0.81470	95869.10425	2513.90668	108.43016	-4924.53873
0.81250	95760.87949	2512.90668	108.22476	-4981.46067
0.81030	95652.85923	2511.90668	108.02025	-5038.20202
0.80811	95545.04261	2510.90668	107.81662	-5094.76360
0.80593	95437.42875	2509.90668	107.61387	-5151.14625
0.80375	95330.01676	2508.90668	107.41199	-5207.35080
0.80158	95222.80578	2507.90668	107.21098	-5263.37806
0.79941	95115.79494	2506.90668	107.01084	-5319.22886
0.79724	95008.98337	2505.90668	106.81156	-5374.90402
0.79509	94902.37023	2504.90668	106.61314	-5430.40433
0.79293	94795.95466	2503.90668	106.41558	-5485.73063
0.79079	94689.73579	2502.90668	106.21886	-5540.88370
0.78864	94583.71280	2501.90668	106.02300	-5595.86435
0.78651	94477.88482	2500.90668	105.82797	-5650.67338
0.78437	94372.25103	2499.90668	105.63379	-5705.31158
0.78225	94266.81058	2498.90668	105.44045	-5759.77975
0.78013	94161.56265	2497.90668	105.24793	-5814.07867
0.77801	94056.50640	2496.90668	105.05625	-5868.20913
0.77590	93951.64101	2495.90668	104.86539	-5922.17191
0.77379	93846.96566	2494.90668	104.67535	-5975.96778
0.77169	93742.47953	2493.90668	104.48613	-6029.59752
0.76959	93638.18180	2492.90668	104.29773	-6083.06191
0.76750	93534.07167	2491.90668	104.11013	-6136.36171
0.76542	93430.14832	2490.90668	103.92335	-6189.49768
