Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
0.62808	1.17337E5	3077.21324	148.56989	-14296.68164
0.62548	1.17189E5	3076.21324	147.93019	-14393.37450
0.62289	1.17041E5	3075.21324	147.29530	-14489.46904
0.62032	1.16895E5	3074.21324	146.66520	-14584.96985
0.61777	1.16749E5	3073.21324	146.03982	-14679.88148
0.61523	1.16603E5	3072.21324	145.41913	-14774.20843
0.61270	1.16458E5	3071.21324	144.80308	-14867.95517
0.61019	1.16314E5	3070.21324	144.19164	-14961.12611
0.60769	1.16171E5	3069.21324	143.58476	-15053.72565
0.60520	1.16028E5	3068.21324	142.98240	-15145.75813
0.60273	1.15885E5	3067.21324	142.38452	-15237.22785
0.60028	1.15744E5	3066.21324	141.79107	-15328.13907
0.59783	1.15602E5	3065.21324	141.20203	-15418.49603
0.59540	1.15462E5	3064.21324	140.61734	-15508.30290
0.59298	1.15322E5	3063.21324	140.03697	-15597.56384
0.59058	1.15182E5	3062.21324	139.46089	-15686.28297
0.58819	1.15043E5	3061.21324	138.88904	-15774.46434
0.58581	1.14905E5	3060.21324	138.32140	-15862.11201
0.58345	1.14767E5	3059.21324	137.75793	-15949.22998
0.58110	1.14630E5	3058.21324	137.19859	-16035.82221
0.57876	1.14493E5	3057.21324	136.64334	-16121.89263
0.57643	1.14357E5	3056.21324	136.09215	-16207.44514
0.57412	1.14222E5	3055.21324	135.54498	-16292.48360
0.57182	1.14087E5	3054.21324	135.00179	-16377.01183
0.56953	1.13952E5	3053.21324	134.46255	-16461.03363
0.56726	1.13818E5	3052.21324	133.92723	-16544.55276
0.56499	1.13685E5	3051.21324	133.39579	-16627.57293
0.56274	1.13552E5	3050.21324	132.86819	-16710.09784
0.56050	1.13420E5	3049.21324	132.34441	-16792.13116
0.55827	1.13288E5	3048.21324	131.82440	-16873.67650
0.55606	1.13157E5	3047.21324	131.30814	-16954.73747
0.55386	1.13026E5	3046.21324	130.79560	-17035.31762
0.55166	1.12896E5	3045.21324	130.28673	-17115.42049
0.54948	1.12766E5	3044.21324	129.78151	-17195.04958
0.54732	1.12637E5	3043.21324	129.27991	-17274.20835
0.54516	1.12508E5	3042.21324	128.78189	-17352.90026
0.54301	1.12379E5	3041.21324	128.28743	-17431.12869
0.54088	1.12252E5	3040.21324	127.79649	-17508.89705
0.53876	1.12124E5	3039.21324	127.30904	-17586.20867
0.53665	1.11998E5	3038.21324	126.82506	-17663.06688
0.53455	1.11871E5	3037.21324	126.34450	-17739.47497
0.53246	1.11745E5	3036.21324	125.86735	-17815.43620
0.53038	1.11620E5	3035.21324	125.39358	-17890.95381
0.52831	1.11495E5	3034.21324	124.92314	-17966.03101
0.52626	1.11371E5	3033.21324	124.45603	-18040.67097
0.52421	1.11247E5	3032.21324	123.99219	-18114.87685
0.52218	1.11123E5	3031.21324	123.53162	-18188.65177
0.52015	1.11000E5	3030.21324	123.07428	-18261.99883
0.51814	1.10877E5	3029.21324	122.62015	-18334.92109
0.51614	1.10755E5	3028.21324	122.16919	-18407.42162
0.51414	1.10633E5	3027.21324	121.72138	-18479.50342
0.51216	1.10512E5	3026.21324	121.27669	-18551.16949
0.51019	1.10391E5	3025.21324	120.83510	-18622.42279
0.50823	1.10271E5	3024.21324	120.39657	-18693.26627
0.50628	1.10151E5	3023.21324	119.96109	-18763.70284
0.50433	1.10031E5	3022.21324	119.52863	-18833.73540
0.50240	1.09912E5	3021.21324	119.09916	-18903.36681
0.50048	1.09794E5	3020.21324	118.67266	-18972.59991
0.49857	1.09675E5	3019.21324	118.24910	-19041.43754
0.49667	1.09558E5	3018.21324	117.82846	-19109.88247
0.49478	1.09440E5	3017.21324	117.41071	-19177.93749
0.49289	1.09323E5	3016.21324	116.99584	-19245.60534
0.49102	1.09207E5	3015.21324	116.58380	-19312.88874
0.48916	1.09090E5	3014.21324	116.17459	-19379.79041
0.48730	1.08975E5	3013.21324	115.76817	-19446.31301
0.48546	1.08859E5	3012.21324	115.36453	-19512.45920
0.48362	1.08744E5	3011.21324	114.96364	-19578.23163
0.48180	1.08630E5	3010.21324	114.56548	-19643.63289
0.47998	1.08516E5	3009.21324	114.17002	-19708.66559
0.47817	1.08402E5	3008.21324	113.77725	-19773.33230
0.47637	1.08288E5	3007.21324	113.38714	-19837.63555
0.47459	1.08175E5	3006.21324	112.99967	-19901.57788
0.47281	1.08063E5	3005.21324	112.61481	-19965.16179
0.47103	1.07951E5	3004.21324	112.23255	-20028.38977
0.46927	1.07839E5	3003.21324	111.85287	-20091.26428
0.46752	1.07727E5	3002.21324	111.47574	-20153.78777
0.46577	1.07616E5	3001.21324	111.10114	-20215.96266
0.46404	1.07505E5	3000.21324	110.72905	-20277.79135
0.46231	1.07395E5	2999.21324	110.35946	-20339.27623
0.46059	1.07285E5	2998.21324	109.99233	-20400.41966
0.45888	1.07175E5	2997.21324	109.62766	-20461.22399
0.45718	1.07066E5	2996.21324	109.26542	-20521.69154
0.45548	1.06957E5	2995.21324	108.90558	-20581.82462
0.45380	1.06849E5	2994.21324	108.54814	-20641.62551
0.45212	1.06741E5	2993.21324	108.19307	-20701.09649
0.45045	1.06633E5	2992.21324	107.84036	-20760.23981
0.44879	1.06525E5	2991.21324	107.48998	-20819.05770
0.44714	1.06418E5	2990.21324	107.14191	-20877.55237
0.44550	1.06311E5	2989.21324	106.79614	-20935.72602
0.44386	1.06205E5	2988.21324	106.45264	-20993.58083
0.44223	1.06099E5	2987.21324	106.11141	-21051.11896
0.44061	1.05993E5	2986.21324	105.77242	-21108.34254
0.43900	1.05887E5	2985.21324	105.43565	-21165.25372
0.43740	1.05782E5	2984.21324	105.10109	-21221.85459
0.43580	1.05678E5	2983.21324	104.76871	-21278.14725
0.43421	1.05573E5	2982.21324	104.43850	-21334.13377
0.43263	1.05469E5	2981.21324	104.11045	-21389.81621
0.43106	1.05365E5	2980.21324	103.78454	-21445.19662
0.42949	1.05262E5	2979.21324	103.46074	-21500.27701
0.42793	1.05159E5	2978.21324	103.13904	-21555.05940
0.42638	1.05056E5	2977.21324	102.81944	-21609.54578
0.42484	1.04953E5	2976.21324	102.50189	-21663.73813
0.42330	1.04851E5	2975.21324	102.18641	-21717.63841
0.42178	1.04749E5	2974.21324	101.87296	-21771.24856
0.42026	1.04648E5	2973.21324	101.56152	-21824.57052
0.41874	1.04546E5	2972.21324	101.25210	-21877.60620
0.41723	1.04446E5	2971.21324	100.94466	-21930.35750
0.41574	1.04345E5	2970.21324	100.63920	-21982.82630
0.41424	1.04245E5	2969.21324	100.33569	-22035.01448
0.41276	1.04145E5	2968.21324	100.03412	-22086.92389
0.41128	1.04045E5	2967.21324	99.73448	-22138.55637
0.40981	1.03945E5	2966.21324	99.43676	-22189.91375
0.40834	1.03846E5	2965.21324	99.14093	-22240.99783
0.40689	1.03747E5	2964.21324	98.84698	-22291.81042
0.40544	1.03649E5	2963.21324	98.55490	-22342.35330
0.40399	1.03551E5	2962.21324	98.26468	-22392.62824
0.40256	1.03453E5	2961.21324	97.97629	-22442.63700
0.40113	1.03355E5	2960.21324	97.68973	-22492.38131
0.39970	1.03257E5	2959.21324	97.40498	-22541.86290
0.39829	1.03160E5	2958.21324	97.12202	-22591.08349
0.39688	1.03064E5	2957.21324	96.84085	-22640.04479
0.39547	1.02967E5	2956.21324	96.56144	-22688.74847
0.39408	1.02871E5	2955.21324	96.28379	-22737.19622
0.39269	1.02775E5	2954.21324	96.00788	-22785.38970
0.39130	1.02679E5	2953.21324	95.73371	-22833.33055
0.38993	1.02583E5	2952.21324	95.46124	-22881.02041
0.38856	1.02488E5	2951.21324	95.19048	-22928.46091
0.38719	1.02393E5	2950.21324	94.92140	-22975.65366
0.38583	1.02299E5	2949.21324	94.65401	-23022.60025
0.38448	1.02204E5	2948.21324	94.38827	-23069.30228
0.38313	1.02110E5	2947.21324	94.12419	-23115.76132
0.38180	1.02016E5	2946.21324	93.86174	-23161.97892
0.38046	1.01923E5	2945.21324	93.60092	-23207.95665
0.37913	1.01829E5	2944.21324	93.34171	-23253.69604
0.37781	1.01736E5	2943.21324	93.08411	-23299.19861
