Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	70903.59268	1958.02620	409.28922	0.00000
0.99763	70864.45440	1957.93057	409.28922	-34.67738
0.55396	64320.34106	1956.93057	6544.11334	-6523.41394
0.29287	60462.08701	1955.93057	3858.25405	-10333.91484
0.14593	58278.61076	1954.93057	2183.47626	-12474.13598
0.06758	57099.10874	1953.93057	1179.50201	-13612.92443
0.02852	56493.18792	1952.93057	605.92082	-14179.49588
0.01065	56195.83630	1951.93057	297.35162	-14438.18706
0.00335	56052.11559	1950.93057	143.72071	-14543.57159
