Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.47524E5	3358.62298	67.37485	-2.91038E-11
0.99996	1.47518E5	3358.52736	67.37485	-1.84326
0.99247	1.47132E5	3357.52736	385.62889	-328.31097
0.98505	1.46750E5	3356.52736	381.94136	-651.20145
0.97771	1.46372E5	3355.52736	378.30416	-970.56391
0.97045	1.45997E5	3354.52736	374.71644	-1286.44675
0.96327	1.45626E5	3353.52736	371.17739	-1598.89754
0.95615	1.45259E5	3352.52736	367.68622	-1907.96311
0.94912	1.44894E5	3351.52736	364.24213	-2213.68949
0.94215	1.44533E5	3350.52736	360.84436	-2516.12196
0.93525	1.44176E5	3349.52736	357.49215	-2815.30506
0.92843	1.43822E5	3348.52736	354.18476	-3111.28262
0.92167	1.43471E5	3347.52736	350.92148	-3404.09773
0.91498	1.43123E5	3346.52736	347.70157	-3693.79279
0.90836	1.42779E5	3345.52736	344.52435	-3980.40954
0.90181	1.42437E5	3344.52736	341.38914	-4263.98900
0.89532	1.42099E5	3343.52736	338.29525	-4544.57158
0.88890	1.41764E5	3342.52736	335.24202	-4822.19700
0.88254	1.41431E5	3341.52736	332.22882	-5096.90438
0.87624	1.41102E5	3340.52736	329.25500	-5368.73219
0.87001	1.40776E5	3339.52736	326.31994	-5637.71830
0.86384	1.40452E5	3338.52736	323.42302	-5903.89998
0.85773	1.40132E5	3337.52736	320.56366	-6167.31390
0.85168	1.39814E5	3336.52736	317.74125	-6427.99617
0.84569	1.39499E5	3335.52736	314.95522	-6685.98232
0.83975	1.39187E5	3334.52736	312.20500	-6941.30732
0.83388	1.38877E5	3333.52736	309.49003	-7194.00561
0.82806	1.38571E5	3332.52736	306.80977	-7444.11107
0.82230	1.38267E5	3331.52736	304.16367	-7691.65706
0.81659	1.37965E5	3330.52736	301.55121	-7936.67644
0.81094	1.37666E5	3329.52736	298.97188	-8179.20155
0.80535	1.37370E5	3328.52736	296.42515	-8419.26421
0.79980	1.37076E5	3327.52736	293.91054	-8656.89579
0.79431	1.36784E5	3326.52736	291.42754	-8892.12714
0.78888	1.36495E5	3325.52736	288.97569	-9124.98868
0.78349	1.36209E5	3324.52736	286.55450	-9355.51031
0.77816	1.35925E5	3323.52736	284.16351	-9583.72154
0.77287	1.35643E5	3322.52736	281.80226	-9809.65137
0.76764	1.35363E5	3321.52736	279.47031	-10033.32841
0.76246	1.35086E5	3320.52736	277.16722	-10254.78080
0.75732	1.34811E5	3319.52736	274.89254	-10474.03628
0.75223	1.34539E5	3318.52736	272.64586	-10691.12218
0.74719	1.34268E5	3317.52736	270.42676	-10906.06538
0.74220	1.34000E5	3316.52736	268.23483	-11118.89241
0.73725	1.33734E5	3315.52736	266.06966	-11329.62937
0.73235	1.33470E5	3314.52736	263.93086	-11538.30197
0.72749	1.33208E5	3313.52736	261.81804	-11744.93557
0.72268	1.32948E5	3312.52736	259.73081	-11949.55512
0.71791	1.32691E5	3311.52736	257.66881	-12152.18522
0.71319	1.32435E5	3310.52736	255.63165	-12352.85011
0.70851	1.32181E5	3309.52736	253.61898	-12551.57366
0.70387	1.31930E5	3308.52736	251.63044	-12748.37941
0.69928	1.31680E5	3307.52736	249.66568	-12943.29053
0.69472	1.31432E5	3306.52736	247.72435	-13136.32989
0.69021	1.31187E5	3305.52736	245.80612	-13327.51999
0.68574	1.30943E5	3304.52736	243.91065	-13516.88302
0.68131	1.30701E5	3303.52736	242.03761	-13704.44085
0.67692	1.30460E5	3302.52736	240.18668	-13890.21504
0.67256	1.30222E5	3301.52736	238.35755	-14074.22682
0.66825	1.29986E5	3300.52736	236.54990	-14256.49714
