Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.25137E5	2967.03990	52.87497	0.00000
0.99998	1.25132E5	2966.94428	52.87497	-0.69009
0.99645	1.24955E5	2965.94428	177.03160	-123.15803
0.99293	1.24779E5	2964.94428	176.33729	-244.97520
0.98943	1.24603E5	2963.94428	175.64747	-366.14590
0.98595	1.24428E5	2962.94428	174.96209	-486.67434
0.98248	1.24254E5	2961.94428	174.28112	-606.56476
0.97903	1.24080E5	2960.94428	173.60453	-725.82132
0.97559	1.23907E5	2959.94428	172.93228	-844.44816
0.97218	1.23735E5	2958.94428	172.26433	-962.44940
0.96877	1.23563E5	2957.94428	171.60067	-1079.82912
0.96539	1.23393E5	2956.94428	170.94124	-1196.59136
0.96202	1.23222E5	2955.94428	170.28602	-1312.74013
0.95866	1.23053E5	2954.94428	169.63498	-1428.27944
0.95532	1.22884E5	2953.94428	168.98808	-1543.21321
0.95200	1.22715E5	2952.94428	168.34529	-1657.54539
0.94869	1.22548E5	2951.94428	167.70659	-1771.27986
0.94539	1.22380E5	2950.94428	167.07193	-1884.42049
0.94212	1.22214E5	2949.94428	166.44130	-1996.97110
0.93885	1.22048E5	2948.94428	165.81465	-2108.93551
0.93561	1.21883E5	2947.94428	165.19196	-2220.31749
0.93237	1.21718E5	2946.94428	164.57319	-2331.12078
0.92915	1.21554E5	2945.94428	163.95833	-2441.34909
0.92595	1.21391E5	2944.94428	163.34733	-2551.00613
0.92276	1.21228E5	2943.94428	162.74017	-2660.09554
0.91959	1.21066E5	2942.94428	162.13682	-2768.62096
0.91643	1.20905E5	2941.94428	161.53725	-2876.58599
0.91328	1.20744E5	2940.94428	160.94143	-2983.99422
0.91015	1.20583E5	2939.94428	160.34933	-3090.84918
0.90703	1.20424E5	2938.94428	159.76094	-3197.15441
0.90393	1.20265E5	2937.94428	159.17620	-3302.91340
0.90084	1.20106E5	2936.94428	158.59511	-3408.12961
0.89777	1.19948E5	2935.94428	158.01763	-3512.80650
0.89471	1.19790E5	2934.94428	157.44374	-3616.94747
0.89166	1.19634E5	2933.94428	156.87340	-3720.55593
0.88863	1.19477E5	2932.94428	156.30660	-3823.63523
0.88561	1.19322E5	2931.94428	155.74330	-3926.18872
0.88260	1.19166E5	2930.94428	155.18348	-4028.21971
0.87961	1.19012E5	2929.94428	154.62711	-4129.73149
0.87663	1.18858E5	2928.94428	154.07418	-4230.72733
0.87367	1.18704E5	2927.94428	153.52464	-4331.21048
