Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	88118.29016	2283.25397	50.19670	0.00000
0.99998	88113.49010	2283.15835	50.19670	-0.35343
0.99703	87998.22466	2282.15835	115.26545	-63.27840
0.99408	87883.10563	2281.15835	115.11903	-126.08916
0.99113	87768.13208	2280.15835	114.97355	-188.78662
0.98819	87653.30308	2279.15835	114.82900	-251.37174
0.98524	87538.61768	2278.15835	114.68540	-313.84542
0.98231	87424.07495	2277.15835	114.54273	-376.20861
0.97937	87309.67394	2276.15835	114.40101	-438.46225
0.97644	87195.41371	2275.15835	114.26023	-500.60726
0.97351	87081.29332	2274.15835	114.12040	-562.64459
0.97058	86967.31181	2273.15835	113.98151	-624.57519
0.96765	86853.46823	2272.15835	113.84357	-686.39999
0.96473	86739.76164	2271.15835	113.70659	-748.11995
0.96181	86626.19108	2270.15835	113.57056	-809.73601
0.95889	86512.75559	2269.15835	113.43549	-871.24913
0.95598	86399.45422	2268.15835	113.30137	-932.66026
0.95306	86286.28600	2267.15835	113.16822	-993.97037
0.95015	86173.24996	2266.15835	113.03604	-1055.18041
0.94725	86060.34515	2265.15835	112.90481	-1116.29135
0.94434	85947.57058	2264.15835	112.77456	-1177.30416
0.94144	85834.92530	2263.15835	112.64529	-1238.21981
0.93854	85722.40831	2262.15835	112.51698	-1299.03928
0.93564	85610.01865	2261.15835	112.38966	-1359.76355
0.93274	85497.75533	2260.15835	112.26332	-1420.39361
0.92985	85385.61737	2259.15835	112.13797	-1480.93043
0.92696	85273.60377	2258.15835	112.01360	-1541.37501
0.92407	85161.71354	2257.15835	111.89023	-1601.72834
0.92118	85049.94569	2256.15835	111.76785	-1661.99143
0.91829	84938.29921	2255.15835	111.64648	-1722.16528
0.91541	84826.77311	2254.15835	111.52611	-1782.25091
0.91252	84715.36636	2253.15835	111.40674	-1842.24931
0.90964	84604.07797	2252.15835	111.28840	-1902.16151
0.90677	84492.90690	2251.15835	111.17106	-1961.98854
0.90389	84381.85215	2250.15835	111.05475	-2021.73143
0.90101	84270.91268	2249.15835	110.93947	-2081.39120
0.89814	84160.08745	2248.15835	110.82522	-2140.96889
0.89527	84049.37545	2247.15835	110.71201	-2200.46556
0.89240	83938.77561	2246.15835	110.59983	-2259.88225
0.88953	83828.28691	2245.15835	110.48871	-2319.22002
0.88666	83717.90827	2244.15835	110.37863	-2378.47992
0.88379	83607.63865	2243.15835	110.26962	-2437.66304
0.88093	83497.47699	2242.15835	110.16167	-2496.77044
0.87806	83387.42220	2241.15835	110.05478	-2555.80320
0.87520	83277.47323	2240.15835	109.94898	-2614.76242
0.87234	83167.62897	2239.15835	109.84425	-2673.64918
0.86948	83057.88835	2238.15835	109.74062	-2732.46460
0.86662	82948.25028	2237.15835	109.63808	-2791.20978
0.86376	82838.71364	2236.15835	109.53664	-2849.88583
0.86091	82729.27733	2235.15835	109.43631	-2908.49389
0.85805	82619.94023	2234.15835	109.33710	-2967.03507
0.85520	82510.70122	2233.15835	109.23901	-3025.51054
0.85234	82401.55917	2232.15835	109.14205	-3083.92143
0.84949	82292.51294	2231.15835	109.04623	-3142.26890
0.84664	82183.56138	2230.15835	108.95156	-3200.55411
0.84378	82074.70334	2229.15835	108.85804	-3258.77825
0.84093	81965.93764	2228.15835	108.76569	-3316.94250
0.83808	81857.26313	2227.15835	108.67452	-3375.04804
0.83523	81748.67861	2226.15835	108.58452	-3433.09609
0.83238	81640.18289	2225.15835	108.49571	-3491.08786
0.82953	81531.77478	2224.15835	108.40811	-3549.02456
0.82668	81423.45307	2223.15835	108.32172	-3606.90745
0.82383	81315.21652	2222.15835	108.23654	-3664.73775
0.82098	81207.06392	2221.15835	108.15260	-3722.51673
0.81813	81098.99402	2220.15835	108.06990	-3780.24565
0.81528	80991.00557	2219.15835	107.98845	-3837.92580
0.81244	80883.09730	2218.15835	107.90827	-3895.55846
0.80959	80775.26793	2217.15835	107.82936	-3953.14493
0.80674	80667.51620	2216.15835	107.75174	-4010.68654
0.80389	80559.84078	2215.15835	107.67542	-4068.18461
0.80104	80452.24038	2214.15835	107.60040	-4125.64048
0.79819	80344.71366	2213.15835	107.52672	-4183.05551
0.79534	80237.25929	2212.15835	107.45437	-4240.43107
0.79249	80129.87592	2211.15835	107.38337	-4297.76854
0.78964	80022.56218	2210.15835	107.31374	-4355.06932
0.78679	79915.31670	2209.15835	107.24548	-4412.33482
0.78393	79808.13808	2208.15835	107.17862	-4469.56648
0.78108	79701.02491	2207.15835	107.11317	-4526.76573
0.77823	79593.97576	2206.15835	107.04915	-4583.93405
0.77537	79486.98920	2205.15835	106.98656	-4641.07290
0.77251	79380.06377	2204.15835	106.92543	-4698.18379
0.76966	79273.19799	2203.15835	106.86578	-4755.26823
0.76680	79166.39038	2202.15835	106.80761	-4812.32774
0.76394	79059.63942	2201.15835	106.75096	-4869.36389
0.76108	78952.94359	2200.15835	106.69583	-4926.37823
0.75822	78846.30135	2199.15835	106.64225	-4983.37236
0.75535	78739.71112	2198.15835	106.59023	-5040.34789
0.75249	78633.17132	2197.15835	106.53980	-5097.30644
0.74962	78526.68035	2196.15835	106.49097	-5154.24968
0.74675	78420.23657	2195.15835	106.44377	-5211.17926
0.74388	78313.83835	2194.15835	106.39822	-5268.09690
0.74101	78207.48401	2193.15835	106.35434	-5325.00431
0.73814	78101.17186	2192.15835	106.31215	-5381.90322
0.73526	77994.90017	2191.15835	106.27168	-5438.79542
0.73238	77888.66722	2190.15835	106.23295	-5495.68270
0.72950	77782.47123	2189.15835	106.19599	-5552.56687
0.72662	77676.31041	2188.15835	106.16082	-5609.44978
0.72373	77570.18294	2187.15835	106.12747	-5666.33330
0.72085	77464.08699	2186.15835	106.09596	-5723.21934
0.71796	77358.02066	2185.15835	106.06632	-5780.10983
0.71506	77251.98207	2184.15835	106.03859	-5837.00672
0.71217	77145.96927	2183.15835	106.01279	-5893.91202
0.70927	77039.98383	2182.15835	105.98544	-5950.82691
0.70636	76934.02698	2181.15835	105.95685	-6007.75517
0.70346	76828.09749	2180.15835	105.92949	-6064.69808
0.70055	76722.19320	2179.15835	105.90429	-6121.65781
0.69764	76616.31192	2178.15835	105.88128	-6178.63657
0.69472	76510.45142	2177.15835	105.86050	-6235.63659
0.69180	76404.60944	2176.15835	105.84198	-6292.66015
0.68888	76298.78366	2175.15835	105.82577	-6349.70956
0.68595	76192.97176	2174.15835	105.81190	-6406.78719
0.68302	76087.17134	2173.15835	105.80042	-6463.89543
0.68008	75981.37998	2172.15835	105.79136	-6521.03673
0.67714	75875.59520	2171.15835	105.78478	-6578.21358
0.67420	75769.81450	2170.15835	105.78070	-6635.42850
0.67125	75664.03530	2169.15835	105.77920	-6692.68408
0.66830	75558.25501	2168.15835	105.78030	-6749.98296
0.66534	75452.47095	2167.15835	105.78406	-6807.32781
0.66237	75346.68041	2166.15835	105.79053	-6864.72137
0.65941	75240.88065	2165.15835	105.79977	-6922.16642
0.65643	75135.06882	2164.15835	105.81183	-6979.66582
0.65345	75029.24206	2163.15835	105.82676	-7037.22246
0.65047	74923.39744	2162.15835	105.84462	-7094.83931
0.64748	74817.53195	2161.15835	105.86548	-7152.51939
0.64448	74711.64255	2160.15835	105.88940	-7210.26579
0.64148	74605.72611	2159.15835	105.91644	-7268.08167
0.63847	74499.77943	2158.15835	105.94667	-7325.97024
0.63545	74393.79927	2157.15835	105.98016	-7383.93481
0.63243	74287.78228	2156.15835	106.01698	-7441.97873
0.62940	74181.72507	2155.15835	106.05721	-7500.10546
0.62636	74075.62415	2154.15835	106.10092	-7558.31852
0.62332	73969.47596	2153.15835	106.14819	-7616.62150
0.62026	73863.27686	2152.15835	106.19911	-7675.01810
0.61720	73757.02310	2151.15835	106.25376	-7733.51210
0.61414	73650.71087	2150.15835	106.31222	-7792.10735
0.61106	73544.33627	2149.15835	106.37461	-7850.80783
0.60798	73437.89527	2148.15835	106.44100	-7909.61759
0.60488	73331.38376	2147.15835	106.51150	-7968.54079
0.60178	73224.79755	2146.15835	106.58622	-8027.58170
0.59867	73118.13229	2145.15835	106.66525	-8086.74469
0.59555	73011.38357	2144.15835	106.74872	-8146.03425
0.59242	72904.54683	2143.15835	106.83674	-8205.45500
0.58928	72797.61741	2142.15835	106.92943	-8265.01166
0.58614	72690.59050	2141.15835	107.02691	-8324.70908
0.58298	72583.46118	2140.15835	107.12932	-8384.55228
0.57980	72476.22438	2139.15835	107.23679	-8444.54636
0.57662	72368.87491	2138.15835	107.34947	-8504.69661
0.57343	72261.40740	2137.15835	107.46751	-8565.00846
0.57023	72153.81635	2136.15835	107.59105	-8625.48748
0.56701	72046.09609	2135.15835	107.72026	-8686.13943
0.56378	71938.24077	2134.15835	107.85531	-8746.97021
0.56054	71830.24440	2133.15835	107.99637	-8807.98592
0.55728	71722.10077	2132.15835	108.14363	-8869.19285
0.55402	71613.80349	2131.15835	108.29728	-8930.59746
0.55074	71505.34598	2130.15835	108.45751	-8992.20644
0.54744	71396.72144	2129.15835	108.62454	-9054.02666
0.54413	71287.92286	2128.15835	108.79858	-9116.06525
0.54081	71178.94299	2127.15835	108.97987	-9178.32954
0.53746	71069.77434	2126.15835	109.16865	-9240.82712
0.53411	70960.40919	2125.15835	109.36516	-9303.56583
