Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.56512E5	3514.33292	89.05828	2.91038E-11
0.99992	1.56503E5	3514.23730	89.05828	-3.68380
0.98602	1.55787E5	3513.23730	716.50145	-654.45860
0.97239	1.55084E5	3512.23730	703.20742	-1292.20211
0.95902	1.54393E5	3511.23730	690.24766	-1917.24358
0.94591	1.53716E5	3510.23730	677.61202	-2529.90226
0.93305	1.53050E5	3509.23730	665.29068	-3130.48766
0.92043	1.52397E5	3508.23730	653.27420	-3719.30001
0.90806	1.51756E5	3507.23730	641.55343	-4296.63048
0.89591	1.51126E5	3506.23730	630.11959	-4862.76159
0.88400	1.50507E5	3505.23730	618.96417	-5417.96746
0.87230	1.49898E5	3504.23730	608.07897	-5962.51408
0.86082	1.49301E5	3503.23730	597.45608	-6496.65967
0.84955	1.48714E5	3502.23730	587.08783	-7020.65488
0.83849	1.48137E5	3501.23730	576.96685	-7534.74306
0.82763	1.47570E5	3500.23730	567.08601	-8039.16055
0.81697	1.47012E5	3499.23730	557.43839	-8534.13684
0.80650	1.46464E5	3498.23730	548.01736	-9019.89489
0.79622	1.45926E5	3497.23730	538.81645	-9496.65128
0.78612	1.45396E5	3496.23730	529.82945	-9964.61646
0.77620	1.44875E5	3495.23730	521.05035	-10423.99493
0.76645	1.44362E5	3494.23730	512.47331	-10874.98546
0.75688	1.43858E5	3493.23730	504.09271	-11317.78127
0.74747	1.43362E5	3492.23730	495.90310	-11752.57019
0.73823	1.42874E5	3491.23730	487.89922	-12179.53487
0.72915	1.42394E5	3490.23730	480.07596	-12598.85292
0.72022	1.41922E5	3489.23730	472.42839	-13010.69709
0.71145	1.41457E5	3488.23730	464.95173	-13415.23543
0.70283	1.40999E5	3487.23730	457.64136	-13812.63140
0.69435	1.40549E5	3486.23730	450.49280	-14203.04407
0.68602	1.40105E5	3485.23730	443.50171	-14586.62824
0.67783	1.39669E5	3484.23730	436.66389	-14963.53453
0.66977	1.39239E5	3483.23730	429.97528	-15333.90960
0.66185	1.38815E5	3482.23730	423.43192	-15697.89619
0.65406	1.38398E5	3481.23730	417.03001	-16055.63327
